card_id,customer_id,card_type,card_tier,card_status,issue_date,expiry_date,credit_limit
CARD000000073,CUS00000089,DEBIT,,ACTIVE,2022-05-21,2027-05-20,0.0
CARD000000074,CUS00000090,CREDIT,PLATINUM,ACTIVE,2025-02-01,2030-01-31,135000000.0
CARD000000075,CUS00000092,CREDIT,STANDARD,ACTIVE,2022-06-18,2027-06-17,38000000.0
CARD000000076,CUS00000094,CREDIT,GOLD,ACTIVE,2026-04-12,2031-04-11,28000000.0
CARD000000077,CUS00000096,DEBIT,,ACTIVE,2022-02-21,2027-02-20,0.0
CARD000000078,CUS00000097,DEBIT,,ACTIVE,2025-08-11,2030-08-10,0.0
CARD000000079,CUS00000097,CREDIT,PLATINUM,ACTIVE,2025-05-16,2030-05-15,86000000.0
CARD000000080,CUS00000099,CREDIT,STANDARD,ACTIVE,2022-07-08,2027-07-07,79000000.0
CARD000000081,CUS00000100,DEBIT,,ACTIVE,2020-11-01,2025-10-31,0.0
CARD000000082,CUS00000101,DEBIT,,ACTIVE,2022-10-06,2027-10-05,0.0
CARD000000083,CUS00000103,DEBIT,,ACTIVE,2024-08-13,2029-08-12,0.0
CARD000000084,CUS00000105,CREDIT,PLATINUM,ACTIVE,2023-09-18,2028-09-16,35000000.0
CARD000000085,CUS00000105,DEBIT,,ACTIVE,2022-12-27,2027-12-26,0.0
CARD000000086,CUS00000106,DEBIT,,ACTIVE,2025-04-10,2030-04-09,0.0
CARD000000087,CUS00000107,DEBIT,,ACTIVE,2022-01-04,2027-01-03,0.0
CARD000000088,CUS00000108,CREDIT,GOLD,BLOCKED,2024-09-25,2029-09-24,157000000.0
CARD000000089,CUS00000108,DEBIT,,ACTIVE,2024-05-04,2029-05-03,0.0
CARD000000090,CUS00000110,CREDIT,STANDARD,BLOCKED,2023-12-12,2028-12-10,342000000.0
CARD000000091,CUS00000111,CREDIT,GOLD,ACTIVE,2024-05-09,2029-05-08,20000000.0
CARD000000092,CUS00000111,DEBIT,,ACTIVE,2022-12-27,2027-12-26,0.0
CARD000000093,CUS00000113,DEBIT,,ACTIVE,2021-11-25,2026-11-24,0.0
CARD000000094,CUS00000114,DEBIT,,ACTIVE,2023-11-23,2028-11-21,0.0
CARD000000095,CUS00000115,CREDIT,STANDARD,EXPIRED,2022-08-14,2027-08-13,77000000.0
CARD000000096,CUS00000116,DEBIT,,ACTIVE,2024-11-25,2029-11-24,0.0
CARD000000097,CUS00000117,DEBIT,,ACTIVE,2024-03-27,2029-03-26,0.0
CARD000000098,CUS00000117,CREDIT,STANDARD,ACTIVE,2026-05-21,2031-05-20,326000000.0
CARD000000099,CUS00000118,DEBIT,,EXPIRED,2025-04-28,2030-04-27,0.0
CARD000000100,CUS00000122,DEBIT,,ACTIVE,2021-06-12,2026-06-11,0.0
CARD000000101,CUS00000123,DEBIT,,ACTIVE,2022-10-12,2027-10-11,0.0
CARD000000102,CUS00000124,CREDIT,STANDARD,ACTIVE,2022-03-20,2027-03-19,253000000.0
CARD000000103,CUS00000125,CREDIT,GOLD,BLOCKED,2025-09-14,2030-09-13,69000000.0
CARD000000104,CUS00000125,DEBIT,,ACTIVE,2024-12-12,2029-12-11,0.0
CARD000000105,CUS00000126,CREDIT,STANDARD,ACTIVE,2026-06-02,2031-06-01,174000000.0
CARD000000106,CUS00000127,CREDIT,STANDARD,ACTIVE,2020-10-05,2025-10-04,45000000.0
CARD000000107,CUS00000129,CREDIT,PLATINUM,ACTIVE,2022-11-24,2027-11-23,165000000.0
CARD000000108,CUS00000132,DEBIT,,ACTIVE,2024-10-23,2029-10-22,0.0
CARD000000109,CUS00000132,CREDIT,STANDARD,ACTIVE,2023-09-25,2028-09-23,59000000.0
CARD000000110,CUS00000135,CREDIT,PLATINUM,ACTIVE,2020-09-04,2025-09-03,222000000.0
CARD000000111,CUS00000136,CREDIT,GOLD,ACTIVE,2022-06-22,2027-06-21,20000000.0
CARD000000112,CUS00000136,CREDIT,PLATINUM,ACTIVE,2021-07-03,2026-07-02,36000000.0
CARD000000113,CUS00000138,DEBIT,,ACTIVE,2022-09-15,2027-09-14,0.0
CARD000000114,CUS00000140,CREDIT,GOLD,ACTIVE,2021-03-12,2026-03-11,128000000.0
CARD000000115,CUS00000140,CREDIT,GOLD,ACTIVE,2024-07-09,2029-07-08,141000000.0
CARD000000116,CUS00000141,CREDIT,GOLD,ACTIVE,2021-09-08,2026-09-07,359000000.0
CARD000000117,CUS00000141,CREDIT,STANDARD,EXPIRED,2023-06-05,2028-06-03,194000000.0
CARD000000118,CUS00000146,DEBIT,,ACTIVE,2022-09-28,2027-09-27,0.0
CARD000000119,CUS00000146,CREDIT,STANDARD,ACTIVE,2021-04-02,2026-04-01,64000000.0
CARD000000120,CUS00000147,DEBIT,,ACTIVE,2021-11-21,2026-11-20,0.0
CARD000000121,CUS00000149,DEBIT,,ACTIVE,2024-06-03,2029-06-02,0.0
CARD000000122,CUS00000149,DEBIT,,ACTIVE,2024-09-26,2029-09-25,0.0
CARD000000123,CUS00000151,CREDIT,GOLD,ACTIVE,2023-12-23,2028-12-21,436000000.0
CARD000000124,CUS00000152,CREDIT,STANDARD,ACTIVE,2023-06-01,2028-05-30,162000000.0
CARD000000125,CUS00000153,CREDIT,PLATINUM,ACTIVE,2024-03-14,2029-03-13,91000000.0
CARD000000126,CUS00000156,CREDIT,PLATINUM,ACTIVE,2024-10-05,2029-10-04,500000000.0
CARD000000127,CUS00000159,CREDIT,PLATINUM,EXPIRED,2026-03-11,2031-03-10,38000000.0
CARD000000128,CUS00000163,CREDIT,STANDARD,ACTIVE,2022-09-09,2027-09-08,186000000.0
CARD000000129,CUS00000163,CREDIT,PLATINUM,ACTIVE,2022-10-23,2027-10-22,286000000.0
CARD000000130,CUS00000164,CREDIT,GOLD,ACTIVE,2025-12-16,2030-12-15,500000000.0
CARD000000131,CUS00000167,DEBIT,,ACTIVE,2021-04-28,2026-04-27,0.0
CARD000000132,CUS00000169,DEBIT,,ACTIVE,2023-06-22,2028-06-20,0.0
CARD000000133,CUS00000170,DEBIT,,ACTIVE,2022-03-18,2027-03-17,0.0
CARD000000134,CUS00000171,CREDIT,PLATINUM,ACTIVE,2025-02-18,2030-02-17,500000000.0
CARD000000135,CUS00000172,CREDIT,STANDARD,ACTIVE,2023-02-04,2028-02-03,193000000.0
CARD000000136,CUS00000172,DEBIT,,EXPIRED,2021-10-08,2026-10-07,0.0
CARD000000137,CUS00000173,CREDIT,GOLD,BLOCKED,2022-09-05,2027-09-04,70000000.0
CARD000000138,CUS00000173,CREDIT,STANDARD,ACTIVE,2021-09-22,2026-09-21,37000000.0
CARD000000139,CUS00000174,CREDIT,PLATINUM,ACTIVE,2024-06-10,2029-06-09,459000000.0
CARD000000140,CUS00000174,DEBIT,,ACTIVE,2022-03-23,2027-03-22,0.0
CARD000000141,CUS00000175,CREDIT,GOLD,ACTIVE,2024-05-13,2029-05-12,20000000.0
CARD000000142,CUS00000175,DEBIT,,ACTIVE,2024-11-08,2029-11-07,0.0
CARD000000143,CUS00000176,DEBIT,,ACTIVE,2023-09-06,2028-09-04,0.0
CARD000000144,CUS00000177,CREDIT,STANDARD,ACTIVE,2023-06-16,2028-06-14,145000000.0
CARD000000145,CUS00000178,CREDIT,STANDARD,ACTIVE,2024-09-06,2029-09-05,88000000.0
CARD000000146,CUS00000180,DEBIT,,ACTIVE,2023-03-30,2028-03-28,0.0
CARD000000147,CUS00000181,DEBIT,,ACTIVE,2024-01-09,2029-01-07,0.0
CARD000000148,CUS00000183,DEBIT,,ACTIVE,2026-02-05,2031-02-04,0.0
CARD000000149,CUS00000183,DEBIT,,ACTIVE,2025-03-10,2030-03-09,0.0
CARD000000150,CUS00000184,DEBIT,,ACTIVE,2024-11-24,2029-11-23,0.0
CARD000000151,CUS00000185,CREDIT,PLATINUM,ACTIVE,2021-04-08,2026-04-07,331000000.0
CARD000000152,CUS00000185,DEBIT,,ACTIVE,2021-10-06,2026-10-05,0.0
CARD000000153,CUS00000186,DEBIT,,BLOCKED,2022-02-25,2027-02-24,0.0
CARD000000154,CUS00000188,CREDIT,PLATINUM,ACTIVE,2024-07-01,2029-06-30,32000000.0
CARD000000155,CUS00000189,CREDIT,PLATINUM,BLOCKED,2020-12-30,2025-12-29,30000000.0
CARD000000156,CUS00000190,CREDIT,PLATINUM,EXPIRED,2023-03-22,2028-03-20,286000000.0
CARD000000157,CUS00000191,DEBIT,,ACTIVE,2026-05-29,2031-05-28,0.0
CARD000000158,CUS00000193,DEBIT,,ACTIVE,2022-09-15,2027-09-14,0.0
CARD000000159,CUS00000194,CREDIT,PLATINUM,ACTIVE,2021-07-28,2026-07-27,90000000.0
CARD000000160,CUS00000195,CREDIT,PLATINUM,ACTIVE,2025-02-08,2030-02-07,156000000.0
CARD000000161,CUS00000196,DEBIT,,ACTIVE,2021-04-16,2026-04-15,0.0
CARD000000162,CUS00000197,DEBIT,,ACTIVE,2021-01-04,2026-01-03,0.0
CARD000000163,CUS00000198,CREDIT,STANDARD,ACTIVE,2023-02-11,2028-02-10,86000000.0
CARD000000164,CUS00000199,CREDIT,STANDARD,ACTIVE,2026-02-15,2031-02-14,500000000.0
CARD000000165,CUS00000200,DEBIT,,ACTIVE,2025-02-25,2030-02-24,0.0
CARD000000166,CUS00000200,CREDIT,GOLD,ACTIVE,2026-04-08,2031-04-07,79000000.0
CARD000000167,CUS00000202,DEBIT,,EXPIRED,2022-06-22,2027-06-21,0.0
CARD000000168,CUS00000205,CREDIT,STANDARD,ACTIVE,2024-08-10,2029-08-09,73000000.0
CARD000000169,CUS00000206,CREDIT,PLATINUM,ACTIVE,2023-08-01,2028-07-30,81000000.0
CARD000000170,CUS00000208,CREDIT,PLATINUM,ACTIVE,2026-03-05,2031-03-04,500000000.0
CARD000000171,CUS00000210,DEBIT,,ACTIVE,2022-06-14,2027-06-13,0.0
CARD000000172,CUS00000210,DEBIT,,ACTIVE,2020-11-03,2025-11-02,0.0
CARD000000173,CUS00000211,CREDIT,STANDARD,ACTIVE,2025-11-27,2030-11-26,500000000.0
CARD000000174,CUS00000211,DEBIT,,ACTIVE,2025-10-10,2030-10-09,0.0
CARD000000175,CUS00000213,DEBIT,,ACTIVE,2021-03-19,2026-03-18,0.0
CARD000000176,CUS00000214,DEBIT,,ACTIVE,2024-10-21,2029-10-20,0.0
CARD000000177,CUS00000215,CREDIT,PLATINUM,EXPIRED,2025-12-26,2030-12-25,144000000.0
CARD000000178,CUS00000216,DEBIT,,ACTIVE,2021-08-11,2026-08-10,0.0
CARD000000179,CUS00000218,CREDIT,PLATINUM,ACTIVE,2026-03-14,2031-03-13,20000000.0
CARD000000180,CUS00000219,CREDIT,PLATINUM,ACTIVE,2024-03-31,2029-03-30,202000000.0
CARD000000181,CUS00000220,DEBIT,,EXPIRED,2024-03-19,2029-03-18,0.0
CARD000000182,CUS00000221,CREDIT,STANDARD,ACTIVE,2024-11-23,2029-11-22,20000000.0
CARD000000183,CUS00000221,CREDIT,GOLD,ACTIVE,2022-08-04,2027-08-03,34000000.0
CARD000000184,CUS00000224,DEBIT,,ACTIVE,2022-08-22,2027-08-21,0.0
CARD000000185,CUS00000225,DEBIT,,ACTIVE,2020-11-22,2025-11-21,0.0
CARD000000186,CUS00000226,CREDIT,STANDARD,ACTIVE,2024-03-21,2029-03-20,268000000.0
CARD000000187,CUS00000227,CREDIT,PLATINUM,ACTIVE,2025-02-06,2030-02-05,219000000.0
CARD000000188,CUS00000228,CREDIT,GOLD,ACTIVE,2025-01-12,2030-01-11,45000000.0
CARD000000189,CUS00000229,CREDIT,GOLD,ACTIVE,2025-07-12,2030-07-11,198000000.0
CARD000000190,CUS00000230,CREDIT,GOLD,ACTIVE,2022-03-25,2027-03-24,94000000.0
CARD000000191,CUS00000230,CREDIT,PLATINUM,BLOCKED,2023-07-30,2028-07-28,109000000.0
CARD000000192,CUS00000232,DEBIT,,BLOCKED,2023-08-30,2028-08-28,0.0
CARD000000193,CUS00000233,DEBIT,,EXPIRED,2025-10-26,2030-10-25,0.0
CARD000000194,CUS00000233,DEBIT,,ACTIVE,2021-02-28,2026-02-27,0.0
CARD000000195,CUS00000234,CREDIT,GOLD,ACTIVE,2024-05-19,2029-05-18,39000000.0
CARD000000196,CUS00000235,CREDIT,PLATINUM,ACTIVE,2025-07-09,2030-07-08,500000000.0
CARD000000197,CUS00000236,DEBIT,,ACTIVE,2023-12-05,2028-12-03,0.0
CARD000000198,CUS00000236,CREDIT,GOLD,EXPIRED,2024-03-22,2029-03-21,500000000.0
CARD000000199,CUS00000237,DEBIT,,ACTIVE,2021-09-19,2026-09-18,0.0
CARD000000200,CUS00000238,CREDIT,STANDARD,ACTIVE,2021-07-11,2026-07-10,139000000.0
CARD000000201,CUS00000238,CREDIT,STANDARD,ACTIVE,2025-05-26,2030-05-25,220000000.0
CARD000000202,CUS00000239,DEBIT,,ACTIVE,2021-06-08,2026-06-07,0.0
CARD000000203,CUS00000239,CREDIT,STANDARD,ACTIVE,2021-09-02,2026-09-01,154000000.0
CARD000000204,CUS00000240,CREDIT,PLATINUM,ACTIVE,2023-05-18,2028-05-16,61000000.0
CARD000000205,CUS00000242,DEBIT,,ACTIVE,2026-04-23,2031-04-22,0.0
CARD000000206,CUS00000243,CREDIT,PLATINUM,ACTIVE,2022-12-11,2027-12-10,86000000.0
CARD000000207,CUS00000244,CREDIT,STANDARD,EXPIRED,2024-05-26,2029-05-25,500000000.0
CARD000000208,CUS00000245,CREDIT,GOLD,ACTIVE,2022-09-06,2027-09-05,29000000.0
CARD000000209,CUS00000246,DEBIT,,EXPIRED,2020-12-23,2025-12-22,0.0
CARD000000210,CUS00000249,CREDIT,PLATINUM,ACTIVE,2023-11-26,2028-11-24,474000000.0
CARD000000211,CUS00000250,DEBIT,,ACTIVE,2021-06-14,2026-06-13,0.0
CARD000000212,CUS00000251,DEBIT,,ACTIVE,2020-10-10,2025-10-09,0.0
CARD000000213,CUS00000252,CREDIT,GOLD,ACTIVE,2025-01-04,2030-01-03,185000000.0
CARD000000214,CUS00000253,CREDIT,PLATINUM,ACTIVE,2026-06-22,2031-06-21,44000000.0
CARD000000215,CUS00000258,CREDIT,GOLD,ACTIVE,2025-02-26,2030-02-25,63000000.0
CARD000000216,CUS00000259,DEBIT,,ACTIVE,2025-06-01,2030-05-31,0.0
CARD000000217,CUS00000260,CREDIT,STANDARD,EXPIRED,2025-09-10,2030-09-09,172000000.0
CARD000000218,CUS00000262,DEBIT,,ACTIVE,2025-03-02,2030-03-01,0.0
CARD000000219,CUS00000263,CREDIT,PLATINUM,ACTIVE,2025-11-24,2030-11-23,247000000.0
CARD000000220,CUS00000263,DEBIT,,ACTIVE,2024-10-06,2029-10-05,0.0
CARD000000221,CUS00000265,DEBIT,,ACTIVE,2024-06-10,2029-06-09,0.0
CARD000000222,CUS00000266,DEBIT,,ACTIVE,2026-03-06,2031-03-05,0.0
CARD000000223,CUS00000268,DEBIT,,ACTIVE,2024-08-03,2029-08-02,0.0
CARD000000224,CUS00000268,CREDIT,PLATINUM,ACTIVE,2022-07-29,2027-07-28,190000000.0
CARD000000225,CUS00000269,CREDIT,GOLD,ACTIVE,2023-01-23,2028-01-22,63000000.0
CARD000000226,CUS00000269,DEBIT,,BLOCKED,2025-03-26,2030-03-25,0.0
CARD000000227,CUS00000271,CREDIT,PLATINUM,ACTIVE,2025-02-10,2030-02-09,250000000.0
CARD000000228,CUS00000272,CREDIT,GOLD,ACTIVE,2022-04-11,2027-04-10,84000000.0
CARD000000229,CUS00000274,CREDIT,STANDARD,ACTIVE,2023-04-16,2028-04-14,32000000.0
CARD000000230,CUS00000275,DEBIT,,ACTIVE,2024-04-04,2029-04-03,0.0
CARD000000231,CUS00000275,DEBIT,,ACTIVE,2021-12-16,2026-12-15,0.0
CARD000000232,CUS00000277,CREDIT,GOLD,ACTIVE,2025-07-05,2030-07-04,80000000.0
CARD000000233,CUS00000278,DEBIT,,ACTIVE,2020-09-12,2025-09-11,0.0
CARD000000234,CUS00000280,DEBIT,,ACTIVE,2020-09-05,2025-09-04,0.0
CARD000000235,CUS00000281,DEBIT,,ACTIVE,2026-04-07,2031-04-06,0.0
CARD000000236,CUS00000281,DEBIT,,ACTIVE,2025-03-17,2030-03-16,0.0
CARD000000237,CUS00000283,DEBIT,,ACTIVE,2026-04-04,2031-04-03,0.0
CARD000000238,CUS00000283,DEBIT,,ACTIVE,2024-05-13,2029-05-12,0.0
CARD000000239,CUS00000284,DEBIT,,ACTIVE,2021-08-06,2026-08-05,0.0
CARD000000240,CUS00000286,CREDIT,GOLD,EXPIRED,2022-10-19,2027-10-18,322000000.0
CARD000000241,CUS00000286,DEBIT,,ACTIVE,2021-06-19,2026-06-18,0.0
CARD000000242,CUS00000287,CREDIT,STANDARD,EXPIRED,2023-06-21,2028-06-19,282000000.0
CARD000000243,CUS00000288,CREDIT,GOLD,ACTIVE,2023-01-08,2028-01-07,250000000.0
CARD000000244,CUS00000289,DEBIT,,ACTIVE,2022-04-10,2027-04-09,0.0
CARD000000245,CUS00000290,CREDIT,PLATINUM,ACTIVE,2022-10-28,2027-10-27,194000000.0
CARD000000246,CUS00000292,DEBIT,,ACTIVE,2022-02-04,2027-02-03,0.0
CARD000000247,CUS00000292,CREDIT,GOLD,ACTIVE,2026-03-03,2031-03-02,120000000.0
CARD000000248,CUS00000293,DEBIT,,ACTIVE,2023-08-20,2028-08-18,0.0
CARD000000249,CUS00000294,DEBIT,,ACTIVE,2024-09-24,2029-09-23,0.0
CARD000000250,CUS00000294,CREDIT,STANDARD,ACTIVE,2022-05-22,2027-05-21,171000000.0
CARD000000251,CUS00000295,CREDIT,PLATINUM,ACTIVE,2026-06-03,2031-06-02,244000000.0
CARD000000252,CUS00000296,DEBIT,,ACTIVE,2024-03-18,2029-03-17,0.0
CARD000000253,CUS00000297,CREDIT,GOLD,BLOCKED,2021-10-06,2026-10-05,163000000.0
CARD000000254,CUS00000299,CREDIT,GOLD,ACTIVE,2024-04-21,2029-04-20,370000000.0
CARD000000255,CUS00000299,CREDIT,PLATINUM,ACTIVE,2025-04-17,2030-04-16,434000000.0
CARD000000256,CUS00000300,CREDIT,GOLD,ACTIVE,2021-01-30,2026-01-29,138000000.0
CARD000000257,CUS00000301,DEBIT,,ACTIVE,2020-12-06,2025-12-05,0.0
CARD000000258,CUS00000302,DEBIT,,ACTIVE,2024-06-24,2029-06-23,0.0
CARD000000259,CUS00000303,CREDIT,GOLD,ACTIVE,2021-09-22,2026-09-21,45000000.0
CARD000000260,CUS00000304,DEBIT,,ACTIVE,2022-04-12,2027-04-11,0.0
CARD000000261,CUS00000304,DEBIT,,ACTIVE,2023-11-06,2028-11-04,0.0
CARD000000262,CUS00000305,DEBIT,,ACTIVE,2024-03-27,2029-03-26,0.0
CARD000000263,CUS00000306,CREDIT,STANDARD,EXPIRED,2022-09-03,2027-09-02,95000000.0
CARD000000264,CUS00000306,CREDIT,PLATINUM,ACTIVE,2025-12-31,2030-12-30,68000000.0
CARD000000265,CUS00000309,CREDIT,STANDARD,ACTIVE,2024-10-18,2029-10-17,37000000.0
CARD000000266,CUS00000310,CREDIT,PLATINUM,ACTIVE,2021-05-19,2026-05-18,77000000.0
CARD000000267,CUS00000312,DEBIT,,ACTIVE,2024-01-05,2029-01-03,0.0
CARD000000268,CUS00000322,DEBIT,,BLOCKED,2024-08-12,2029-08-11,0.0
CARD000000269,CUS00000322,DEBIT,,ACTIVE,2024-04-27,2029-04-26,0.0
CARD000000270,CUS00000324,DEBIT,,ACTIVE,2021-07-14,2026-07-13,0.0
CARD000000271,CUS00000325,CREDIT,PLATINUM,ACTIVE,2025-05-14,2030-05-13,217000000.0
CARD000000272,CUS00000327,DEBIT,,ACTIVE,2024-08-18,2029-08-17,0.0
CARD000000273,CUS00000327,DEBIT,,ACTIVE,2022-05-28,2027-05-27,0.0
CARD000000274,CUS00000328,DEBIT,,ACTIVE,2021-09-20,2026-09-19,0.0
CARD000000275,CUS00000329,DEBIT,,ACTIVE,2024-06-15,2029-06-14,0.0
CARD000000276,CUS00000332,CREDIT,STANDARD,ACTIVE,2022-10-20,2027-10-19,31000000.0
CARD000000277,CUS00000333,DEBIT,,ACTIVE,2021-12-23,2026-12-22,0.0
CARD000000278,CUS00000336,DEBIT,,ACTIVE,2025-08-15,2030-08-14,0.0
CARD000000279,CUS00000338,DEBIT,,ACTIVE,2022-06-01,2027-05-31,0.0
CARD000000280,CUS00000338,CREDIT,GOLD,ACTIVE,2025-07-12,2030-07-11,61000000.0
