reason_id,score_id,feature_name,feature_value,contribution_score,impact_direction,reason_rank
RS0000000061,SC000000041,x5_campaign_response,1.0,1.3505,POSITIVE,1
RS0000000062,SC000000041,x1_monthly_spending,0.7916,0.3698,POSITIVE,2
RS0000000063,SC000000041,x6_product_gap,0.945,0.3018,POSITIVE,3
RS0000000064,SC000000041,x3_digital_activity,0.7813,0.2283,POSITIVE,4
RS0000000065,SC000000041,x4_salary_account,1.0,0.1827,POSITIVE,5
RS0000000066,SC000000041,x2_income,0.9392,0.1646,POSITIVE,6
RS0000000067,SC000000048,x5_campaign_response,0.25,0.4368,POSITIVE,1
RS0000000068,SC000000048,x1_monthly_spending,0.8433,0.3999,POSITIVE,2
RS0000000069,SC000000048,x2_income,0.9392,0.3762,POSITIVE,3
RS0000000070,SC000000048,x6_product_gap,0.7075,0.2805,POSITIVE,4
RS0000000071,SC000000048,x3_digital_activity,0.1012,-0.2699,NEGATIVE,5
RS0000000072,SC000000048,x4_salary_account,1.0,0.1004,POSITIVE,6
RS0000000073,SC000000050,x2_income,0.0642,-0.3766,NEGATIVE,1
RS0000000074,SC000000050,x1_monthly_spending,0.0474,-0.3758,NEGATIVE,2
RS0000000075,SC000000050,x5_campaign_response,0.0,-0.2039,NEGATIVE,3
RS0000000076,SC000000050,x4_salary_account,1.0,0.1746,POSITIVE,4
RS0000000077,SC000000050,x6_product_gap,0.67,0.1448,POSITIVE,5
RS0000000078,SC000000050,x3_digital_activity,0.4155,-0.0593,NEGATIVE,6
RS0000000079,SC000000055,x5_campaign_response,0.0,-0.232,NEGATIVE,1
RS0000000080,SC000000055,x2_income,0.2411,-0.1881,NEGATIVE,2
RS0000000081,SC000000055,x1_monthly_spending,0.5905,0.1082,POSITIVE,3
RS0000000082,SC000000055,x6_product_gap,0.49,0.0811,POSITIVE,4
RS0000000083,SC000000055,x4_salary_account,0.0,-0.0285,NEGATIVE,5
RS0000000084,SC000000055,x3_digital_activity,0.4608,-0.02,NEGATIVE,6
RS0000000085,SC000000060,x5_campaign_response,0.25,0.4368,POSITIVE,1
RS0000000086,SC000000060,x6_product_gap,0.7075,0.2805,POSITIVE,2
RS0000000087,SC000000060,x3_digital_activity,0.1012,-0.2699,NEGATIVE,3
RS0000000088,SC000000060,x1_monthly_spending,0.7206,0.257,POSITIVE,4
RS0000000089,SC000000060,x4_salary_account,1.0,0.1004,POSITIVE,5
RS0000000090,SC000000060,x2_income,0.4975,-0.0021,NEGATIVE,6
RS0000000091,SC000000061,x1_monthly_spending,0.9189,0.5312,POSITIVE,1
RS0000000092,SC000000061,x5_campaign_response,0.0,-0.3464,NEGATIVE,2
RS0000000093,SC000000061,x3_digital_activity,0.7989,0.2426,POSITIVE,3
RS0000000094,SC000000061,x6_product_gap,0.835,0.1941,POSITIVE,4
RS0000000095,SC000000061,x4_salary_account,1.0,0.1827,POSITIVE,5
RS0000000096,SC000000061,x2_income,0.4975,-0.0009,NEGATIVE,6
RS0000000097,SC000000068,x6_product_gap,0.935,0.7517,POSITIVE,1
RS0000000098,SC000000068,x2_income,0.2411,-0.2218,NEGATIVE,2
RS0000000099,SC000000068,x5_campaign_response,0.0,-0.1847,NEGATIVE,3
RS0000000100,SC000000068,x1_monthly_spending,0.6112,0.1296,POSITIVE,4
RS0000000101,SC000000068,x4_salary_account,1.0,0.1004,POSITIVE,5
RS0000000102,SC000000068,x3_digital_activity,0.5636,0.043,POSITIVE,6
RS0000000103,SC000000069,x4_salary_account,1.0,0.1827,POSITIVE,1
RS0000000104,SC000000069,x1_monthly_spending,0.4074,-0.1174,NEGATIVE,2
RS0000000105,SC000000069,x2_income,0.7598,0.0973,POSITIVE,3
RS0000000106,SC000000069,x3_digital_activity,0.3972,-0.0834,NEGATIVE,4
RS0000000107,SC000000069,x5_campaign_response,0.25,0.0778,POSITIVE,5
RS0000000108,SC000000069,x6_product_gap,0.6975,0.0595,POSITIVE,6
RS0000000109,SC000000074,x5_campaign_response,0.5,0.8343,POSITIVE,1
RS0000000110,SC000000074,x4_salary_account,0.0,-0.3829,NEGATIVE,2
RS0000000111,SC000000074,x3_digital_activity,0.1012,-0.2797,NEGATIVE,3
RS0000000112,SC000000074,x1_monthly_spending,0.218,-0.2342,NEGATIVE,4
RS0000000113,SC000000074,x2_income,0.2411,-0.2237,NEGATIVE,5
RS0000000114,SC000000074,x6_product_gap,0.4,-0.1375,NEGATIVE,6
RS0000000115,SC000000079,x6_product_gap,0.73,0.655,POSITIVE,1
RS0000000116,SC000000079,x1_monthly_spending,0.9131,0.4941,POSITIVE,2
RS0000000117,SC000000079,x2_income,0.9392,0.319,POSITIVE,3
RS0000000118,SC000000079,x5_campaign_response,0.0,-0.232,NEGATIVE,4
RS0000000119,SC000000079,x3_digital_activity,0.6809,0.0923,POSITIVE,5
RS0000000120,SC000000079,x4_salary_account,1.0,0.013,POSITIVE,6
RS0000000121,SC000000082,x5_campaign_response,0.25,0.3152,POSITIVE,1
RS0000000122,SC000000082,x3_digital_activity,0.1012,-0.2797,NEGATIVE,2
RS0000000123,SC000000082,x1_monthly_spending,0.1717,-0.2726,NEGATIVE,3
RS0000000124,SC000000082,x2_income,0.2411,-0.2237,NEGATIVE,4
RS0000000125,SC000000082,x6_product_gap,0.73,0.2076,POSITIVE,5
RS0000000126,SC000000082,x4_salary_account,1.0,0.1746,POSITIVE,6
RS0000000127,SC000000087,x5_campaign_response,0.5,0.6229,POSITIVE,1
RS0000000128,SC000000087,x6_product_gap,0.67,0.5115,POSITIVE,2
RS0000000129,SC000000087,x2_income,0.0642,-0.3166,NEGATIVE,3
RS0000000130,SC000000087,x1_monthly_spending,0.2649,-0.2812,NEGATIVE,4
RS0000000131,SC000000087,x4_salary_account,0.0,-0.0285,NEGATIVE,5
RS0000000132,SC000000087,x3_digital_activity,0.505,0.0025,POSITIVE,6
RS0000000133,SC000000089,x5_campaign_response,0.75,0.9263,POSITIVE,1
RS0000000134,SC000000089,x4_salary_account,1.0,0.1827,POSITIVE,2
RS0000000135,SC000000089,x1_monthly_spending,0.6302,0.165,POSITIVE,3
RS0000000136,SC000000089,x3_digital_activity,0.6917,0.1556,POSITIVE,4
RS0000000137,SC000000089,x6_product_gap,0.7,0.062,POSITIVE,5
RS0000000138,SC000000089,x2_income,0.4975,-0.0009,NEGATIVE,6
RS0000000139,SC000000095,x6_product_gap,0.67,0.5115,POSITIVE,1
RS0000000140,SC000000095,x1_monthly_spending,0.7543,0.3041,POSITIVE,2
RS0000000141,SC000000095,x5_campaign_response,0.0,-0.232,NEGATIVE,3
RS0000000142,SC000000095,x4_salary_account,1.0,0.013,POSITIVE,4
RS0000000143,SC000000095,x3_digital_activity,0.5081,0.0041,POSITIVE,5
RS0000000144,SC000000095,x2_income,0.4975,-0.0018,NEGATIVE,6
RS0000000145,SC000000097,x1_monthly_spending,0.9789,0.6072,POSITIVE,1
RS0000000146,SC000000097,x4_salary_account,0.0,-0.4007,NEGATIVE,2
RS0000000147,SC000000097,x5_campaign_response,0.0,-0.3464,NEGATIVE,3
RS0000000148,SC000000097,x2_income,0.7598,0.0973,POSITIVE,4
RS0000000149,SC000000097,x3_digital_activity,0.5439,0.0356,POSITIVE,5
RS0000000150,SC000000097,x6_product_gap,0.67,0.0326,POSITIVE,6
RS0000000151,SC000000102,x5_campaign_response,0.5,0.8343,POSITIVE,1
RS0000000152,SC000000102,x6_product_gap,0.85,0.3331,POSITIVE,2
RS0000000153,SC000000102,x3_digital_activity,0.1012,-0.2797,NEGATIVE,3
RS0000000154,SC000000102,x2_income,0.7598,0.2245,POSITIVE,4
RS0000000155,SC000000102,x4_salary_account,1.0,0.1746,POSITIVE,5
RS0000000156,SC000000102,x1_monthly_spending,0.371,-0.1071,NEGATIVE,6
RS0000000157,SC000000105,x3_digital_activity,0.1012,-0.3237,NEGATIVE,1
RS0000000158,SC000000105,x1_monthly_spending,0.3169,-0.2322,NEGATIVE,2
RS0000000159,SC000000105,x4_salary_account,1.0,0.1827,POSITIVE,3
RS0000000160,SC000000105,x2_income,0.0642,-0.1633,NEGATIVE,4
RS0000000161,SC000000105,x5_campaign_response,0.25,0.0778,POSITIVE,5
RS0000000162,SC000000105,x6_product_gap,0.615,-0.0212,NEGATIVE,6
RS0000000163,SC000000111,x6_product_gap,0.76,0.7267,POSITIVE,1
RS0000000164,SC000000111,x5_campaign_response,0.0,-0.232,NEGATIVE,2
RS0000000165,SC000000111,x3_digital_activity,0.2256,-0.1401,NEGATIVE,3
RS0000000166,SC000000111,x4_salary_account,1.0,0.013,POSITIVE,4
RS0000000167,SC000000111,x1_monthly_spending,0.4931,-0.0083,NEGATIVE,5
RS0000000168,SC000000111,x2_income,0.4975,-0.0018,NEGATIVE,6
RS0000000169,SC000000113,x5_campaign_response,0.5,0.502,POSITIVE,1
RS0000000170,SC000000113,x6_product_gap,0.15,-0.4763,NEGATIVE,2
RS0000000171,SC000000113,x1_monthly_spending,0.8407,0.432,POSITIVE,3
RS0000000172,SC000000113,x4_salary_account,0.0,-0.4007,NEGATIVE,4
RS0000000173,SC000000113,x3_digital_activity,0.4371,-0.0511,NEGATIVE,5
RS0000000174,SC000000113,x2_income,0.4975,-0.0009,NEGATIVE,6
RS0000000175,SC000000118,x5_campaign_response,0.25,0.3152,POSITIVE,1
RS0000000176,SC000000118,x4_salary_account,1.0,0.1746,POSITIVE,2
RS0000000177,SC000000118,x6_product_gap,0.67,0.1448,POSITIVE,3
RS0000000178,SC000000118,x3_digital_activity,0.3639,-0.0955,NEGATIVE,4
RS0000000179,SC000000118,x1_monthly_spending,0.4512,-0.0406,NEGATIVE,5
RS0000000180,SC000000118,x2_income,0.4975,-0.0022,NEGATIVE,6
RS0000000181,SC000000124,x5_campaign_response,0.5,1.0582,POSITIVE,1
RS0000000182,SC000000124,x1_monthly_spending,0.9054,0.4722,POSITIVE,2
RS0000000183,SC000000124,x6_product_gap,0.74,0.3478,POSITIVE,3
RS0000000184,SC000000124,x3_digital_activity,0.8681,0.2492,POSITIVE,4
RS0000000185,SC000000124,x2_income,0.7598,0.2226,POSITIVE,5
RS0000000186,SC000000124,x4_salary_account,0.0,-0.2202,NEGATIVE,6
RS0000000187,SC000000126,x5_campaign_response,0.5,0.8343,POSITIVE,1
RS0000000188,SC000000126,x4_salary_account,1.0,0.1746,POSITIVE,2
RS0000000189,SC000000126,x6_product_gap,0.67,0.1448,POSITIVE,3
RS0000000190,SC000000126,x1_monthly_spending,0.3464,-0.1276,NEGATIVE,4
RS0000000191,SC000000126,x3_digital_activity,0.4559,-0.031,NEGATIVE,5
RS0000000192,SC000000126,x2_income,0.4975,-0.0022,NEGATIVE,6
RS0000000193,SC000000129,x5_campaign_response,0.0,-0.3464,NEGATIVE,1
RS0000000194,SC000000129,x1_monthly_spending,0.273,-0.2878,NEGATIVE,2
RS0000000195,SC000000129,x4_salary_account,1.0,0.1827,POSITIVE,3
RS0000000196,SC000000129,x2_income,0.2411,-0.097,NEGATIVE,4
RS0000000197,SC000000129,x6_product_gap,0.6975,0.0595,POSITIVE,5
RS0000000198,SC000000129,x3_digital_activity,0.5491,0.0398,POSITIVE,6
RS0000000199,SC000000134,x5_campaign_response,0.5,0.8343,POSITIVE,1
RS0000000200,SC000000134,x4_salary_account,0.0,-0.3829,NEGATIVE,2
RS0000000201,SC000000134,x3_digital_activity,0.1012,-0.2797,NEGATIVE,3
RS0000000202,SC000000134,x2_income,0.2411,-0.2237,NEGATIVE,4
RS0000000203,SC000000134,x1_monthly_spending,0.2512,-0.2066,NEGATIVE,5
RS0000000204,SC000000134,x6_product_gap,0.46,-0.0748,NEGATIVE,6
RS0000000205,SC000000138,x4_salary_account,0.0,-0.3829,NEGATIVE,1
RS0000000206,SC000000138,x5_campaign_response,0.25,0.3152,POSITIVE,2
RS0000000207,SC000000138,x3_digital_activity,0.1012,-0.2797,NEGATIVE,3
RS0000000208,SC000000138,x2_income,0.2411,-0.2237,NEGATIVE,4
RS0000000209,SC000000138,x1_monthly_spending,0.398,-0.0847,NEGATIVE,5
RS0000000210,SC000000138,x6_product_gap,0.46,-0.0748,NEGATIVE,6
RS0000000211,SC000000142,x5_campaign_response,0.5,0.8343,POSITIVE,1
RS0000000212,SC000000142,x6_product_gap,0.15,-0.399,NEGATIVE,2
RS0000000213,SC000000142,x4_salary_account,0.0,-0.3829,NEGATIVE,3
RS0000000214,SC000000142,x1_monthly_spending,0.7224,0.1846,POSITIVE,4
RS0000000215,SC000000142,x3_digital_activity,0.391,-0.0765,NEGATIVE,5
RS0000000216,SC000000142,x2_income,0.4975,-0.0022,NEGATIVE,6
RS0000000217,SC000000145,x1_monthly_spending,0.0426,-0.5801,NEGATIVE,1
RS0000000218,SC000000145,x5_campaign_response,0.5,0.502,POSITIVE,2
RS0000000219,SC000000145,x3_digital_activity,0.1012,-0.3237,NEGATIVE,3
RS0000000220,SC000000145,x4_salary_account,1.0,0.1827,POSITIVE,4
RS0000000221,SC000000145,x2_income,0.2411,-0.097,NEGATIVE,5
RS0000000222,SC000000145,x6_product_gap,0.615,-0.0212,NEGATIVE,6
RS0000000223,SC000000152,x6_product_gap,0.935,0.7517,POSITIVE,1
RS0000000224,SC000000152,x1_monthly_spending,0.9773,0.556,POSITIVE,2
RS0000000225,SC000000152,x5_campaign_response,0.25,0.4368,POSITIVE,3
RS0000000226,SC000000152,x2_income,0.7598,0.2226,POSITIVE,4
RS0000000227,SC000000152,x3_digital_activity,0.8076,0.2082,POSITIVE,5
RS0000000228,SC000000152,x4_salary_account,1.0,0.1004,POSITIVE,6
RS0000000229,SC000000153,x5_campaign_response,0.75,0.9263,POSITIVE,1
RS0000000230,SC000000153,x1_monthly_spending,0.9781,0.6063,POSITIVE,2
RS0000000231,SC000000153,x4_salary_account,1.0,0.1827,POSITIVE,3
RS0000000232,SC000000153,x2_income,0.7598,0.0973,POSITIVE,4
RS0000000233,SC000000153,x6_product_gap,0.7,0.062,POSITIVE,5
RS0000000234,SC000000153,x3_digital_activity,0.4825,-0.0142,NEGATIVE,6
RS0000000235,SC000000159,x6_product_gap,0.79,0.7985,POSITIVE,1
RS0000000236,SC000000159,x1_monthly_spending,0.9115,0.4921,POSITIVE,2
RS0000000237,SC000000159,x2_income,0.9392,0.319,POSITIVE,3
RS0000000238,SC000000159,x5_campaign_response,0.0,-0.232,NEGATIVE,4
RS0000000239,SC000000159,x3_digital_activity,0.8279,0.1674,POSITIVE,5
RS0000000240,SC000000159,x4_salary_account,1.0,0.013,POSITIVE,6
RS0000000241,SC000000161,x1_monthly_spending,0.2062,-0.3726,NEGATIVE,1
RS0000000242,SC000000161,x3_digital_activity,0.9547,0.3691,POSITIVE,2
RS0000000243,SC000000161,x4_salary_account,1.0,0.1827,POSITIVE,3
RS0000000244,SC000000161,x5_campaign_response,0.25,0.0778,POSITIVE,4
RS0000000245,SC000000161,x6_product_gap,0.7,0.062,POSITIVE,5
RS0000000246,SC000000161,x2_income,0.4975,-0.0009,NEGATIVE,6
RS0000000247,SC000000166,x2_income,0.0642,-0.3766,NEGATIVE,1
RS0000000248,SC000000166,x5_campaign_response,0.25,0.3152,POSITIVE,2
RS0000000249,SC000000166,x6_product_gap,0.82,0.3017,POSITIVE,3
RS0000000250,SC000000166,x4_salary_account,1.0,0.1746,POSITIVE,4
RS0000000251,SC000000166,x1_monthly_spending,0.3236,-0.1465,NEGATIVE,5
RS0000000252,SC000000166,x3_digital_activity,0.4547,-0.0318,NEGATIVE,6
RS0000000253,SC000000169,x6_product_gap,0.8625,0.221,POSITIVE,1
RS0000000254,SC000000169,x1_monthly_spending,0.3345,-0.2099,NEGATIVE,2
RS0000000255,SC000000169,x4_salary_account,1.0,0.1827,POSITIVE,3
RS0000000256,SC000000169,x5_campaign_response,0.25,0.0778,POSITIVE,4
RS0000000257,SC000000169,x3_digital_activity,0.5704,0.0571,POSITIVE,5
RS0000000258,SC000000169,x2_income,0.4975,-0.0009,NEGATIVE,6
RS0000000259,SC000000173,x5_campaign_response,0.75,0.9263,POSITIVE,1
RS0000000260,SC000000173,x1_monthly_spending,0.1792,-0.4069,NEGATIVE,2
RS0000000261,SC000000173,x4_salary_account,1.0,0.1827,POSITIVE,3
RS0000000262,SC000000173,x3_digital_activity,0.2971,-0.1647,NEGATIVE,4
RS0000000263,SC000000173,x2_income,0.0642,-0.1633,NEGATIVE,5
RS0000000264,SC000000173,x6_product_gap,0.725,0.0865,POSITIVE,6
RS0000000265,SC000000177,x5_campaign_response,0.5,0.502,POSITIVE,1
RS0000000266,SC000000177,x1_monthly_spending,0.8475,0.4406,POSITIVE,2
RS0000000267,SC000000177,x6_product_gap,0.945,0.3018,POSITIVE,3
RS0000000268,SC000000177,x4_salary_account,1.0,0.1827,POSITIVE,4
RS0000000269,SC000000177,x2_income,0.9392,0.1646,POSITIVE,5
RS0000000270,SC000000177,x3_digital_activity,0.4575,-0.0345,NEGATIVE,6
RS0000000271,SC000000183,x5_campaign_response,0.5,0.6229,POSITIVE,1
RS0000000272,SC000000183,x6_product_gap,0.67,0.5115,POSITIVE,2
RS0000000273,SC000000183,x2_income,0.2411,-0.1881,NEGATIVE,3
RS0000000274,SC000000183,x1_monthly_spending,0.4023,-0.1169,NEGATIVE,4
RS0000000275,SC000000183,x3_digital_activity,0.2852,-0.1097,NEGATIVE,5
RS0000000276,SC000000183,x4_salary_account,0.0,-0.0285,NEGATIVE,6
RS0000000277,SC000000185,x5_campaign_response,1.0,1.3505,POSITIVE,1
RS0000000278,SC000000185,x1_monthly_spending,0.0955,-0.5129,NEGATIVE,2
RS0000000279,SC000000185,x4_salary_account,0.0,-0.4007,NEGATIVE,3
RS0000000280,SC000000185,x3_digital_activity,0.3525,-0.1198,NEGATIVE,4
RS0000000281,SC000000185,x6_product_gap,0.5325,-0.1019,NEGATIVE,5
RS0000000282,SC000000185,x2_income,0.4975,-0.0009,NEGATIVE,6
RS0000000283,SC000000191,x5_campaign_response,1.0,1.4778,POSITIVE,1
RS0000000284,SC000000191,x1_monthly_spending,0.2012,-0.3575,NEGATIVE,2
RS0000000285,SC000000191,x2_income,0.0642,-0.3166,NEGATIVE,3
RS0000000286,SC000000191,x6_product_gap,0.58,0.2963,POSITIVE,4
RS0000000287,SC000000191,x3_digital_activity,0.1012,-0.2036,NEGATIVE,5
RS0000000288,SC000000191,x4_salary_account,1.0,0.013,POSITIVE,6
RS0000000289,SC000000193,x5_campaign_response,0.5,0.502,POSITIVE,1
RS0000000290,SC000000193,x1_monthly_spending,0.1715,-0.4166,NEGATIVE,2
RS0000000291,SC000000193,x6_product_gap,0.9175,0.2749,POSITIVE,3
RS0000000292,SC000000193,x3_digital_activity,0.1655,-0.2715,NEGATIVE,4
RS0000000293,SC000000193,x4_salary_account,1.0,0.1827,POSITIVE,5
RS0000000294,SC000000193,x2_income,0.2411,-0.097,NEGATIVE,6
RS0000000295,SC000000197,x5_campaign_response,0.5,0.502,POSITIVE,1
RS0000000296,SC000000197,x4_salary_account,0.0,-0.4007,NEGATIVE,2
RS0000000297,SC000000197,x1_monthly_spending,0.8034,0.3847,POSITIVE,3
RS0000000298,SC000000197,x3_digital_activity,0.3776,-0.0994,NEGATIVE,4
RS0000000299,SC000000197,x2_income,0.7598,0.0973,POSITIVE,5
RS0000000300,SC000000197,x6_product_gap,0.67,0.0326,POSITIVE,6
RS0000000301,SC000000203,x6_product_gap,0.73,0.655,POSITIVE,1
RS0000000302,SC000000203,x1_monthly_spending,0.947,0.5347,POSITIVE,2
RS0000000303,SC000000203,x5_campaign_response,0.0,-0.232,NEGATIVE,3
RS0000000304,SC000000203,x2_income,0.7598,0.1887,POSITIVE,4
RS0000000305,SC000000203,x3_digital_activity,0.6682,0.0858,POSITIVE,5
RS0000000306,SC000000203,x4_salary_account,1.0,0.013,POSITIVE,6
RS0000000307,SC000000205,x4_salary_account,0.0,-0.4007,NEGATIVE,1
RS0000000308,SC000000205,x5_campaign_response,0.0,-0.3464,NEGATIVE,2
RS0000000309,SC000000205,x1_monthly_spending,0.2684,-0.2938,NEGATIVE,3
RS0000000310,SC000000205,x6_product_gap,0.5325,-0.1019,NEGATIVE,4
RS0000000311,SC000000205,x2_income,0.7598,0.0973,POSITIVE,5
RS0000000312,SC000000205,x3_digital_activity,0.5183,0.0149,POSITIVE,6
RS0000000313,SC000000212,x6_product_gap,1.0,0.8863,POSITIVE,1
RS0000000314,SC000000212,x1_monthly_spending,0.8762,0.4382,POSITIVE,2
RS0000000315,SC000000212,x2_income,0.7598,0.2226,POSITIVE,3
RS0000000316,SC000000212,x5_campaign_response,0.0,-0.1847,NEGATIVE,4
RS0000000317,SC000000212,x3_digital_activity,0.716,0.1462,POSITIVE,5
RS0000000318,SC000000212,x4_salary_account,1.0,0.1004,POSITIVE,6
RS0000000319,SC000000213,x5_campaign_response,0.9,1.1808,POSITIVE,1
RS0000000320,SC000000213,x3_digital_activity,0.9128,0.3351,POSITIVE,2
RS0000000321,SC000000213,x4_salary_account,1.0,0.1827,POSITIVE,3
RS0000000322,SC000000213,x2_income,0.0642,-0.1633,NEGATIVE,4
RS0000000323,SC000000213,x1_monthly_spending,0.5553,0.0701,POSITIVE,5
RS0000000324,SC000000213,x6_product_gap,0.7,0.062,POSITIVE,6
RS0000000325,SC000000218,x1_monthly_spending,0.0256,-0.3939,NEGATIVE,1
RS0000000326,SC000000218,x6_product_gap,0.73,0.2076,POSITIVE,2
RS0000000327,SC000000218,x5_campaign_response,0.0,-0.2039,NEGATIVE,3
RS0000000328,SC000000218,x3_digital_activity,0.2469,-0.1776,NEGATIVE,4
RS0000000329,SC000000218,x4_salary_account,1.0,0.1746,POSITIVE,5
RS0000000330,SC000000218,x2_income,0.4975,-0.0022,NEGATIVE,6
RS0000000331,SC000000223,x6_product_gap,0.73,0.655,POSITIVE,1
RS0000000332,SC000000223,x5_campaign_response,0.5,0.6229,POSITIVE,2
RS0000000333,SC000000223,x1_monthly_spending,0.1212,-0.4531,NEGATIVE,3
RS0000000334,SC000000223,x3_digital_activity,0.9073,0.2079,POSITIVE,4
RS0000000335,SC000000223,x4_salary_account,1.0,0.013,POSITIVE,5
RS0000000336,SC000000223,x2_income,0.4975,-0.0018,NEGATIVE,6
RS0000000337,SC000000226,x4_salary_account,0.0,-0.3829,NEGATIVE,1
RS0000000338,SC000000226,x2_income,0.0642,-0.3766,NEGATIVE,2
RS0000000339,SC000000226,x5_campaign_response,0.25,0.3152,POSITIVE,3
RS0000000340,SC000000226,x1_monthly_spending,0.1686,-0.2752,NEGATIVE,4
RS0000000341,SC000000226,x6_product_gap,0.7,0.1762,POSITIVE,5
RS0000000342,SC000000226,x3_digital_activity,0.3186,-0.1273,NEGATIVE,6
RS0000000343,SC000000229,x5_campaign_response,0.75,0.9263,POSITIVE,1
RS0000000344,SC000000229,x1_monthly_spending,0.1164,-0.4865,NEGATIVE,2
