rm_id,branch_id,rm_role,rm_segment,active_flag
RM0066,BR008,RM,SME,True
RM0067,BR008,RM,MASS,True
RM0068,BR008,RM,MASS,True
RM0069,BR008,TEAM_LEAD,MASS,True
RM0070,BR008,SENIOR_RM,MASS,True
RM0071,BR008,RM,MASS,True
RM0072,BR008,TEAM_LEAD,AFFLUENT,True
RM0073,BR009,RM,MASS,True
RM0074,BR009,RM,AFFLUENT,True
RM0075,BR009,RM,MASS,True
RM0076,BR009,SENIOR_RM,SME,True
RM0077,BR009,RM,AFFLUENT,True
RM0078,BR009,RM,AFFLUENT,True
RM0079,BR009,RM,AFFLUENT,True
RM0080,BR009,SENIOR_RM,AFFLUENT,True
RM0081,BR009,RM,SME,True
RM0082,BR010,RM,MASS,True
RM0083,BR010,RM,MASS,True
RM0084,BR010,SENIOR_RM,AFFLUENT,True
RM0085,BR010,RM,SME,True
RM0086,BR010,RM,AFFLUENT,True
RM0087,BR010,RM,SME,True
RM0088,BR010,RM,MASS,True
RM0089,BR010,RM,SME,True
RM0090,BR010,SENIOR_RM,AFFLUENT,True
RM0091,BR011,SENIOR_RM,SME,True
RM0092,BR011,RM,MASS,True
RM0093,BR011,SENIOR_RM,AFFLUENT,True
RM0094,BR011,RM,MASS,True
RM0095,BR011,SENIOR_RM,MASS,True
RM0096,BR011,TEAM_LEAD,MASS,True
RM0097,BR011,RM,AFFLUENT,True
RM0098,BR011,RM,MASS,True
RM0099,BR011,RM,SME,True
RM0100,BR012,RM,MASS,True
RM0101,BR012,SENIOR_RM,SME,True
RM0102,BR012,RM,MASS,True
RM0103,BR012,RM,MASS,True
RM0104,BR012,RM,AFFLUENT,True
RM0105,BR012,RM,AFFLUENT,True
RM0106,BR012,RM,AFFLUENT,True
RM0107,BR012,RM,AFFLUENT,True
RM0108,BR012,SENIOR_RM,AFFLUENT,True
RM0109,BR013,RM,MASS,True
RM0110,BR013,TEAM_LEAD,MASS,True
RM0111,BR013,RM,MASS,True
RM0112,BR013,RM,SME,True
RM0113,BR013,RM,SME,True
RM0114,BR013,RM,AFFLUENT,True
RM0115,BR013,RM,MASS,True
RM0116,BR013,RM,MASS,True
RM0117,BR013,TEAM_LEAD,AFFLUENT,True
RM0118,BR014,TEAM_LEAD,AFFLUENT,True
RM0119,BR014,RM,AFFLUENT,True
RM0120,BR014,RM,MASS,True
RM0121,BR014,SENIOR_RM,AFFLUENT,True
RM0122,BR014,RM,AFFLUENT,True
RM0123,BR014,RM,SME,True
RM0124,BR014,RM,MASS,True
RM0125,BR014,RM,MASS,True
RM0126,BR014,RM,SME,True
RM0127,BR015,RM,MASS,True
RM0128,BR015,RM,AFFLUENT,True
RM0129,BR015,SENIOR_RM,MASS,True
RM0130,BR015,RM,AFFLUENT,True
RM0131,BR015,RM,AFFLUENT,True
RM0132,BR015,RM,MASS,True
RM0133,BR015,TEAM_LEAD,MASS,True
RM0134,BR015,RM,MASS,True
RM0135,BR015,RM,MASS,True
RM0136,BR016,RM,MASS,True
RM0137,BR016,RM,AFFLUENT,True
RM0138,BR016,RM,MASS,True
RM0139,BR016,RM,AFFLUENT,True
RM0140,BR016,SENIOR_RM,SME,True
RM0141,BR016,RM,MASS,True
RM0142,BR016,RM,MASS,True
RM0143,BR016,RM,MASS,True
RM0144,BR016,RM,MASS,True
RM0145,BR017,RM,MASS,True
RM0146,BR017,SENIOR_RM,MASS,True
RM0147,BR017,TEAM_LEAD,MASS,True
RM0148,BR017,SENIOR_RM,SME,True
RM0149,BR017,TEAM_LEAD,AFFLUENT,True
RM0150,BR017,SENIOR_RM,AFFLUENT,True
RM0151,BR017,SENIOR_RM,MASS,True
RM0152,BR017,RM,AFFLUENT,True
RM0153,BR017,SENIOR_RM,MASS,True
RM0154,BR018,RM,AFFLUENT,True
RM0155,BR018,RM,MASS,True
RM0156,BR018,RM,MASS,True
RM0157,BR018,RM,MASS,True
RM0158,BR018,RM,MASS,True
RM0159,BR018,RM,AFFLUENT,True
RM0160,BR018,RM,SME,True
RM0161,BR018,SENIOR_RM,MASS,True
RM0162,BR018,RM,AFFLUENT,True
RM0163,BR019,SENIOR_RM,AFFLUENT,True
RM0164,BR019,SENIOR_RM,AFFLUENT,True
RM0165,BR019,RM,MASS,True
RM0166,BR019,SENIOR_RM,MASS,True
RM0167,BR019,RM,SME,True
RM0168,BR019,RM,AFFLUENT,True
RM0169,BR019,RM,AFFLUENT,True
RM0170,BR019,RM,SME,True
RM0171,BR019,RM,SME,True
RM0172,BR020,SENIOR_RM,AFFLUENT,True
RM0173,BR020,SENIOR_RM,AFFLUENT,True
RM0174,BR020,TEAM_LEAD,MASS,True
RM0175,BR020,RM,MASS,True
RM0176,BR020,RM,MASS,True
RM0177,BR020,RM,AFFLUENT,True
RM0178,BR020,RM,AFFLUENT,True
RM0179,BR020,SENIOR_RM,AFFLUENT,True
RM0180,BR020,RM,AFFLUENT,True
