loan_id,customer_id,loan_type,start_date,maturity_date,original_amount,outstanding_balance,interest_rate,monthly_installment,secured_flag,payment_status,days_past_due,loan_status,has_active_loan,active_loan_count,total_loan_outstanding,monthly_debt_payment,loan_to_income_ratio
LOAN000000014,CUS00000038,HOME,2025-10-26,2040-08-08,2119047826.17,2012155774.8,9.028,13135128.81,True,CURRENT,0,ACTIVE,True,1,2012155774.8,13135128.81,0.2189
LOAN000000015,CUS00000043,AUTO,2020-07-22,2021-07-17,65265483.43,19407421.16,8.14,6781768.43,True,CURRENT,0,ACTIVE,True,1,19407421.16,6781768.43,0.2261
LOAN000000016,CUS00000044,BUSINESS,2021-08-06,2024-07-21,70003623.28,7667800.93,7.969,2092353.89,False,CURRENT,0,ACTIVE,True,1,7667800.93,2092353.89,0.2989
LOAN000000017,CUS00000048,PERSONAL,2021-02-01,2025-01-11,76593099.44,12883410.78,9.36,1775457.74,False,CURRENT,0,ACTIVE,True,1,12883410.78,1775457.74,0.2536
LOAN000000018,CUS00000049,HOME,2020-12-11,2023-11-26,35412549.34,6973123.57,13.743,1053461.3,True,CURRENT,0,ACTIVE,True,1,6973123.57,1053461.3,0.0702
LOAN000000019,CUS00000058,BUSINESS,2020-06-15,2035-03-29,25842421.5,17814332.32,13.692,161555.36,False,CURRENT,0,ACTIVE,True,1,17814332.32,161555.36,0.0108
LOAN000000020,CUS00000060,HOME,2019-12-23,2022-12-07,114497396.26,10713498.85,11.991,3387544.94,True,CURRENT,0,ACTIVE,True,1,10713498.85,3387544.94,0.4839
LOAN000000021,CUS00000063,PERSONAL,2024-09-09,2044-05-27,1044624055.32,964716610.0,14.115,4851085.52,False,CURRENT,0,ACTIVE,True,1,964716610.0,4851085.52,0.0404
LOAN000000022,CUS00000064,PERSONAL,2026-04-25,2036-03-03,36382324.05,35233564.86,10.052,323571.03,False,CURRENT,0,ACTIVE,True,1,35233564.86,323571.03,0.0462
LOAN000000023,CUS00000065,HOME,2019-08-31,2022-08-15,572365226.94,138473670.97,7.869,18302727.03,True,CURRENT,0,ACTIVE,True,1,138473670.97,18302727.03,0.6101
LOAN000000024,CUS00000073,PERSONAL,2021-03-24,2024-03-08,123021305.4,8699627.51,9.434,4002190.09,False,CURRENT,0,ACTIVE,True,1,8699627.51,4002190.09,0.0667
LOAN000000025,CUS00000078,HOME,2023-07-30,2028-07-03,332567047.5,167524215.67,9.37,6545734.52,True,CURRENT,0,ACTIVE,True,1,167524215.67,6545734.52,0.4364
LOAN000000026,CUS00000079,HOME,2020-08-30,2024-08-09,70407589.5,12240207.82,8.908,1578269.08,True,CURRENT,0,ACTIVE,True,2,196921286.86,3022752.39,0.2015
LOAN000000027,CUS00000079,PERSONAL,2023-07-20,2038-05-02,226639988.58,184681079.04,11.866,1444483.31,False,CURRENT,0,ACTIVE,True,2,196921286.86,3022752.39,0.2015
LOAN000000028,CUS00000080,HOME,2022-08-27,2023-08-22,358635801.3,88025307.4,11.315,34100217.21,True,CURRENT,0,ACTIVE,True,1,88025307.4,34100217.21,0.5683
LOAN000000029,CUS00000085,HOME,2025-08-01,2040-05-14,30924547.47,29184675.31,7.061,183918.38,True,CURRENT,0,ACTIVE,True,1,29184675.31,183918.38,0.0061
LOAN000000030,CUS00000087,PERSONAL,2020-05-30,2023-05-15,199915698.99,20346761.58,13.294,5966213.76,False,CURRENT,0,ACTIVE,True,1,20346761.58,5966213.76,0.3977
LOAN000000031,CUS00000091,PERSONAL,2024-03-06,2034-01-13,121327982.49,96508451.3,8.161,1119484.0,False,CURRENT,0,ACTIVE,True,1,96508451.3,1119484.0,0.0187
LOAN000000032,CUS00000092,HOME,2019-10-16,2023-09-25,59867724.47,4676545.06,14.208,1476303.92,True,CURRENT,0,ACTIVE,True,1,4676545.06,1476303.92,0.2109
LOAN000000033,CUS00000098,PERSONAL,2021-11-23,2025-11-02,38960732.85,9856424.22,7.144,922276.65,False,CURRENT,0,ACTIVE,True,1,9856424.22,922276.65,0.0615
LOAN000000034,CUS00000103,PERSONAL,2025-04-19,2029-03-29,149362388.19,111840599.96,12.248,3651433.35,False,CURRENT,0,ACTIVE,True,1,111840599.96,3651433.35,0.0304
LOAN000000035,CUS00000105,BUSINESS,2020-05-16,2035-02-27,53178886.26,33106882.13,13.501,353498.94,False,CURRENT,0,ACTIVE,True,1,33106882.13,353498.94,0.0236
LOAN000000036,CUS00000106,AUTO,2023-03-29,2042-12-14,111270216.04,93097675.61,14.359,506864.09,True,CURRENT,0,ACTIVE,True,1,93097675.61,506864.09,0.0169
LOAN000000037,CUS00000108,AUTO,2021-07-29,2031-06-07,60661900.26,35443944.71,10.942,583934.47,True,CURRENT,0,ACTIVE,True,1,35443944.71,583934.47,0.0097
LOAN000000038,CUS00000118,BUSINESS,2024-03-18,2028-02-26,631480129.75,341455027.78,6.655,15827733.36,False,CURRENT,0,ACTIVE,True,1,341455027.78,15827733.36,0.2638
LOAN000000039,CUS00000119,PERSONAL,2021-10-27,2025-10-06,90029138.73,26270639.31,14.454,2017051.4,False,CURRENT,0,ACTIVE,True,1,26270639.31,2017051.4,0.1345
LOAN000000040,CUS00000123,PERSONAL,2022-05-23,2027-04-27,1158460493.33,318570256.31,8.64,24033926.71,False,CURRENT,0,ACTIVE,True,1,318570256.31,24033926.71,0.4006
LOAN000000041,CUS00000126,PERSONAL,2021-05-09,2031-03-18,1428216565.52,694856659.16,10.456,13149062.36,False,CURRENT,0,ACTIVE,True,2,953242250.63,18662728.45,0.6221
LOAN000000042,CUS00000126,AUTO,2020-12-08,2030-10-17,606100804.08,258385591.47,9.968,5513666.09,True,CURRENT,0,ACTIVE,True,2,953242250.63,18662728.45,0.6221
LOAN000000043,CUS00000129,BUSINESS,2019-08-15,2020-08-09,2280551692.54,14917280.07,11.793,234122325.14,False,CURRENT,0,ACTIVE,True,1,14917280.07,234122325.14,3.902
LOAN000000044,CUS00000136,BUSINESS,2023-02-20,2027-01-30,93144224.43,24719062.8,11.09,2094925.99,False,CURRENT,0,ACTIVE,True,1,24719062.8,2094925.99,0.2993
LOAN000000045,CUS00000137,AUTO,2024-04-09,2025-04-04,31751426.44,6483722.31,7.802,3011329.52,True,CURRENT,0,ACTIVE,True,1,6483722.31,3011329.52,0.1004
LOAN000000046,CUS00000140,HOME,2022-08-30,2037-06-12,315753888.65,249856520.01,8.555,1917454.96,True,CURRENT,0,ACTIVE,True,1,249856520.01,1917454.96,0.0639
LOAN000000047,CUS00000141,BUSINESS,2019-12-12,2021-12-01,2327830512.71,157139075.45,8.934,111647090.17,False,CURRENT,0,ACTIVE,True,2,496833747.07,278273035.27,4.6379
LOAN000000048,CUS00000141,PERSONAL,2022-12-05,2023-11-30,1781515245.54,339694671.62,12.888,166625945.1,False,CURRENT,0,ACTIVE,True,2,496833747.07,278273035.27,4.6379
LOAN000000049,CUS00000150,PERSONAL,2024-01-24,2033-12-02,72471197.15,55147186.43,8.78,693550.22,False,LATE,15,DELINQUENT,True,1,55147186.43,693550.22,0.0462
LOAN000000050,CUS00000151,BUSINESS,2023-01-30,2037-11-12,1742011209.98,1361497889.1,13.809,11163508.68,False,CURRENT,0,ACTIVE,True,1,1361497889.1,11163508.68,0.093
LOAN000000051,CUS00000166,HOME,2025-03-07,2035-01-14,281385284.25,244511929.21,11.2,2645708.44,True,CURRENT,0,ACTIVE,True,1,244511929.21,2645708.44,0.0441
LOAN000000052,CUS00000168,BUSINESS,2022-06-16,2023-06-11,17874722.18,4157994.52,9.312,1588052.97,False,CURRENT,0,ACTIVE,True,1,4157994.52,1588052.97,0.2269
LOAN000000053,CUS00000171,HOME,2022-05-22,2032-03-30,1231466750.53,748150524.83,13.759,12217796.38,True,CURRENT,0,ACTIVE,True,1,748150524.83,12217796.38,0.1018
LOAN000000054,CUS00000175,HOME,2023-06-09,2033-04-17,35037820.41,26450676.27,9.784,345756.73,True,CURRENT,0,ACTIVE,True,1,26450676.27,345756.73,0.0494
LOAN000000055,CUS00000176,PERSONAL,2022-09-28,2037-07-11,170914202.79,136853127.87,10.239,1121148.88,False,CURRENT,0,ACTIVE,True,2,152437945.07,2746393.27,0.0915
LOAN000000056,CUS00000176,AUTO,2024-04-17,2027-04-02,49006467.94,15584817.2,14.451,1625244.39,True,CURRENT,0,ACTIVE,True,2,152437945.07,2746393.27,0.0915
LOAN000000057,CUS00000183,PERSONAL,2022-03-17,2027-02-19,41571899.51,9019597.47,8.937,826230.0,False,CURRENT,0,ACTIVE,True,1,9019597.47,826230.0,0.0551
LOAN000000058,CUS00000184,HOME,2025-04-12,2035-02-19,1122819392.58,992229815.46,14.295,11225494.82,True,CURRENT,0,ACTIVE,True,1,992229815.46,11225494.82,0.0935
LOAN000000059,CUS00000195,BUSINESS,2024-10-30,2044-07-17,471281194.77,436815880.32,11.273,2235416.31,False,CURRENT,0,ACTIVE,True,1,436815880.32,2235416.31,0.0745
LOAN000000060,CUS00000198,PERSONAL,2026-01-24,2027-01-19,41428334.27,22241493.33,8.71,4019122.62,False,CURRENT,0,ACTIVE,True,1,22241493.33,4019122.62,0.2679
LOAN000000061,CUS00000202,HOME,2020-07-08,2035-04-21,150868650.87,102404289.09,8.249,945882.87,True,CURRENT,0,ACTIVE,True,2,176251860.93,10814267.09,0.1802
LOAN000000062,CUS00000202,BUSINESS,2022-11-29,2025-11-13,336592997.25,73847571.84,12.529,9868384.22,False,CURRENT,0,ACTIVE,True,2,176251860.93,10814267.09,0.1802
LOAN000000063,CUS00000203,AUTO,2020-08-09,2021-08-04,71887076.06,579355.98,12.915,7183626.13,True,CURRENT,0,ACTIVE,True,1,579355.98,7183626.13,1.0262
LOAN000000064,CUS00000204,BUSINESS,2025-10-06,2045-06-23,130496157.91,124570830.11,13.934,590463.82,False,CURRENT,0,ACTIVE,True,1,124570830.11,590463.82,0.0394
LOAN000000065,CUS00000206,AUTO,2026-03-29,2045-12-14,869822748.03,852841175.17,7.407,3965237.21,True,CURRENT,0,ACTIVE,True,1,852841175.17,3965237.21,0.1322
LOAN000000066,CUS00000207,BUSINESS,2022-06-11,2026-05-21,498471817.08,17379489.52,12.97,11118931.56,False,CURRENT,0,ACTIVE,True,1,17379489.52,11118931.56,0.0927
LOAN000000067,CUS00000208,BUSINESS,2022-05-26,2025-05-10,579536532.13,32576278.81,14.103,18815352.41,False,CURRENT,0,ACTIVE,True,1,32576278.81,18815352.41,0.1568
LOAN000000068,CUS00000209,PERSONAL,2019-12-15,2034-09-27,36279873.38,24089336.52,6.627,215113.86,False,CURRENT,0,ACTIVE,True,1,24089336.52,215113.86,0.0072
LOAN000000069,CUS00000212,HOME,2023-07-26,2026-07-10,52931858.29,12239355.0,7.626,1683202.06,True,CURRENT,0,ACTIVE,True,1,12239355.0,1683202.06,0.2405
LOAN000000070,CUS00000214,PERSONAL,2022-12-01,2037-09-13,117263862.27,89850221.39,13.608,702487.8,False,CURRENT,0,ACTIVE,True,1,89850221.39,702487.8,0.0234
LOAN000000071,CUS00000216,BUSINESS,2020-11-07,2030-09-16,635713697.78,330161067.03,8.629,6311521.18,False,CURRENT,0,ACTIVE,True,1,330161067.03,6311521.18,0.0526
LOAN000000072,CUS00000217,HOME,2022-08-27,2024-08-16,1240670586.36,39540713.92,9.466,58237356.6,True,CURRENT,0,ACTIVE,True,1,39540713.92,58237356.6,0.9706
LOAN000000073,CUS00000220,PERSONAL,2021-10-10,2041-06-27,95618826.86,72361087.88,10.608,426940.55,False,CURRENT,0,ACTIVE,True,2,72413428.57,7333918.76,0.2445
LOAN000000074,CUS00000220,BUSINESS,2019-11-27,2022-11-11,211984837.49,52340.69,13.368,6906978.21,False,CURRENT,0,ACTIVE,True,2,72413428.57,7333918.76,0.2445
LOAN000000075,CUS00000221,HOME,2024-02-05,2026-01-25,82532673.39,5411056.36,12.185,3879016.42,True,CURRENT,0,ACTIVE,True,1,5411056.36,3879016.42,0.5541
LOAN000000076,CUS00000222,PERSONAL,2022-08-05,2025-07-20,105906934.3,28699111.73,7.82,3521755.92,False,CURRENT,0,ACTIVE,True,1,28699111.73,3521755.92,0.2348
LOAN000000077,CUS00000229,PERSONAL,2022-04-29,2032-03-07,1720367002.38,1100855383.76,12.745,15920617.45,False,CURRENT,0,ACTIVE,True,1,1100855383.76,15920617.45,0.2653
LOAN000000078,CUS00000244,AUTO,2025-11-18,2027-11-08,4837799619.41,2980203930.39,8.205,237046023.73,True,CURRENT,0,ACTIVE,True,1,2980203930.39,237046023.73,1.9754
LOAN000000079,CUS00000252,HOME,2020-02-19,2021-02-13,203475646.87,56597204.2,10.176,19237452.93,True,CURRENT,0,ACTIVE,True,2,271979966.18,43042254.12,0.7174
LOAN000000080,CUS00000252,AUTO,2024-05-26,2027-05-11,687334575.88,215382761.98,12.962,23804801.19,True,CURRENT,0,ACTIVE,True,2,271979966.18,43042254.12,0.7174
LOAN000000081,CUS00000253,HOME,2023-10-22,2025-10-11,139254666.97,33068115.84,9.043,6957927.11,True,LATE,15,DELINQUENT,True,1,33068115.84,6957927.11,0.4639
LOAN000000082,CUS00000256,PERSONAL,2024-09-30,2039-07-14,72538978.63,63590955.69,8.948,455030.41,False,CURRENT,0,ACTIVE,True,2,140193922.47,3486151.81,0.0581
LOAN000000083,CUS00000256,BUSINESS,2023-10-16,2028-09-19,146220299.78,76602966.78,11.445,3031121.4,False,CURRENT,0,ACTIVE,True,2,140193922.47,3486151.81,0.0581
LOAN000000084,CUS00000259,HOME,2021-03-15,2035-12-27,1143489693.18,823167438.81,9.637,7036824.83,True,CURRENT,0,ACTIVE,True,1,823167438.81,7036824.83,0.1173
LOAN000000085,CUS00000261,PERSONAL,2025-08-21,2045-05-08,111199525.34,106770133.34,7.492,508638.22,False,CURRENT,0,ACTIVE,True,1,106770133.34,508638.22,0.017
LOAN000000086,CUS00000262,AUTO,2020-10-26,2035-08-09,339098643.89,228673519.78,12.599,2126678.68,True,CURRENT,0,ACTIVE,True,2,295725561.65,2890684.92,0.0482
LOAN000000087,CUS00000262,PERSONAL,2024-11-15,2034-09-24,81256707.97,67052041.87,11.908,764006.24,False,CURRENT,0,ACTIVE,True,2,295725561.65,2890684.92,0.0482
LOAN000000088,CUS00000270,HOME,2025-09-21,2028-09-05,78561732.47,57637946.02,7.525,2657515.45,True,CURRENT,0,ACTIVE,True,1,57637946.02,2657515.45,0.1772
LOAN000000089,CUS00000273,HOME,2020-07-29,2022-07-19,75457574.33,6874331.17,10.261,3410244.67,True,CURRENT,0,ACTIVE,True,1,6874331.17,3410244.67,0.2273
LOAN000000090,CUS00000277,PERSONAL,2024-06-30,2026-06-20,24776899.41,6584238.72,13.039,1276252.24,False,CURRENT,0,ACTIVE,True,1,6584238.72,1276252.24,0.0851
LOAN000000091,CUS00000283,HOME,2019-10-22,2034-08-04,901119853.52,491661015.67,13.868,5641305.21,True,CURRENT,0,ACTIVE,True,1,491661015.67,5641305.21,0.188
LOAN000000092,CUS00000284,PERSONAL,2022-03-26,2026-03-05,189099162.32,28741178.0,8.549,4713989.37,False,CURRENT,0,ACTIVE,True,1,28741178.0,4713989.37,0.0786
LOAN000000093,CUS00000285,PERSONAL,2020-11-12,2025-10-17,291252701.3,72952422.3,9.233,5869568.35,False,CURRENT,0,ACTIVE,True,1,72952422.3,5869568.35,0.0978
LOAN000000094,CUS00000292,AUTO,2021-01-28,2030-12-07,1160904105.44,691255514.33,8.385,10721856.56,True,CURRENT,0,ACTIVE,True,1,691255514.33,10721856.56,0.1787
LOAN000000095,CUS00000294,BUSINESS,2022-08-17,2042-05-04,181190176.76,145172986.47,8.686,868795.81,False,CURRENT,0,ACTIVE,True,2,269445310.99,1611967.31,0.0537
LOAN000000096,CUS00000294,PERSONAL,2023-09-07,2043-05-25,143515253.41,124272324.52,10.819,743171.5,False,CURRENT,0,ACTIVE,True,2,269445310.99,1611967.31,0.0537
LOAN000000097,CUS00000301,HOME,2023-07-24,2028-06-27,31872049.05,14638367.04,12.753,583090.74,True,CURRENT,0,ACTIVE,True,1,14638367.04,583090.74,0.0833
LOAN000000098,CUS00000305,AUTO,2022-01-15,2036-10-28,38082010.97,28190447.63,6.859,254593.79,True,CURRENT,0,ACTIVE,True,1,28190447.63,254593.79,0.017
LOAN000000099,CUS00000308,AUTO,2022-06-07,2025-05-22,93755599.47,12111942.34,7.751,2815696.52,True,CURRENT,0,ACTIVE,True,1,12111942.34,2815696.52,0.0939
LOAN000000100,CUS00000313,PERSONAL,2024-02-17,2043-11-04,438268274.64,391345525.48,7.96,2243080.76,False,CURRENT,0,ACTIVE,True,1,391345525.48,2243080.76,0.0374
LOAN000000101,CUS00000321,HOME,2024-12-04,2027-11-19,27708618.44,15304632.94,9.171,916265.11,True,CURRENT,0,ACTIVE,True,1,15304632.94,916265.11,0.0305
LOAN000000102,CUS00000326,HOME,2020-09-07,2024-08-17,2556281924.1,679944170.84,12.403,65058187.44,True,CURRENT,0,ACTIVE,True,1,679944170.84,65058187.44,0.5422
LOAN000000103,CUS00000329,HOME,2022-12-18,2023-12-13,45946844.61,10894301.56,11.871,4130188.63,True,CURRENT,0,ACTIVE,True,1,10894301.56,4130188.63,0.59
LOAN000000104,CUS00000334,PERSONAL,2024-01-24,2027-01-08,2668238635.75,863575393.45,8.299,84034272.47,False,CURRENT,0,ACTIVE,True,1,863575393.45,84034272.47,1.4006
LOAN000000105,CUS00000335,PERSONAL,2023-01-04,2037-10-17,23277605.6,18706701.95,10.182,155194.07,False,CURRENT,0,ACTIVE,True,1,18706701.95,155194.07,0.0103
LOAN000000106,CUS00000337,AUTO,2024-12-19,2039-10-02,124699277.79,111936263.09,12.698,745932.54,True,CURRENT,0,ACTIVE,True,1,111936263.09,745932.54,0.1066
LOAN000000107,CUS00000338,PERSONAL,2022-08-30,2024-08-19,158974340.81,35019435.56,13.606,7951598.62,False,CURRENT,0,ACTIVE,True,1,35019435.56,7951598.62,0.5301
LOAN000000108,CUS00000340,HOME,2021-06-15,2024-05-30,121685447.91,8150611.0,9.232,3910898.19,True,CURRENT,0,ACTIVE,True,2,94851946.45,5904576.72,0.3936
LOAN000000109,CUS00000340,HOME,2025-11-08,2030-10-13,99028369.15,86701335.45,11.335,1993678.53,True,CURRENT,0,ACTIVE,True,2,94851946.45,5904576.72,0.3936
LOAN000000110,CUS00000341,AUTO,2021-05-26,2036-03-08,1390718705.57,972585595.77,13.969,9357016.16,True,CURRENT,0,ACTIVE,True,1,972585595.77,9357016.16,0.078
LOAN000000111,CUS00000342,HOME,2019-12-11,2020-12-05,1441266294.06,411572081.49,13.098,137342723.83,True,CURRENT,0,ACTIVE,True,1,411572081.49,137342723.83,2.289
LOAN000000112,CUS00000344,BUSINESS,2020-06-25,2022-06-15,4076911682.91,448530400.31,11.565,203430861.29,False,CURRENT,0,ACTIVE,True,1,448530400.31,203430861.29,1.6953
LOAN000000113,CUS00000346,HOME,2021-12-14,2024-11-28,1914344161.42,274257830.73,7.774,56569191.58,True,CURRENT,0,ACTIVE,True,1,274257830.73,56569191.58,0.4714
LOAN000000114,CUS00000349,BUSINESS,2020-04-12,2024-03-22,719165352.49,91530493.26,10.445,16742633.46,False,CURRENT,0,ACTIVE,True,1,91530493.26,16742633.46,0.1395
LOAN000000115,CUS00000352,PERSONAL,2022-08-01,2025-07-16,367238399.56,42939491.1,7.948,11690920.78,False,CURRENT,0,ACTIVE,True,1,42939491.1,11690920.78,0.1948
LOAN000000116,CUS00000354,PERSONAL,2022-12-13,2037-09-25,63925625.88,48514644.41,11.972,436576.33,False,CURRENT,0,ACTIVE,True,1,48514644.41,436576.33,0.0624
LOAN000000117,CUS00000358,PERSONAL,2021-04-13,2036-01-25,1933491520.24,1232575012.73,8.051,11918445.4,False,CURRENT,0,ACTIVE,True,1,1232575012.73,11918445.4,0.1986
LOAN000000118,CUS00000371,PERSONAL,2020-09-21,2022-09-11,24588769.83,6285279.29,13.487,1119410.52,False,CURRENT,0,ACTIVE,True,1,6285279.29,1119410.52,0.0187
LOAN000000119,CUS00000376,AUTO,2022-09-10,2042-05-28,397452787.62,330214414.25,13.879,1987215.08,True,CURRENT,0,ACTIVE,True,1,330214414.25,1987215.08,0.0662
LOAN000000120,CUS00000381,BUSINESS,2020-05-03,2023-04-18,521881741.7,90701592.31,14.446,15748624.16,False,CURRENT,0,ACTIVE,True,1,90701592.31,15748624.16,0.1312
LOAN000000121,CUS00000382,PERSONAL,2021-08-06,2036-05-19,1258459344.53,913719837.24,7.123,7793714.35,False,CURRENT,0,ACTIVE,True,1,913719837.24,7793714.35,0.1299
LOAN000000122,CUS00000389,AUTO,2022-03-20,2032-01-27,28136850.52,16908837.66,10.446,284560.35,True,CURRENT,0,ACTIVE,True,1,16908837.66,284560.35,0.019
LOAN000000123,CUS00000391,BUSINESS,2025-03-12,2029-02-19,3800254544.15,2700547702.26,7.12,92300320.39,False,CURRENT,0,ACTIVE,True,1,2700547702.26,92300320.39,0.7692
LOAN000000124,CUS00000396,PERSONAL,2023-09-01,2028-08-05,379973551.57,170900629.88,8.373,7822441.46,False,CURRENT,0,ACTIVE,True,1,170900629.88,7822441.46,0.2607
LOAN000000125,CUS00000403,AUTO,2022-07-13,2042-03-30,232632002.92,185565470.9,11.444,1089280.4,True,CURRENT,0,ACTIVE,True,1,185565470.9,1089280.4,0.0182
LOAN000000126,CUS00000404,PERSONAL,2023-12-17,2026-12-01,184478725.29,41023195.24,12.198,6101736.38,False,CURRENT,0,ACTIVE,True,1,41023195.24,6101736.38,0.1017
LOAN000000127,CUS00000405,BUSINESS,2022-11-27,2026-11-06,193769486.77,56538528.42,9.834,4716632.75,False,CURRENT,0,ACTIVE,True,1,56538528.42,4716632.75,0.1572
LOAN000000128,CUS00000406,AUTO,2026-06-01,2028-05-21,185885226.37,165376553.37,9.719,9034033.66,True,CURRENT,0,ACTIVE,True,1,165376553.37,9034033.66,0.3011
LOAN000000129,CUS00000409,HOME,2025-03-20,2026-03-15,139187204.88,18534557.24,11.472,13656507.14,True,CURRENT,0,ACTIVE,True,1,18534557.24,13656507.14,0.2276
LOAN000000130,CUS00000411,AUTO,2023-11-12,2027-10-22,526493219.04,188743293.15,11.677,13659606.21,True,CURRENT,0,ACTIVE,True,1,188743293.15,13659606.21,0.2277
LOAN000000131,CUS00000413,HOME,2022-08-20,2026-07-30,1052405199.65,60137921.98,11.047,24645298.49,True,CURRENT,0,ACTIVE,True,1,60137921.98,24645298.49,0.8215
LOAN000000132,CUS00000414,PERSONAL,2026-04-03,2028-03-23,170451305.97,138748659.2,8.31,7924318.04,False,CURRENT,0,ACTIVE,True,1,138748659.2,7924318.04,0.2641
LOAN000000133,CUS00000415,PERSONAL,2025-10-19,2029-09-28,37214327.54,31119366.21,11.483,836113.82,False,CURRENT,0,ACTIVE,True,2,36598840.88,1722737.28,0.2461
LOAN000000134,CUS00000415,HOME,2022-08-05,2024-07-25,18793944.44,5479474.67,12.49,886623.46,True,CURRENT,0,ACTIVE,True,2,36598840.88,1722737.28,0.2461
LOAN000000135,CUS00000417,BUSINESS,2025-12-19,2040-10-01,919025431.8,876858952.52,13.27,5553259.24,False,LATE,15,DELINQUENT,True,1,876858952.52,5553259.24,0.0926
LOAN000000136,CUS00000418,AUTO,2019-11-09,2022-10-24,474380175.7,127473343.92,8.238,16398658.81,True,CURRENT,0,ACTIVE,True,2,557765336.77,36573766.27,0.3048
LOAN000000137,CUS00000418,BUSINESS,2025-06-18,2028-06-02,642894914.43,430291992.85,11.457,20175107.46,False,CURRENT,0,ACTIVE,True,2,557765336.77,36573766.27,0.3048
LOAN000000138,CUS00000421,AUTO,2021-05-28,2026-05-02,3072426692.5,477809467.04,10.386,57161133.3,True,CURRENT,0,ACTIVE,True,1,477809467.04,57161133.3,0.4763
LOAN000000139,CUS00000427,AUTO,2026-02-04,2029-01-19,692588779.75,578290277.43,10.343,22031434.33,True,CURRENT,0,ACTIVE,True,1,578290277.43,22031434.33,0.1836
LOAN000000140,CUS00000430,HOME,2021-12-17,2036-09-29,427546588.25,325958158.28,12.926,2714400.39,True,CURRENT,0,ACTIVE,True,2,439714505.48,11510082.93,0.3837
LOAN000000141,CUS00000430,BUSINESS,2022-08-26,2027-07-31,429112555.16,113756347.2,7.544,8795682.54,False,CURRENT,0,ACTIVE,True,2,439714505.48,11510082.93,0.3837
LOAN000000142,CUS00000434,HOME,2025-10-30,2028-10-14,121011846.44,90694499.96,7.42,3547951.36,True,CURRENT,0,ACTIVE,True,1,90694499.96,3547951.36,0.0591
LOAN000000143,CUS00000437,PERSONAL,2020-09-15,2022-09-05,7272712088.77,1331708196.88,12.882,356857100.54,False,CURRENT,0,ACTIVE,True,1,1331708196.88,356857100.54,5.9476
LOAN000000144,CUS00000440,AUTO,2019-09-05,2022-08-20,254983839.06,57885240.39,13.387,8467256.39,True,LATE,60,DELINQUENT,True,1,57885240.39,8467256.39,0.1411
LOAN000000145,CUS00000444,HOME,2020-08-08,2023-07-24,109633639.03,28393117.9,10.422,3399037.92,True,CURRENT,0,ACTIVE,True,1,28393117.9,3399037.92,0.2266
