product_id,product_code,product_group,segment,eligible_customers,avg_propensity,high_propensity,current_holders,expected_adopters_90d,expected_adopters_30d,expected_adopters_60d
PR005,CARD_CC_ONLINE,CARD,MASS,1578,0.783,1435,2782,95.1,36.1,66.6
PR011,CARD_BUSINESS,CARD,SME,1484,0.7688,1296,2726,87.9,33.4,61.5
PR001,CARD_DEBIT_DOMESTIC,CARD,PRIVATE,1336,0.8068,1243,1624,83.0,31.5,58.1
PR002,CARD_DEBIT_INTL_VISA,CARD,SME,1171,0.8637,1135,1249,77.9,29.6,54.5
PR004,CARD_CC_MDIGI,CARD,SME,1330,0.7589,1170,2816,77.7,29.5,54.4
PR002,CARD_DEBIT_INTL_VISA,CARD,PRIVATE,1066,0.9083,1061,1249,74.6,28.3,52.2
PR005,CARD_CC_ONLINE,CARD,SME,1119,0.8316,1086,2782,71.7,27.2,50.2
PR010,CARD_MERCHANT_POS,CARD,MASS,1250,0.727,1013,1145,70.0,26.6,49.0
PR008,CARD_CC_SIGNATURE,CARD,SME,1184,0.7245,989,2736,66.0,25.1,46.2
PR007,CARD_CC_TRAVEL,CARD,AFFLUENT,1034,0.8237,998,2746,65.6,24.9,45.9
PR006,CARD_CC_FAMILY,CARD,SME,922,0.8407,885,2749,59.7,22.7,41.8
PR009,CARD_CC_WORLD_ELITE,CARD,AFFLUENT,1014,0.7618,888,2781,59.5,22.6,41.6
PR010,CARD_MERCHANT_POS,CARD,MASS_AFFLUENT,929,0.7758,817,1145,55.5,21.1,38.8
PR008,CARD_CC_SIGNATURE,CARD,PRIVATE,746,0.9267,744,2736,53.2,20.2,37.2
PR005,CARD_CC_ONLINE,CARD,PRIVATE,732,0.8907,726,2782,50.2,19.1,35.1
PR004,CARD_CC_MDIGI,CARD,PRIVATE,731,0.82,695,2816,46.2,17.6,32.3
PR011,CARD_BUSINESS,CARD,MASS,943,0.5944,428,2726,43.2,16.4,30.2
PR010,CARD_MERCHANT_POS,CARD,AFFLUENT,665,0.8259,615,1145,42.3,16.1,29.6
PR011,CARD_BUSINESS,CARD,MASS_AFFLUENT,678,0.7024,487,2726,36.7,13.9,25.7
PR007,CARD_CC_TRAVEL,CARD,PRIVATE,506,0.8901,500,2746,34.7,13.2,24.3
PR006,CARD_CC_FAMILY,CARD,PRIVATE,480,0.9271,480,2749,34.3,13.0,24.0
PR009,CARD_CC_WORLD_ELITE,CARD,PRIVATE,491,0.881,485,2781,33.3,12.7,23.3
PR003,CARD_DEBIT_PLATINUM_FCB,CARD,MASS_AFFLUENT,548,0.6825,548,657,28.8,10.9,20.2
PR011,CARD_BUSINESS,CARD,AFFLUENT,430,0.8272,383,2726,27.4,10.4,19.2
PR007,CARD_CC_TRAVEL,CARD,MASS_AFFLUENT,425,0.7671,380,2746,25.1,9.5,17.6
PR003,CARD_DEBIT_PLATINUM_FCB,CARD,SME,280,0.6839,280,657,14.7,5.6,10.3
PR007,CARD_CC_TRAVEL,CARD,SME,243,0.7765,222,2746,14.5,5.5,10.1
PR010,CARD_MERCHANT_POS,CARD,PRIVATE,200,0.8838,193,1145,13.6,5.2,9.5
PR011,CARD_BUSINESS,CARD,PRIVATE,101,0.9153,100,2726,7.1,2.7,5.0
PR008,CARD_CC_SIGNATURE,CARD,MASS,131,0.6628,103,2736,6.7,2.5,4.7
PR007,CARD_CC_TRAVEL,CARD,MASS,17,0.6827,14,2746,0.9,0.3,0.6
PR003,CARD_DEBIT_PLATINUM_FCB,CARD,MASS,14,0.687,14,657,0.7,0.3,0.5
PR014,CASA_M_FIRST,CASA,AFFLUENT,3439,0.6786,1863,730,179.7,68.3,125.8
PR013,CASA_PAYROLL,CASA,MASS,3065,0.7042,3021,15224,166.2,63.2,116.3
PR013,CASA_PAYROLL,CASA,MASS_AFFLUENT,2615,0.8088,2597,15224,162.9,61.9,114.0
PR015,CASA_BIZ_MSMART,CASA,SME,1936,0.8981,1936,936,133.9,50.9,93.7
PR013,CASA_PAYROLL,CASA,AFFLUENT,1909,0.8333,1892,15224,122.5,46.6,85.8
PR016,CASA_ESCROW,CASA,SME,1431,0.9538,1431,649,105.1,39.9,73.6
PR014,CASA_M_FIRST,CASA,MASS_AFFLUENT,1764,0.7271,1764,730,98.8,37.5,69.2
PR015,CASA_BIZ_MSMART,CASA,MASS,1304,0.8025,1304,936,80.6,30.6,56.4
PR014,CASA_M_FIRST,CASA,PRIVATE,1281,0.7743,998,730,76.4,29.0,53.5
PR014,CASA_M_FIRST,CASA,SME,1030,0.7879,962,730,62.5,23.8,43.8
PR015,CASA_BIZ_MSMART,CASA,MASS_AFFLUENT,932,0.868,932,936,62.3,23.7,43.6
PR013,CASA_PAYROLL,CASA,SME,760,0.813,755,15224,47.6,18.1,33.3
PR015,CASA_BIZ_MSMART,CASA,AFFLUENT,662,0.8956,662,936,45.7,17.4,32.0
PR016,CASA_ESCROW,CASA,AFFLUENT,528,0.9713,528,649,39.5,15.0,27.6
PR016,CASA_ESCROW,CASA,MASS_AFFLUENT,538,0.9012,538,649,37.3,14.2,26.1
PR013,CASA_PAYROLL,CASA,PRIVATE,509,0.8018,496,15224,31.4,11.9,22.0
PR015,CASA_BIZ_MSMART,CASA,PRIVATE,196,0.9285,196,936,14.0,5.3,9.8
PR012,CASA_PERSONAL,CASA,MASS,266,0.6763,261,21346,13.9,5.3,9.7
PR016,CASA_ESCROW,CASA,PRIVATE,184,0.9698,184,649,13.7,5.2,9.6
PR012,CASA_PERSONAL,CASA,MASS_AFFLUENT,251,0.6791,248,21346,13.1,5.0,9.2
PR016,CASA_ESCROW,CASA,MASS,179,0.7359,179,649,10.1,3.8,7.1
PR012,CASA_PERSONAL,CASA,AFFLUENT,167,0.6829,166,21346,8.8,3.3,6.2
PR012,CASA_PERSONAL,CASA,SME,53,0.6942,52,21346,2.8,1.1,2.0
PR012,CASA_PERSONAL,CASA,PRIVATE,38,0.6967,37,21346,2.0,0.8,1.4
PR014,CASA_M_FIRST,CASA,MASS,14,0.7223,14,730,0.8,0.3,0.6
PR017,FD_TD_STANDARD,FD,MASS,6794,0.6022,3725,1397,315.0,119.7,220.5
PR018,FD_TD_ONLINE,FD,MASS,6892,0.5766,2822,1298,306.0,116.3,214.2
PR017,FD_TD_STANDARD,FD,MASS_AFFLUENT,5445,0.6604,3558,1397,276.9,105.2,193.8
PR018,FD_TD_ONLINE,FD,MASS_AFFLUENT,5707,0.6216,3011,1298,273.2,103.8,191.2
PR021,FD_SAV_UPFRONT,FD,MASS,6360,0.5389,2028,1370,263.9,100.3,184.7
PR021,FD_SAV_UPFRONT,FD,MASS_AFFLUENT,5685,0.5945,2701,1370,260.3,98.9,182.2
PR020,FD_SAV_PARTIAL,FD,MASS_AFFLUENT,5370,0.6072,3010,1355,251.1,95.4,175.8
PR020,FD_SAV_PARTIAL,FD,MASS,6223,0.5088,1381,1355,243.8,92.6,170.7
PR018,FD_TD_ONLINE,FD,AFFLUENT,4335,0.6591,3097,1298,220.0,83.6,154.0
PR017,FD_TD_STANDARD,FD,AFFLUENT,4138,0.6841,3076,1397,218.0,82.8,152.6
PR022,FD_SAV_PERIODIC,FD,AFFLUENT,4188,0.6722,3201,1303,216.8,82.4,151.8
PR020,FD_SAV_PARTIAL,FD,AFFLUENT,4283,0.6463,2958,1355,213.1,81.0,149.2
PR021,FD_SAV_UPFRONT,FD,AFFLUENT,4284,0.6367,2562,1370,210.0,79.8,147.0
PR024,FD_CD,FD,AFFLUENT,3696,0.7211,3479,1337,205.2,78.0,143.6
PR019,FD_SAV_MAXRATE,FD,AFFLUENT,3831,0.688,3595,1418,203.0,77.1,142.1
PR019,FD_SAV_MAXRATE,FD,MASS_AFFLUENT,4507,0.5801,1505,1418,201.3,76.5,140.9
PR024,FD_CD,FD,MASS_AFFLUENT,3844,0.558,1126,1337,165.2,62.8,115.6
PR023,FD_SAV_KIDS,FD,AFFLUENT,2828,0.6988,2264,1341,152.2,57.8,106.5
PR017,FD_TD_STANDARD,FD,SME,1763,0.7172,1459,1397,97.4,37.0,68.2
PR018,FD_TD_ONLINE,FD,SME,1904,0.6625,1187,1298,97.1,36.9,68.0
PR020,FD_SAV_PARTIAL,FD,SME,1824,0.6661,1416,1355,93.6,35.6,65.5
PR021,FD_SAV_UPFRONT,FD,SME,1828,0.6344,1109,1370,89.3,33.9,62.5
PR019,FD_SAV_MAXRATE,FD,MASS,2076,0.5424,292,1418,86.7,32.9,60.7
PR022,FD_SAV_PERIODIC,FD,MASS_AFFLUENT,1852,0.5692,594,1303,81.2,30.9,56.8
PR018,FD_TD_ONLINE,FD,PRIVATE,1435,0.7007,1236,1298,77.4,29.4,54.2
PR017,FD_TD_STANDARD,FD,PRIVATE,1403,0.71,1228,1397,76.7,29.1,53.7
PR022,FD_SAV_PERIODIC,FD,PRIVATE,1404,0.7078,1296,1303,76.5,29.1,53.6
PR024,FD_CD,FD,PRIVATE,1326,0.7454,1303,1337,76.1,28.9,53.3
PR020,FD_SAV_PARTIAL,FD,PRIVATE,1414,0.6859,1175,1355,74.7,28.4,52.3
PR019,FD_SAV_MAXRATE,FD,PRIVATE,1354,0.7099,1331,1418,74.0,28.1,51.8
PR021,FD_SAV_UPFRONT,FD,PRIVATE,1395,0.6706,972,1370,72.0,27.4,50.4
PR024,FD_CD,FD,SME,1549,0.6011,835,1337,71.7,27.2,50.2
PR019,FD_SAV_MAXRATE,FD,SME,1561,0.5919,632,1418,71.1,27.0,49.8
PR023,FD_SAV_KIDS,FD,SME,1308,0.7004,1045,1341,70.5,26.8,49.3
PR022,FD_SAV_PERIODIC,FD,MASS,1453,0.5393,253,1303,60.3,22.9,42.2
PR023,FD_SAV_KIDS,FD,PRIVATE,944,0.7414,840,1341,53.9,20.5,37.7
PR024,FD_CD,FD,MASS,1230,0.5422,225,1337,51.4,19.5,36.0
PR022,FD_SAV_PERIODIC,FD,SME,606,0.6086,348,1303,28.4,10.8,19.9
PR026,LEND_OVERDRAFT_PERSONAL,LENDING,MASS,5694,0.4958,442,1314,217.4,82.6,152.2
PR027,LEND_CONSUMER,LENDING,MASS_AFFLUENT,3863,0.6729,2555,1337,200.2,76.1,140.1
PR025,LEND_UNSECURED_PAYROLL,LENDING,MASS_AFFLUENT,3791,0.6627,2585,1301,193.4,73.5,135.4
PR027,LEND_CONSUMER,LENDING,MASS,4236,0.5795,1504,1337,189.0,71.8,132.3
PR026,LEND_OVERDRAFT_PERSONAL,LENDING,MASS_AFFLUENT,4358,0.5424,896,1314,182.0,69.2,127.4
PR025,LEND_UNSECURED_PAYROLL,LENDING,AFFLUENT,3319,0.7041,2387,1301,180.0,68.4,126.0
PR027,LEND_CONSUMER,LENDING,AFFLUENT,3146,0.7352,2441,1337,178.1,67.7,124.7
PR031,LEND_AUTO_NEW,LENDING,AFFLUENT,3088,0.7409,2768,1343,176.2,67.0,123.3
PR026,LEND_OVERDRAFT_PERSONAL,LENDING,AFFLUENT,3030,0.571,1222,1314,133.2,50.6,93.2
PR030,LEND_HOME_RENOVATE,LENDING,MASS_AFFLUENT,2341,0.611,1273,1335,110.1,41.8,77.1
PR032,LEND_SECURITIES_PLEDGE,LENDING,AFFLUENT,1910,0.6975,1739,1398,102.6,39.0,71.8
PR032,LEND_SECURITIES_PLEDGE,LENDING,MASS_AFFLUENT,1960,0.6628,1643,1398,100.0,38.0,70.0
PR030,LEND_HOME_RENOVATE,LENDING,AFFLUENT,2029,0.6333,1327,1335,98.9,37.6,69.2
PR033,LEND_BIZ_WC,LENDING,SME,1496,0.738,1302,1363,85.0,32.3,59.5
PR025,LEND_UNSECURED_PAYROLL,LENDING,SME,1480,0.7036,1134,1301,80.2,30.5,56.1
PR031,LEND_AUTO_NEW,LENDING,SME,1439,0.7196,1186,1343,79.7,30.3,55.8
PR035,LEND_OVERDRAFT_BIZ,LENDING,SME,1496,0.6605,1175,1302,76.1,28.9,53.3
PR027,LEND_CONSUMER,LENDING,SME,1318,0.7257,1054,1337,73.6,28.0,51.5
PR026,LEND_OVERDRAFT_PERSONAL,LENDING,SME,1419,0.5786,545,1314,63.2,24.0,44.2
PR031,LEND_AUTO_NEW,LENDING,PRIVATE,996,0.8077,996,1343,61.9,23.5,43.3
PR027,LEND_CONSUMER,LENDING,PRIVATE,1018,0.7878,919,1337,61.8,23.5,43.3
PR025,LEND_UNSECURED_PAYROLL,LENDING,PRIVATE,1019,0.7777,887,1301,61.0,23.2,42.7
PR025,LEND_UNSECURED_PAYROLL,LENDING,MASS,1221,0.6175,776,1301,58.1,22.1,40.7
PR028,LEND_HOME_SECURED,LENDING,AFFLUENT,1095,0.6514,714,1332,54.9,20.9,38.4
PR029,LEND_HOME_PROJECT,LENDING,AFFLUENT,981,0.6348,654,1309,47.9,18.2,33.5
PR026,LEND_OVERDRAFT_PERSONAL,LENDING,PRIVATE,957,0.6097,623,1314,44.9,17.1,31.4
PR030,LEND_HOME_RENOVATE,LENDING,MASS,989,0.5842,406,1335,44.5,16.9,31.2
PR033,LEND_BIZ_WC,LENDING,MASS,936,0.5989,434,1363,43.2,16.4,30.2
PR030,LEND_HOME_RENOVATE,LENDING,SME,866,0.6443,592,1335,43.0,16.3,30.1
PR032,LEND_SECURITIES_PLEDGE,LENDING,MASS,866,0.6149,566,1398,41.0,15.6,28.7
PR035,LEND_OVERDRAFT_BIZ,LENDING,MASS,936,0.569,334,1302,41.0,15.6,28.7
PR033,LEND_BIZ_WC,LENDING,MASS_AFFLUENT,724,0.672,531,1363,37.5,14.2,26.2
PR029,LEND_HOME_PROJECT,LENDING,MASS_AFFLUENT,784,0.5998,424,1309,36.2,13.8,25.3
PR035,LEND_OVERDRAFT_BIZ,LENDING,MASS_AFFLUENT,724,0.6222,466,1302,34.7,13.2,24.3
PR032,LEND_SECURITIES_PLEDGE,LENDING,PRIVATE,568,0.7348,539,1398,32.1,12.2,22.5
PR030,LEND_HOME_RENOVATE,LENDING,PRIVATE,606,0.6738,518,1335,31.4,11.9,22.0
PR033,LEND_BIZ_WC,LENDING,AFFLUENT,489,0.7363,434,1363,27.7,10.5,19.4
PR035,LEND_OVERDRAFT_BIZ,LENDING,AFFLUENT,489,0.6603,390,1302,24.9,9.5,17.4
PR028,LEND_HOME_SECURED,LENDING,MASS,600,0.5152,60,1332,23.8,9.0,16.7
PR029,LEND_HOME_PROJECT,LENDING,MASS,600,0.4937,102,1309,22.8,8.7,16.0
PR028,LEND_HOME_SECURED,LENDING,MASS_AFFLUENT,481,0.6043,221,1332,22.4,8.5,15.7
PR028,LEND_HOME_SECURED,LENDING,PRIVATE,391,0.6728,293,1332,20.3,7.7,14.2
PR029,LEND_HOME_PROJECT,LENDING,PRIVATE,369,0.6585,291,1309,18.7,7.1,13.1
PR029,LEND_HOME_PROJECT,LENDING,SME,356,0.6468,255,1309,17.7,6.7,12.4
PR032,LEND_SECURITIES_PLEDGE,LENDING,SME,315,0.7043,289,1398,17.1,6.5,12.0
PR034,LEND_AGRI,LENDING,SME,265,0.7919,265,1296,16.2,6.2,11.3
PR034,LEND_AGRI,LENDING,MASS,182,0.711,172,1296,10.0,3.8,7.0
PR033,LEND_BIZ_WC,LENDING,PRIVATE,151,0.7889,150,1363,9.2,3.5,6.4
PR035,LEND_OVERDRAFT_BIZ,LENDING,PRIVATE,151,0.7022,140,1302,8.2,3.1,5.7
PR028,LEND_HOME_SECURED,LENDING,SME,151,0.6899,116,1332,8.0,3.0,5.6
PR034,LEND_AGRI,LENDING,MASS_AFFLUENT,127,0.7526,123,1296,7.4,2.8,5.2
PR034,LEND_AGRI,LENDING,AFFLUENT,89,0.7854,89,1296,5.4,2.1,3.8
PR034,LEND_AGRI,LENDING,PRIVATE,22,0.8146,22,1296,1.4,0.5,1.0
