feedback_id,customer_id,product_id,product_code,product_group,segment,priority_rank,priority_level,propensity,rm_id,rm_verdict,agree_flag,rm_comment,converted_flag,feedback_date
RFB000000034,CUS00006695,PR002,CARD_DEBIT_INTL_VISA,CARD,PRIVATE,1,High,0.99,RM0084,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-14
RFB000000035,CUS00001963,PR031,LEND_AUTO_NEW,LENDING,SME,3,Low,0.683,RM0098,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-07-20
RFB000000036,CUS00013365,PR012,CASA_PERSONAL,CASA,SME,1,Medium,0.99,RM0165,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-30
RFB000000037,CUS00009417,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS_AFFLUENT,3,Do not prioritize,0.6286,RM0141,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-07-20
RFB000000038,CUS00012995,PR019,FD_SAV_MAXRATE,FD,MASS,3,Low,0.6657,RM0121,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-25
RFB000000039,CUS00006413,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS,1,Do not prioritize,0.701,RM0176,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-10
RFB000000040,CUS00000550,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS_AFFLUENT,3,Do not prioritize,0.596,RM0073,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-26
RFB000000041,CUS00024111,PR023,FD_SAV_KIDS,FD,MASS_AFFLUENT,2,Medium,0.7591,RM0119,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-07-27
RFB000000042,CUS00023995,PR005,CARD_CC_ONLINE,CARD,MASS_AFFLUENT,3,Medium,0.8479,RM0007,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-13
RFB000000043,CUS00013214,PR013,CASA_PAYROLL,CASA,MASS_AFFLUENT,1,Low,0.9068,RM0016,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-22
RFB000000044,CUS00017431,PR031,LEND_AUTO_NEW,LENDING,AFFLUENT,2,Low,0.7409,RM0112,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-21
RFB000000045,CUS00012731,PR023,FD_SAV_KIDS,FD,AFFLUENT,1,High,0.8868,RM0173,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-25
RFB000000046,CUS00012697,PR003,CARD_DEBIT_PLATINUM_FCB,CARD,AFFLUENT,2,Medium,0.99,RM0177,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-04
RFB000000047,CUS00007973,PR001,CARD_DEBIT_DOMESTIC,CARD,AFFLUENT,2,Low,0.8227,RM0098,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-31
RFB000000048,CUS00003055,PR025,LEND_UNSECURED_PAYROLL,LENDING,MASS_AFFLUENT,3,Medium,0.6919,RM0163,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-05
RFB000000049,CUS00000185,PR013,CASA_PAYROLL,CASA,MASS_AFFLUENT,1,Low,0.9018,RM0125,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-09
RFB000000050,CUS00022418,PR001,CARD_DEBIT_DOMESTIC,CARD,AFFLUENT,2,Do not prioritize,0.6498,RM0085,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-06
RFB000000051,CUS00019507,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS_AFFLUENT,1,Low,0.6801,RM0161,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-19
RFB000000052,CUS00017414,PR021,FD_SAV_UPFRONT,FD,MASS_AFFLUENT,3,Medium,0.7561,RM0019,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-26
RFB000000053,CUS00010724,PR031,LEND_AUTO_NEW,LENDING,AFFLUENT,1,Medium,0.8446,RM0033,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-04
RFB000000054,CUS00021838,PR015,CASA_BIZ_MSMART,CASA,SME,3,High,0.9843,RM0099,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-30
RFB000000055,CUS00024697,PR002,CARD_DEBIT_INTL_VISA,CARD,AFFLUENT,1,Medium,0.99,RM0058,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-19
RFB000000056,CUS00020071,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS,2,Do not prioritize,0.8127,RM0164,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-21
RFB000000057,CUS00022141,PR026,LEND_OVERDRAFT_PERSONAL,LENDING,MASS,3,Do not prioritize,0.4756,RM0025,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-20
RFB000000058,CUS00010294,PR006,CARD_CC_FAMILY,CARD,MASS_AFFLUENT,1,Do not prioritize,0.4847,RM0149,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-19
RFB000000059,CUS00008139,PR031,LEND_AUTO_NEW,LENDING,MASS,2,Do not prioritize,0.4321,RM0044,NOT_RELEVANT,False,KH không có nhu cầu/đặc điểm phù hợp sản phẩm này.,False,2026-07-30
RFB000000060,CUS00011254,PR013,CASA_PAYROLL,CASA,AFFLUENT,1,Low,0.99,RM0104,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-18
RFB000000061,CUS00018911,PR025,LEND_UNSECURED_PAYROLL,LENDING,MASS_AFFLUENT,2,Medium,0.8543,RM0009,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-07
RFB000000062,CUS00001007,PR023,FD_SAV_KIDS,FD,SME,2,Do not prioritize,0.5293,RM0004,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-18
RFB000000063,CUS00003885,PR017,FD_TD_STANDARD,FD,PRIVATE,2,Medium,0.8589,RM0145,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-13
RFB000000064,CUS00006956,PR004,CARD_CC_MDIGI,CARD,MASS,2,Do not prioritize,0.7332,RM0162,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-31
RFB000000065,CUS00014432,PR032,LEND_SECURITIES_PLEDGE,LENDING,MASS_AFFLUENT,3,Low,0.7479,RM0029,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-17
RFB000000066,CUS00015009,PR013,CASA_PAYROLL,CASA,MASS,1,Do not prioritize,0.6364,RM0071,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-22
RFB000000067,CUS00006809,PR002,CARD_DEBIT_INTL_VISA,CARD,AFFLUENT,1,High,0.99,RM0170,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-18
RFB000000068,CUS00015938,PR006,CARD_CC_FAMILY,CARD,MASS_AFFLUENT,3,Do not prioritize,0.4829,RM0110,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-30
RFB000000069,CUS00018696,PR002,CARD_DEBIT_INTL_VISA,CARD,MASS_AFFLUENT,3,High,0.9649,RM0097,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-27
RFB000000070,CUS00006128,PR025,LEND_UNSECURED_PAYROLL,LENDING,MASS,2,Do not prioritize,0.5817,RM0060,CANT_AFFORD,False,Dòng tiền/khả năng trả nợ chưa đủ điều kiện.,False,2026-08-23
RFB000000071,CUS00005413,PR005,CARD_CC_ONLINE,CARD,PRIVATE,1,Very High,0.9608,RM0020,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-11
RFB000000072,CUS00009047,PR006,CARD_CC_FAMILY,CARD,AFFLUENT,2,Very High,0.989,RM0151,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-24
RFB000000073,CUS00018639,PR023,FD_SAV_KIDS,FD,MASS,3,Do not prioritize,0.6145,RM0051,NOT_RELEVANT,False,KH không có nhu cầu/đặc điểm phù hợp sản phẩm này.,False,2026-08-16
RFB000000074,CUS00000530,PR015,CASA_BIZ_MSMART,CASA,MASS_AFFLUENT,3,Do not prioritize,0.6521,RM0055,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-25
RFB000000075,CUS00018379,PR014,CASA_M_FIRST,CASA,AFFLUENT,1,Medium,0.8686,RM0138,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-31
RFB000000076,CUS00009920,PR017,FD_TD_STANDARD,FD,MASS_AFFLUENT,3,High,0.8636,RM0019,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-18
RFB000000077,CUS00023260,PR003,CARD_DEBIT_PLATINUM_FCB,CARD,AFFLUENT,2,High,0.9709,RM0147,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-25
RFB000000078,CUS00005891,PR003,CARD_DEBIT_PLATINUM_FCB,CARD,AFFLUENT,1,Medium,0.99,RM0174,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-13
RFB000000079,CUS00013280,PR013,CASA_PAYROLL,CASA,AFFLUENT,1,Low,0.8377,RM0094,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-22
RFB000000080,CUS00008089,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS_AFFLUENT,2,Medium,0.8516,RM0118,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-28
RFB000000081,CUS00003748,PR027,LEND_CONSUMER,LENDING,MASS_AFFLUENT,3,High,0.854,RM0034,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-07-23
RFB000000082,CUS00012124,PR025,LEND_UNSECURED_PAYROLL,LENDING,MASS,2,Medium,0.7231,RM0127,NOT_RELEVANT,False,KH không có nhu cầu/đặc điểm phù hợp sản phẩm này.,False,2026-08-16
RFB000000083,CUS00023337,PR001,CARD_DEBIT_DOMESTIC,CARD,AFFLUENT,1,High,0.99,RM0173,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-01
RFB000000084,CUS00003777,PR017,FD_TD_STANDARD,FD,MASS,2,Do not prioritize,0.5664,RM0104,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-18
RFB000000085,CUS00013720,PR018,FD_TD_ONLINE,FD,AFFLUENT,2,Low,0.7018,RM0162,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-21
RFB000000086,CUS00011086,PR001,CARD_DEBIT_DOMESTIC,CARD,AFFLUENT,2,Low,0.693,RM0022,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-19
RFB000000087,CUS00004550,PR023,FD_SAV_KIDS,FD,MASS_AFFLUENT,3,Low,0.6587,RM0162,NOT_RELEVANT,False,KH không có nhu cầu/đặc điểm phù hợp sản phẩm này.,False,2026-08-26
RFB000000088,CUS00004703,PR006,CARD_CC_FAMILY,CARD,MASS,3,Do not prioritize,0.5021,RM0089,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-08-04
RFB000000089,CUS00011694,PR017,FD_TD_STANDARD,FD,MASS,3,Low,0.6782,RM0036,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-10
RFB000000090,CUS00003828,PR013,CASA_PAYROLL,CASA,AFFLUENT,1,Low,0.9152,RM0138,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-09
RFB000000091,CUS00021046,PR002,CARD_DEBIT_INTL_VISA,CARD,AFFLUENT,2,Medium,0.9129,RM0147,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-26
RFB000000092,CUS00019791,PR015,CASA_BIZ_MSMART,CASA,MASS,3,Medium,0.8821,RM0084,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-28
RFB000000093,CUS00015135,PR016,CASA_ESCROW,CASA,SME,1,High,0.99,RM0054,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-01
RFB000000094,CUS00007805,PR005,CARD_CC_ONLINE,CARD,MASS,1,Low,0.7381,RM0139,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-08
RFB000000095,CUS00015690,PR001,CARD_DEBIT_DOMESTIC,CARD,AFFLUENT,2,Medium,0.8922,RM0038,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-22
RFB000000096,CUS00016942,PR002,CARD_DEBIT_INTL_VISA,CARD,MASS,2,Low,0.7852,RM0090,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-24
RFB000000097,CUS00001301,PR016,CASA_ESCROW,CASA,AFFLUENT,3,High,0.99,RM0054,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-08
RFB000000098,CUS00008367,PR013,CASA_PAYROLL,CASA,MASS_AFFLUENT,1,Low,0.9022,RM0031,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-03
RFB000000099,CUS00002696,PR015,CASA_BIZ_MSMART,CASA,SME,1,Medium,0.99,RM0056,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-04
RFB000000100,CUS00004105,PR015,CASA_BIZ_MSMART,CASA,MASS,2,Low,0.8784,RM0171,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-16
RFB000000101,CUS00001418,PR018,FD_TD_ONLINE,FD,MASS,3,Medium,0.8596,RM0165,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-15
RFB000000102,CUS00012538,PR015,CASA_BIZ_MSMART,CASA,MASS_AFFLUENT,3,Low,0.7869,RM0002,NOT_RELEVANT,False,KH không có nhu cầu/đặc điểm phù hợp sản phẩm này.,False,2026-08-02
RFB000000103,CUS00008191,PR002,CARD_DEBIT_INTL_VISA,CARD,MASS_AFFLUENT,2,Do not prioritize,0.5634,RM0094,ALREADY_HAS,False,KH đã có sản phẩm tương đương ở NH khác.,False,2026-07-26
RFB000000104,CUS00020976,PR024,FD_CD,FD,PRIVATE,2,Medium,0.7235,RM0109,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-22
RFB000000105,CUS00006743,PR008,CARD_CC_SIGNATURE,CARD,AFFLUENT,3,Medium,0.8323,RM0167,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-10
RFB000000106,CUS00023992,PR025,LEND_UNSECURED_PAYROLL,LENDING,MASS_AFFLUENT,3,Medium,0.8927,RM0044,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-28
RFB000000107,CUS00001986,PR016,CASA_ESCROW,CASA,SME,2,High,0.99,RM0070,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-27
RFB000000108,CUS00001529,PR014,CASA_M_FIRST,CASA,SME,1,High,0.99,RM0124,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-14
RFB000000109,CUS00002666,PR015,CASA_BIZ_MSMART,CASA,SME,1,High,0.9894,RM0055,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-04
RFB000000110,CUS00009724,PR025,LEND_UNSECURED_PAYROLL,LENDING,MASS_AFFLUENT,2,Medium,0.8683,RM0054,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-16
RFB000000111,CUS00017542,PR002,CARD_DEBIT_INTL_VISA,CARD,MASS_AFFLUENT,1,Medium,0.99,RM0099,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-27
RFB000000112,CUS00005633,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS,2,Low,0.8735,RM0145,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-24
RFB000000113,CUS00009440,PR022,FD_SAV_PERIODIC,FD,AFFLUENT,3,Medium,0.6557,RM0105,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-07-18
RFB000000114,CUS00015570,PR013,CASA_PAYROLL,CASA,SME,1,Medium,0.9828,RM0086,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-30
RFB000000115,CUS00007535,PR006,CARD_CC_FAMILY,CARD,AFFLUENT,2,Low,0.7129,RM0116,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-27
RFB000000116,CUS00006770,PR035,LEND_OVERDRAFT_BIZ,LENDING,MASS,3,Low,0.6793,RM0091,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-07-19
RFB000000117,CUS00004527,PR016,CASA_ESCROW,CASA,AFFLUENT,1,High,0.99,RM0019,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-18
RFB000000118,CUS00011486,PR002,CARD_DEBIT_INTL_VISA,CARD,SME,1,Medium,0.9888,RM0090,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-24
RFB000000119,CUS00020266,PR008,CARD_CC_SIGNATURE,CARD,AFFLUENT,2,High,0.8508,RM0177,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-24
RFB000000120,CUS00018273,PR032,LEND_SECURITIES_PLEDGE,LENDING,MASS,1,Do not prioritize,0.6747,RM0001,NO_NEED_NOW,False,KH chưa quan tâm ở thời điểm hiện tại.,False,2026-07-18
RFB000000121,CUS00019119,PR002,CARD_DEBIT_INTL_VISA,CARD,AFFLUENT,1,High,0.9701,RM0029,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-26
RFB000000122,CUS00016106,PR002,CARD_DEBIT_INTL_VISA,CARD,MASS,1,Medium,0.9634,RM0021,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-05
RFB000000123,CUS00000279,PR013,CASA_PAYROLL,CASA,MASS_AFFLUENT,2,Low,0.8685,RM0037,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-10
RFB000000124,CUS00014139,PR012,CASA_PERSONAL,CASA,MASS_AFFLUENT,2,Do not prioritize,0.6543,RM0143,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-05
RFB000000125,CUS00001908,PR023,FD_SAV_KIDS,FD,MASS,1,Do not prioritize,0.4479,RM0099,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-07-23
RFB000000126,CUS00008887,PR003,CARD_DEBIT_PLATINUM_FCB,CARD,AFFLUENT,2,High,0.99,RM0017,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-23
RFB000000127,CUS00015670,PR015,CASA_BIZ_MSMART,CASA,MASS,1,Do not prioritize,0.6942,RM0171,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-09
RFB000000128,CUS00006939,PR013,CASA_PAYROLL,CASA,AFFLUENT,1,Low,0.8698,RM0153,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-24
RFB000000129,CUS00007022,PR032,LEND_SECURITIES_PLEDGE,LENDING,MASS_AFFLUENT,2,Medium,0.7917,RM0121,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-29
RFB000000130,CUS00006920,PR006,CARD_CC_FAMILY,CARD,AFFLUENT,3,High,0.9124,RM0172,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-18
RFB000000131,CUS00000138,PR001,CARD_DEBIT_DOMESTIC,CARD,AFFLUENT,3,High,0.9807,RM0095,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-08-29
RFB000000132,CUS00019939,PR006,CARD_CC_FAMILY,CARD,MASS_AFFLUENT,1,Medium,0.9312,RM0101,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",True,2026-07-24
RFB000000133,CUS00015299,PR018,FD_TD_ONLINE,FD,MASS_AFFLUENT,3,Medium,0.6588,RM0042,AGREE,True,"Đề xuất hợp lý, đã tiếp cận KH.",False,2026-08-13
RFB000000134,CUS00005374,PR001,CARD_DEBIT_DOMESTIC,CARD,MASS,1,Medium,0.8272,RM0041,WRONG_TIMING,False,Sản phẩm ổn nhưng chưa đúng thời điểm.,False,2026-08-23
