policy_id,customer_id,insurance_type,provider_code,start_date,expiry_date,renewal_date,premium_amount,policy_value,payment_frequency,policy_status,insurance_product_count,active_insurance_flag,total_annual_premium,nearest_renewal_days
POL000000039,CUS00000135,LIFE,PRV1,2025-03-09,2045-03-04,2027-03-09,12544319.34,161616122.37,QUARTERLY,ACTIVE,1,True,12544319.34,190
POL000000040,CUS00000159,LIFE,PRV1,2025-03-18,2030-03-17,2027-03-18,133421.49,2255560.43,ANNUAL,ACTIVE,2,True,133421.49,199
POL000000041,CUS00000159,HEALTH,PRV5,2023-02-01,2024-02-01,2027-01-31,402713.02,5521664.46,MONTHLY,LAPSED,2,True,133421.49,199
POL000000042,CUS00000162,LIFE,PRV3,2025-09-27,2045-09-22,2026-09-27,1916583.76,19082486.86,QUARTERLY,ACTIVE,1,True,1916583.76,27
POL000000043,CUS00000163,HEALTH,PRV2,2023-10-23,2028-10-21,2026-10-22,1037162.84,25111920.53,ANNUAL,ACTIVE,2,True,2016235.41,52
POL000000044,CUS00000163,HOME,PRV5,2025-07-28,2045-07-23,2027-07-28,979072.57,17607266.09,QUARTERLY,ACTIVE,2,True,2016235.41,52
POL000000045,CUS00000171,LIFE,PRV2,2025-02-20,2045-02-15,2027-02-20,6912779.16,112616741.55,QUARTERLY,ACTIVE,1,True,6912779.16,173
POL000000046,CUS00000177,MOTOR,PRV2,2025-06-12,2045-06-07,2027-06-12,11899988.84,120760595.05,MONTHLY,ACTIVE,1,True,11899988.84,285
POL000000047,CUS00000178,TRAVEL,PRV2,2023-05-21,2043-05-16,2027-05-20,425736.89,9446085.96,ANNUAL,ACTIVE,1,True,425736.89,262
POL000000048,CUS00000180,MOTOR,PRV2,2025-01-30,2035-01-28,2027-01-30,865947.19,11375564.09,ANNUAL,ACTIVE,1,True,865947.19,152
POL000000049,CUS00000190,LIFE,PRV2,2023-04-17,2024-04-16,2027-04-16,6297985.46,138264514.27,ANNUAL,LAPSED,1,False,0.0,
POL000000050,CUS00000196,LIFE,PRV5,2023-07-23,2033-07-20,2027-07-22,904102.11,17676652.29,ANNUAL,ACTIVE,1,True,904102.11,325
POL000000051,CUS00000197,LIFE,PRV4,2025-05-10,2035-05-08,2027-05-10,342376.1,7386600.84,MONTHLY,ACTIVE,2,True,623281.71,210
POL000000052,CUS00000197,TRAVEL,PRV5,2024-03-29,2044-03-24,2027-03-29,280905.61,2724474.47,MONTHLY,ACTIVE,2,True,623281.71,210
POL000000053,CUS00000200,TRAVEL,PRV1,2025-09-04,2030-09-03,2026-09-04,1792890.57,41772996.73,MONTHLY,ACTIVE,1,True,1792890.57,4
POL000000054,CUS00000201,LIFE,PRV4,2023-06-02,2033-05-30,2027-06-01,750846.93,6143422.95,QUARTERLY,ACTIVE,1,True,750846.93,274
POL000000055,CUS00000203,MOTOR,PRV3,2023-07-20,2024-07-19,2027-07-19,285591.8,6282341.15,MONTHLY,LAPSED,1,False,0.0,
POL000000056,CUS00000210,HEALTH,PRV3,2025-04-07,2035-04-05,2027-04-07,2591423.52,45689168.84,QUARTERLY,ACTIVE,1,True,2591423.52,219
POL000000057,CUS00000220,HOME,PRV2,2024-04-15,2029-04-14,2027-04-15,597650.42,14065696.31,ANNUAL,ACTIVE,1,True,597650.42,227
POL000000058,CUS00000224,LIFE,PRV1,2025-11-13,2030-11-12,2026-11-13,2431622.38,46201569.52,ANNUAL,ACTIVE,2,True,5409613.9,74
POL000000059,CUS00000224,LIFE,PRV3,2025-08-17,2030-08-16,2027-08-17,2977991.52,43665069.78,ANNUAL,ACTIVE,2,True,5409613.9,74
POL000000060,CUS00000229,HOME,PRV2,2022-12-29,2042-12-24,2026-12-28,3254259.73,48334729.64,ANNUAL,ACTIVE,1,True,3254259.73,119
POL000000061,CUS00000231,LIFE,PRV1,2025-10-23,2030-10-22,2026-10-23,854651.74,20102958.48,ANNUAL,ACTIVE,2,True,2081436.86,53
POL000000062,CUS00000231,LIFE,PRV3,2024-03-28,2029-03-27,2027-03-28,1226785.12,16745945.82,MONTHLY,ACTIVE,2,True,2081436.86,53
POL000000063,CUS00000234,LIFE,PRV4,2026-07-01,2036-06-28,2027-07-01,292778.67,3805877.23,ANNUAL,ACTIVE,1,True,292778.67,304
POL000000064,CUS00000235,HEALTH,PRV5,2025-11-17,2030-11-16,2026-11-17,16804865.7,157860916.24,MONTHLY,ACTIVE,1,True,16804865.7,78
POL000000065,CUS00000242,HEALTH,PRV3,2025-01-20,2026-01-20,2027-01-20,1708249.01,42319467.82,ANNUAL,LAPSED,1,False,0.0,
POL000000066,CUS00000249,TRAVEL,PRV1,2024-05-26,2025-05-26,2027-05-26,6058636.88,148469010.37,ANNUAL,LAPSED,1,False,0.0,
POL000000067,CUS00000255,MOTOR,PRV4,2025-08-10,2035-08-08,2027-08-10,274573.87,2921946.34,ANNUAL,ACTIVE,2,True,771510.85,183
POL000000068,CUS00000255,LIFE,PRV5,2025-03-02,2045-02-25,2027-03-02,496936.98,11271436.45,ANNUAL,ACTIVE,2,True,771510.85,183
POL000000069,CUS00000259,MOTOR,PRV5,2022-12-24,2027-12-23,2026-12-23,11308107.88,191217978.46,ANNUAL,ACTIVE,2,True,29484095.94,114
POL000000070,CUS00000259,LIFE,PRV4,2024-02-15,2034-02-12,2027-02-14,18175988.06,373817731.51,QUARTERLY,ACTIVE,2,True,29484095.94,114
POL000000071,CUS00000263,MOTOR,PRV5,2024-07-05,2044-06-30,2027-07-05,34601276.72,745172873.15,ANNUAL,ACTIVE,1,True,34601276.72,308
POL000000072,CUS00000270,LIFE,PRV4,2023-07-29,2043-07-24,2027-07-28,155509.1,2282757.75,MONTHLY,ACTIVE,1,True,155509.1,331
POL000000073,CUS00000279,LIFE,PRV4,2025-09-03,2045-08-29,2026-09-03,1127895.24,21772127.54,QUARTERLY,ACTIVE,1,True,1127895.24,3
POL000000074,CUS00000283,MOTOR,PRV1,2024-02-24,2025-02-23,2027-02-23,3322092.64,44310614.73,ANNUAL,LAPSED,1,False,0.0,
POL000000075,CUS00000289,TRAVEL,PRV5,2024-03-05,2029-03-04,2027-03-05,293807.99,4041749.31,ANNUAL,ACTIVE,1,True,293807.99,186
POL000000076,CUS00000291,TRAVEL,PRV4,2025-11-22,2030-11-21,2026-11-22,584733.71,10101236.67,ANNUAL,ACTIVE,2,True,736338.19,1
POL000000077,CUS00000291,LIFE,PRV3,2022-09-02,2027-09-01,2026-09-01,151604.48,2749396.52,ANNUAL,ACTIVE,2,True,736338.19,1
POL000000078,CUS00000295,MOTOR,PRV1,2025-07-31,2030-07-30,2027-07-31,7643278.02,168803276.72,ANNUAL,ACTIVE,1,True,7643278.02,334
POL000000079,CUS00000296,TRAVEL,PRV2,2025-05-06,2026-05-06,2027-05-06,3360406.87,43410293.49,MONTHLY,LAPSED,2,True,1038151.88,160
POL000000080,CUS00000296,HEALTH,PRV2,2023-02-08,2033-02-05,2027-02-07,1038151.88,19006799.62,MONTHLY,ACTIVE,2,True,1038151.88,160
POL000000081,CUS00000297,TRAVEL,PRV4,2024-07-17,2029-07-16,2027-07-17,5150815.58,115064991.44,QUARTERLY,ACTIVE,1,True,5150815.58,320
POL000000082,CUS00000307,HEALTH,PRV2,2023-05-06,2028-05-04,2027-05-05,114722.58,2083945.63,MONTHLY,ACTIVE,1,True,114722.58,247
POL000000083,CUS00000317,HOME,PRV4,2024-10-12,2029-10-11,2026-10-12,1033912.48,20894276.52,ANNUAL,ACTIVE,1,True,1033912.48,42
POL000000084,CUS00000318,MOTOR,PRV1,2023-01-29,2043-01-24,2027-01-28,974991.45,15626848.21,QUARTERLY,ACTIVE,1,True,974991.45,150
POL000000085,CUS00000329,MOTOR,PRV2,2024-11-01,2025-11-01,2026-11-01,358452.28,6259159.66,ANNUAL,LAPSED,2,True,310945.82,92
POL000000086,CUS00000329,LIFE,PRV3,2022-12-02,2027-12-01,2026-12-01,310945.82,4753684.48,ANNUAL,ACTIVE,2,True,310945.82,92
POL000000087,CUS00000337,LIFE,PRV4,2024-09-28,2044-09-23,2026-09-28,727923.01,13330547.91,ANNUAL,ACTIVE,1,True,727923.01,28
POL000000088,CUS00000338,HEALTH,PRV3,2023-12-28,2033-12-25,2026-12-27,681093.25,7321027.31,ANNUAL,ACTIVE,2,True,681093.25,118
POL000000089,CUS00000338,LIFE,PRV5,2023-08-17,2024-08-16,2027-08-16,321213.71,4127026.56,QUARTERLY,LAPSED,2,True,681093.25,118
POL000000090,CUS00000339,LIFE,PRV5,2025-02-16,2030-02-15,2027-02-16,15544869.96,173066696.11,MONTHLY,ACTIVE,1,True,15544869.96,169
POL000000091,CUS00000341,LIFE,PRV5,2025-12-14,2030-12-13,2026-12-14,9765498.51,222351781.32,QUARTERLY,ACTIVE,1,True,9765498.51,105
POL000000092,CUS00000347,HEALTH,PRV3,2025-01-22,2045-01-17,2027-01-22,3578076.34,69861494.98,ANNUAL,ACTIVE,1,True,3578076.34,144
POL000000093,CUS00000349,LIFE,PRV1,2024-08-12,2029-08-11,2027-08-12,5315541.61,116957518.22,QUARTERLY,ACTIVE,2,True,6791137.94,279
POL000000094,CUS00000349,HEALTH,PRV4,2026-06-06,2046-06-01,2027-06-06,1475596.33,29470630.7,ANNUAL,ACTIVE,2,True,6791137.94,279
POL000000095,CUS00000351,HOME,PRV3,2023-10-15,2033-10-12,2026-10-14,15688342.52,315804917.84,MONTHLY,ACTIVE,1,True,15688342.52,44
POL000000096,CUS00000357,LIFE,PRV5,2023-04-08,2033-04-05,2027-04-07,4917722.21,83809247.15,MONTHLY,ACTIVE,1,True,4917722.21,219
POL000000097,CUS00000358,MOTOR,PRV1,2024-12-28,2044-12-23,2026-12-28,9275712.93,134953669.36,ANNUAL,ACTIVE,1,True,9275712.93,119
POL000000098,CUS00000359,HEALTH,PRV3,2024-11-05,2025-11-05,2026-11-05,879937.03,15908811.06,MONTHLY,LAPSED,1,False,0.0,
POL000000099,CUS00000367,LIFE,PRV2,2026-01-01,2030-12-31,2027-01-01,415823.28,7702736.59,ANNUAL,ACTIVE,1,True,415823.28,123
POL000000100,CUS00000373,TRAVEL,PRV5,2026-06-30,2036-06-27,2027-06-30,1799301.7,34193911.95,ANNUAL,ACTIVE,1,True,1799301.7,303
POL000000101,CUS00000380,LIFE,PRV3,2024-07-18,2029-07-17,2027-07-18,13531350.36,160827059.49,ANNUAL,ACTIVE,1,True,13531350.36,321
POL000000102,CUS00000382,HEALTH,PRV3,2022-10-25,2027-10-24,2026-10-24,4119932.87,46577566.96,QUARTERLY,ACTIVE,1,True,4119932.87,54
POL000000103,CUS00000384,LIFE,PRV5,2024-01-05,2025-01-04,2027-01-04,8083568.7,176239579.79,MONTHLY,LAPSED,1,False,0.0,
POL000000104,CUS00000387,HEALTH,PRV3,2024-12-02,2044-11-27,2026-12-02,1047018.74,19521964.58,MONTHLY,ACTIVE,1,True,1047018.74,93
POL000000105,CUS00000391,HOME,PRV3,2025-10-13,2035-10-11,2026-10-13,67518190.37,635558688.76,QUARTERLY,ACTIVE,1,True,67518190.37,43
POL000000106,CUS00000396,HEALTH,PRV3,2025-11-08,2026-11-08,2026-11-08,2360421.88,27382357.17,MONTHLY,ACTIVE,2,True,2360421.88,69
POL000000107,CUS00000396,HOME,PRV3,2024-02-03,2025-02-02,2027-02-02,1859234.98,36639530.98,ANNUAL,LAPSED,2,True,2360421.88,69
POL000000108,CUS00000403,MOTOR,PRV2,2022-11-24,2027-11-23,2026-11-23,1632487.3,26631189.87,MONTHLY,ACTIVE,1,True,1632487.3,84
POL000000109,CUS00000404,MOTOR,PRV4,2025-12-15,2030-12-14,2026-12-15,1701277.12,38103707.76,QUARTERLY,ACTIVE,2,True,3075599.46,106
POL000000110,CUS00000404,TRAVEL,PRV5,2025-03-26,2045-03-21,2027-03-26,1374322.34,20366787.21,QUARTERLY,ACTIVE,2,True,3075599.46,106
POL000000111,CUS00000406,HOME,PRV3,2026-07-07,2046-07-02,2027-07-07,990590.19,20629643.53,ANNUAL,ACTIVE,2,True,1612513.97,99
POL000000112,CUS00000406,LIFE,PRV2,2025-12-08,2030-12-07,2026-12-08,621923.78,6584844.34,ANNUAL,ACTIVE,2,True,1612513.97,99
POL000000113,CUS00000410,MOTOR,PRV3,2026-02-25,2027-02-25,2027-02-25,5152103.33,111061390.77,MONTHLY,ACTIVE,1,True,5152103.33,178
POL000000114,CUS00000413,LIFE,PRV5,2022-10-15,2023-10-15,2026-10-14,1243136.41,21657519.19,MONTHLY,LAPSED,1,False,0.0,
POL000000115,CUS00000414,LIFE,PRV4,2025-07-19,2030-07-18,2027-07-19,1336844.87,21536012.09,MONTHLY,ACTIVE,1,True,1336844.87,322
POL000000116,CUS00000421,TRAVEL,PRV4,2023-07-20,2028-07-18,2027-07-19,31788890.34,629552374.78,ANNUAL,ACTIVE,1,True,31788890.34,322
POL000000117,CUS00000426,LIFE,PRV4,2024-05-15,2029-05-14,2027-05-15,459051.89,6241937.77,ANNUAL,ACTIVE,1,True,459051.89,257
POL000000118,CUS00000427,HEALTH,PRV3,2026-07-05,2031-07-04,2027-07-05,2185866.67,36406380.96,ANNUAL,ACTIVE,1,True,2185866.67,308
POL000000119,CUS00000429,HEALTH,PRV3,2023-10-12,2028-10-10,2026-10-11,1135477.57,13146022.76,QUARTERLY,ACTIVE,2,True,1643139.77,15
POL000000120,CUS00000429,LIFE,PRV3,2025-09-15,2030-09-14,2026-09-15,507662.2,9427870.63,MONTHLY,ACTIVE,2,True,1643139.77,15
POL000000121,CUS00000436,LIFE,PRV5,2022-12-20,2032-12-17,2026-12-19,2396434.0,45377919.1,ANNUAL,ACTIVE,1,True,2396434.0,110
POL000000122,CUS00000442,MOTOR,PRV5,2022-11-28,2027-11-27,2026-11-27,4923001.16,100085914.11,MONTHLY,ACTIVE,1,True,4923001.16,88
POL000000123,CUS00000444,HEALTH,PRV4,2023-06-07,2024-06-06,2027-06-06,463254.42,4133352.13,QUARTERLY,LAPSED,1,False,0.0,
POL000000124,CUS00000445,MOTOR,PRV2,2025-02-13,2035-02-11,2027-02-13,2518048.87,48998208.36,ANNUAL,ACTIVE,2,True,2518048.87,166
POL000000125,CUS00000445,TRAVEL,PRV1,2022-12-08,2023-12-08,2026-12-07,1596404.33,39864537.33,ANNUAL,LAPSED,2,True,2518048.87,166
POL000000126,CUS00000451,LIFE,PRV3,2024-10-29,2034-10-27,2026-10-29,850189.24,10932063.91,MONTHLY,ACTIVE,1,True,850189.24,59
POL000000127,CUS00000453,MOTOR,PRV5,2025-02-17,2035-02-15,2027-02-17,240046.8,2239888.24,QUARTERLY,ACTIVE,1,True,240046.8,170
POL000000128,CUS00000459,LIFE,PRV2,2025-08-26,2026-08-26,2027-08-26,1485435.79,28047540.86,ANNUAL,LAPSED,1,False,0.0,
POL000000129,CUS00000460,MOTOR,PRV1,2024-11-18,2044-11-13,2026-11-18,1062211.88,11206120.58,ANNUAL,ACTIVE,2,True,2942500.36,79
POL000000130,CUS00000460,HEALTH,PRV5,2023-08-20,2028-08-18,2027-08-19,1880288.48,21764328.97,QUARTERLY,ACTIVE,2,True,2942500.36,79
POL000000131,CUS00000462,HEALTH,PRV2,2026-04-03,2027-04-03,2027-04-03,407867.33,4744313.8,MONTHLY,ACTIVE,1,True,407867.33,215
POL000000132,CUS00000469,MOTOR,PRV4,2025-07-26,2026-07-26,2027-07-26,762752.57,13812752.56,ANNUAL,LAPSED,1,False,0.0,
POL000000133,CUS00000470,MOTOR,PRV3,2023-01-07,2043-01-02,2027-01-06,5041216.89,93152648.07,QUARTERLY,ACTIVE,2,True,5041216.89,128
POL000000134,CUS00000470,HOME,PRV5,2022-11-30,2023-11-30,2026-11-29,4727974.52,94090684.08,ANNUAL,LAPSED,2,True,5041216.89,128
POL000000135,CUS00000473,LIFE,PRV1,2024-11-10,2025-11-10,2026-11-10,438971.6,8140190.09,MONTHLY,LAPSED,1,False,0.0,
POL000000136,CUS00000477,HEALTH,PRV4,2023-03-23,2033-03-20,2027-03-22,268306.16,6326142.36,MONTHLY,ACTIVE,2,True,758201.75,203
POL000000137,CUS00000477,LIFE,PRV2,2023-08-12,2033-08-09,2027-08-11,489895.59,8525895.78,ANNUAL,ACTIVE,2,True,758201.75,203
POL000000138,CUS00000486,HEALTH,PRV5,2023-01-13,2043-01-08,2027-01-12,2048191.63,44000656.71,QUARTERLY,ACTIVE,1,True,2048191.63,134
POL000000139,CUS00000493,LIFE,PRV2,2025-10-26,2045-10-21,2026-10-26,846512.61,13193164.71,ANNUAL,ACTIVE,1,True,846512.61,56
POL000000140,CUS00000500,LIFE,PRV1,2024-04-03,2025-04-03,2027-04-03,9237779.3,148980784.26,QUARTERLY,LAPSED,1,False,0.0,
POL000000141,CUS00000503,LIFE,PRV4,2024-03-28,2025-03-28,2027-03-28,1337654.53,32150210.27,ANNUAL,LAPSED,1,False,0.0,
POL000000142,CUS00000506,HEALTH,PRV1,2024-09-04,2025-09-04,2026-09-04,1344831.65,21065951.39,MONTHLY,LAPSED,2,True,613411.05,314
POL000000143,CUS00000506,MOTOR,PRV5,2023-07-12,2033-07-09,2027-07-11,613411.05,7849614.62,ANNUAL,ACTIVE,2,True,613411.05,314
POL000000144,CUS00000511,MOTOR,PRV2,2026-07-16,2031-07-15,2027-07-16,605252.87,7918181.06,ANNUAL,ACTIVE,1,True,605252.87,319
POL000000145,CUS00000521,MOTOR,PRV3,2026-02-24,2036-02-22,2027-02-24,407776.4,9217710.22,ANNUAL,ACTIVE,1,True,407776.4,177
POL000000146,CUS00000524,LIFE,PRV2,2023-10-11,2033-10-08,2026-10-10,4583227.2,85694793.49,ANNUAL,ACTIVE,1,True,4583227.2,40
POL000000147,CUS00000526,LIFE,PRV3,2025-09-23,2030-09-22,2026-09-23,268053.06,2784637.7,ANNUAL,ACTIVE,1,True,268053.06,23
POL000000148,CUS00000529,HEALTH,PRV5,2026-01-23,2027-01-23,2027-01-23,1627957.63,37658589.07,ANNUAL,ACTIVE,1,True,1627957.63,145
POL000000149,CUS00000535,HOME,PRV3,2022-09-03,2032-08-31,2026-09-02,1453848.78,19917841.73,ANNUAL,ACTIVE,1,True,1453848.78,2
POL000000150,CUS00000537,LIFE,PRV1,2026-07-01,2046-06-26,2027-07-01,32417573.03,299450169.03,MONTHLY,ACTIVE,1,True,32417573.03,304
POL000000151,CUS00000550,LIFE,PRV2,2026-08-01,2036-07-29,2027-08-01,578977.31,12372794.14,MONTHLY,ACTIVE,1,True,578977.31,335
POL000000152,CUS00000558,MOTOR,PRV3,2026-01-26,2027-01-26,2027-01-26,221849.77,4337254.72,MONTHLY,ACTIVE,1,True,221849.77,148
POL000000153,CUS00000559,TRAVEL,PRV4,2026-03-17,2036-03-14,2027-03-17,147405.14,2001063.26,ANNUAL,ACTIVE,2,True,474109.71,198
POL000000154,CUS00000559,HEALTH,PRV4,2023-07-30,2043-07-25,2027-07-29,326704.57,7571452.57,QUARTERLY,ACTIVE,2,True,474109.71,198
POL000000155,CUS00000560,LIFE,PRV5,2025-08-04,2045-07-30,2027-08-04,2894345.84,61404814.37,MONTHLY,ACTIVE,1,True,2894345.84,338
POL000000156,CUS00000563,HOME,PRV1,2022-09-07,2032-09-04,2026-09-06,298728.67,4900391.82,ANNUAL,ACTIVE,1,True,298728.67,6
POL000000157,CUS00000571,MOTOR,PRV2,2025-02-20,2030-02-19,2027-02-20,367365.34,5108712.72,MONTHLY,ACTIVE,1,True,367365.34,173
POL000000158,CUS00000572,LIFE,PRV1,2025-07-20,2035-07-18,2027-07-20,4087930.87,59523448.79,MONTHLY,ACTIVE,1,True,4087930.87,323
POL000000159,CUS00000576,HOME,PRV1,2024-12-07,2029-12-06,2026-12-07,265919.4,3371657.53,ANNUAL,ACTIVE,1,True,265919.4,98
POL000000160,CUS00000579,HEALTH,PRV4,2023-01-11,2028-01-10,2027-01-10,6406972.84,118154854.23,ANNUAL,ACTIVE,1,True,6406972.84,132
POL000000161,CUS00000591,LIFE,PRV5,2024-01-21,2029-01-19,2027-01-20,1037444.17,14107736.43,ANNUAL,ACTIVE,1,True,1037444.17,142
POL000000162,CUS00000611,LIFE,PRV1,2024-09-06,2029-09-05,2026-09-06,1232280.45,30598682.71,MONTHLY,ACTIVE,1,True,1232280.45,6
POL000000163,CUS00000612,LIFE,PRV1,2025-07-21,2030-07-20,2027-07-21,3019685.5,57742467.17,QUARTERLY,ACTIVE,1,True,3019685.5,324
POL000000164,CUS00000616,MOTOR,PRV5,2026-07-14,2027-07-14,2027-07-14,422108.46,10010107.0,QUARTERLY,ACTIVE,1,True,422108.46,317
POL000000165,CUS00000617,HOME,PRV2,2025-01-13,2045-01-08,2027-01-13,2540835.42,35799781.29,QUARTERLY,ACTIVE,2,True,6333140.89,31
POL000000166,CUS00000617,HOME,PRV3,2022-10-02,2032-09-29,2026-10-01,3792305.47,62921369.14,QUARTERLY,ACTIVE,2,True,6333140.89,31
POL000000167,CUS00000632,TRAVEL,PRV1,2022-10-16,2042-10-11,2026-10-15,1094114.0,15183356.62,ANNUAL,ACTIVE,2,True,1989711.67,45
POL000000168,CUS00000632,HEALTH,PRV4,2026-02-24,2027-02-24,2027-02-24,895597.67,16848768.69,ANNUAL,ACTIVE,2,True,1989711.67,45
POL000000169,CUS00000640,HEALTH,PRV5,2025-10-22,2035-10-20,2026-10-22,696374.34,15273195.59,QUARTERLY,ACTIVE,1,True,696374.34,52
