customer_id,snapshot_date,txn_count_30d,txn_count_90d,total_spend_30d,total_spend_90d,avg_txn_value_30d,online_spend_30d,travel_spend_90d,dining_spend_90d,international_spend_90d,qr_txn_count_30d,credit_inflow_30d,debit_outflow_30d,spending_growth_3m
CUS00000030,2026-08-31,4,17,7391402.21,17780900.52,1847850.55,5075361.15,795107.1,256627.42,795107.1,0,14425077.38,7391402.21,0.2437
CUS00000031,2026-08-31,7,27,74785423.76,309946936.92,10683631.97,63545678.53,11175649.94,64095.29,11175649.94,0,261719123.95,74785423.76,-0.4718
CUS00000032,2026-08-31,10,22,4998594.18,12309626.84,499859.42,4475469.31,0.0,2155412.94,0.0,1,0.0,4998594.18,0.1216
CUS00000033,2026-08-31,9,20,3739867.46,9524328.8,415540.83,3601272.85,992295.73,650211.64,992295.73,1,194260.21,3739867.46,-0.0431
CUS00000034,2026-08-31,4,14,3385854.6,10557604.13,846463.65,2897019.5,0.0,0.0,0.0,0,0.0,3385854.6,-0.2312
CUS00000035,2026-08-31,11,28,6080507.4,18391772.17,552773.4,3609264.72,2133377.47,0.0,0.0,0,5456973.61,6080507.4,0.4729
CUS00000036,2026-08-31,7,15,21869946.38,56145829.01,3124278.05,8873185.86,2833252.4,0.0,2833252.4,0,6510093.5,21869946.38,-0.1048
CUS00000037,2026-08-31,1,3,419742.73,1062223.86,419742.73,0.0,0.0,0.0,0.0,0,0.0,419742.73,-0.2032
CUS00000038,2026-08-31,8,28,225660172.86,546886528.48,28207521.61,174187953.8,23377428.1,51882843.79,0.0,0,44527013.32,225660172.86,0.1518
CUS00000039,2026-08-31,12,33,233434495.98,717472352.64,19452874.67,107722377.15,160485248.15,9935556.47,55251487.64,0,29009660.85,233434495.98,-0.0565
CUS00000040,2026-08-31,9,23,79668448.89,210600942.99,8852049.88,59146482.7,24401481.19,0.0,24401481.19,0,12088349.11,79668448.89,0.0122
CUS00000041,2026-08-31,7,26,2733367.6,14708844.72,390481.09,2733367.6,678513.85,1392538.77,678513.85,1,808230.19,2733367.6,-0.6059
CUS00000042,2026-08-31,6,21,4589241.72,18598952.01,764873.62,3113820.71,1110666.76,0.0,0.0,1,2265425.61,4589241.72,0.0204
CUS00000043,2026-08-31,5,20,4765076.55,23882659.81,953015.31,2963502.34,170084.62,1054416.78,170084.62,0,0.0,4765076.55,-0.6027
CUS00000044,2026-08-31,7,20,2339986.13,6587199.45,334283.73,2095826.84,0.0,738567.96,0.0,1,5305703.18,2339986.13,0.2471
CUS00000045,2026-08-31,8,27,45309437.65,203021964.8,5663679.71,39584323.08,5725114.57,17336600.52,5725114.57,1,68993114.4,45309437.65,-0.5622
CUS00000046,2026-08-31,6,18,6187353.2,11792041.78,1031225.53,4822404.05,0.0,1187677.29,0.0,0,1483023.68,6187353.2,1.283
CUS00000047,2026-08-31,4,13,1191418.23,3487377.85,297854.56,665721.2,282760.02,506896.96,0.0,0,883226.35,1191418.23,0.6108
CUS00000048,2026-08-31,5,15,2662339.23,8592044.01,532467.85,1020749.92,193320.06,978234.75,0.0,0,402205.88,2662339.23,0.0353
CUS00000049,2026-08-31,6,8,2228964.15,2670161.06,371494.02,1888081.17,0.0,0.0,0.0,0,0.0,2228964.15,7.69
CUS00000050,2026-08-31,9,18,33924867.13,68917241.43,3769429.68,25500642.06,4282236.68,8560812.26,2211467.74,0,3867286.04,33924867.13,0.6801
CUS00000051,2026-08-31,10,26,126880170.98,518598558.48,12688017.1,66108342.42,12015945.17,25436861.62,12015945.17,1,53096364.52,126880170.98,-0.3487
CUS00000052,2026-08-31,5,24,3660850.93,23318073.49,732170.19,3199580.97,941417.83,0.0,0.0,0,233508.32,3660850.93,-0.684
CUS00000053,2026-08-31,11,21,56861464.83,129513059.49,5169224.08,26813244.51,4291362.39,29920988.55,4291362.39,0,807770.9,56861464.83,0.2666
CUS00000054,2026-08-31,8,32,10809866.19,47183275.22,1351233.27,8423031.47,2210545.75,5461315.08,1910668.48,1,20474558.49,10809866.19,-0.452
CUS00000055,2026-08-31,2,5,145543.88,1093056.01,72771.94,95116.36,0.0,0.0,0.0,0,2353771.78,145543.88,-0.7876
CUS00000056,2026-08-31,4,34,1539711.96,11922034.58,384927.99,1206301.37,396885.04,420134.55,267613.7,0,3969615.19,1539711.96,-0.6819
CUS00000057,2026-08-31,3,15,2191880.57,8896023.81,730626.86,2191880.57,0.0,421520.54,0.0,0,132958.14,2191880.57,-0.4123
CUS00000058,2026-08-31,7,25,1474534.87,6570495.55,210647.84,830314.47,490026.46,0.0,310854.71,1,359325.99,1474534.87,-0.538
CUS00000059,2026-08-31,2,9,900646.88,4085994.1,450323.44,773547.82,127099.06,372342.03,0.0,0,0.0,900646.88,-0.6849
CUS00000060,2026-08-31,12,24,6377875.19,19728431.07,531489.6,2973307.92,963067.38,0.0,963067.38,1,0.0,6377875.19,0.3778
CUS00000061,2026-08-31,14,32,18034833.13,41442514.12,1288202.37,15708410.69,2084400.76,3438656.29,1949440.13,1,0.0,18034833.13,0.5739
CUS00000062,2026-08-31,1,11,1483083.04,16380821.76,1483083.04,1483083.04,2424688.63,0.0,2107941.78,0,2569502.18,1483083.04,-0.8088
CUS00000063,2026-08-31,6,15,42843921.61,90378727.95,7140653.6,31818771.52,8803634.86,0.0,8803634.86,0,1679300.79,42843921.61,5.2308
CUS00000064,2026-08-31,8,33,2936865.44,15346580.47,367108.18,2673667.3,1608018.15,1578912.97,788045.82,0,347580.76,2936865.44,-0.5514
CUS00000065,2026-08-31,11,20,131859490.81,252841180.74,11987226.44,88128886.67,22760334.29,0.0,11277912.62,0,20869381.34,131859490.81,0.8668
CUS00000066,2026-08-31,6,34,8943052.08,52193312.59,1490508.68,5204989.87,3196319.27,4754914.62,1594062.37,0,12578581.59,8943052.08,-0.4957
CUS00000067,2026-08-31,11,27,71516728.18,222383461.09,6501520.74,47520409.7,16410763.2,7628258.18,0.0,1,4552110.77,71516728.18,0.3115
CUS00000068,2026-08-31,3,12,2522483.25,7840121.06,840827.75,1768650.01,349020.89,0.0,349020.89,1,593022.58,2522483.25,0.0248
CUS00000069,2026-08-31,2,6,268611.95,1731825.27,134305.98,268611.95,0.0,0.0,0.0,0,2422745.79,268611.95,-0.3278
CUS00000070,2026-08-31,7,20,1230156.06,7328544.07,175736.58,1230156.06,60321.45,0.0,60321.45,1,305795.72,1230156.06,-0.7452
CUS00000071,2026-08-31,9,24,155450744.4,387364810.1,17272304.93,145414205.07,28094510.81,40188000.51,0.0,0,37282831.78,155450744.4,0.0384
CUS00000072,2026-08-31,7,17,3692439.25,10906439.36,527491.32,1649710.48,933279.22,0.0,0.0,0,1118996.03,3692439.25,-0.0906
CUS00000073,2026-08-31,5,12,9021443.18,25248750.85,1804288.64,4903902.19,1402915.19,6412366.17,1402915.19,0,13310565.05,9021443.18,-0.0178
CUS00000074,2026-08-31,3,15,8652859.54,120478866.18,2884286.51,7211567.23,0.0,17876759.06,0.0,0,0.0,8652859.54,-0.8595
CUS00000075,2026-08-31,1,10,1869455.78,18495440.14,1869455.78,0.0,969722.84,0.0,969722.84,0,4676367.3,1869455.78,-0.6231
CUS00000076,2026-08-31,11,39,11988567.84,113911005.88,1089869.8,5402577.93,0.0,5250705.49,0.0,0,16513293.39,11988567.84,-0.7997
CUS00000077,2026-08-31,13,39,8786310.95,25037765.77,675870.07,7801806.57,4742090.94,2569873.06,1095284.34,0,4049817.49,8786310.95,-0.0279
CUS00000078,2026-08-31,3,15,1097277.74,25653102.43,365759.25,664484.16,597198.2,3648473.9,597198.2,0,1675331.79,1097277.74,-0.8706
CUS00000079,2026-08-31,8,17,10644778.88,25679766.42,1330597.36,6262777.84,2166654.23,4922145.05,0.0,0,20716360.94,10644778.88,-0.0142
CUS00000080,2026-08-31,11,25,24684800.74,58868857.15,2244072.79,14491272.25,8775533.29,1491431.11,898364.21,1,41703626.08,24684800.74,0.0722
CUS00000081,2026-08-31,6,37,3213214.68,21603723.01,535535.78,3213214.68,1171354.02,2743054.67,171634.75,0,2442837.22,3213214.68,-0.5837
CUS00000082,2026-08-31,2,7,514936.39,1408429.7,257468.2,46140.9,0.0,68552.9,0.0,0,0.0,514936.39,-0.3758
CUS00000083,2026-08-31,2,5,2119503.62,4100399.88,1059751.81,2119503.62,477937.68,1452863.21,477937.68,0,0.0,2119503.62,0.0977
CUS00000084,2026-08-31,1,14,484955.59,12462211.64,484955.59,0.0,279762.14,0.0,0.0,0,3402907.26,484955.59,-0.9041
CUS00000085,2026-08-31,4,13,2118713.96,5182337.38,529678.49,1512049.57,759916.58,448549.0,0.0,0,3097852.54,2118713.96,-0.0905
CUS00000086,2026-08-31,11,30,48574164.56,118174836.79,4415833.14,42314276.46,7860980.64,13969260.68,4911457.43,0,9139556.82,48574164.56,1.484
CUS00000087,2026-08-31,3,19,5154844.42,23450794.65,1718281.47,5154844.42,0.0,3936550.99,0.0,0,4867374.67,5154844.42,-0.6097
CUS00000088,2026-08-31,14,31,19942716.11,39079718.35,1424479.72,17991640.61,4231675.33,4224197.46,1844645.1,2,27558592.75,19942716.11,4.0717
CUS00000089,2026-08-31,9,22,50728595.79,149650999.15,5636510.64,24365652.41,21530187.86,6279577.41,5893436.12,0,34640374.69,50728595.79,0.1747
CUS00000090,2026-08-31,9,22,55477684.42,154660457.56,6164187.16,46144042.38,15813934.5,9325949.17,0.0,2,5991890.35,55477684.42,0.1256
CUS00000091,2026-08-31,5,16,12060662.28,38552382.56,2412132.46,9992155.61,433584.92,974683.52,0.0,0,2663308.04,12060662.28,-0.4844
CUS00000092,2026-08-31,4,13,2996716.46,7112754.32,749179.12,1904433.03,1200427.18,1354687.37,181945.14,0,9393097.02,2996716.46,1.1778
CUS00000093,2026-08-31,6,15,12568903.92,42828877.15,2094817.32,2583202.42,0.0,745963.49,0.0,0,32502333.04,12568903.92,-0.1853
CUS00000094,2026-08-31,14,30,7145951.32,14655903.6,510425.09,6039117.18,831374.92,1019048.04,831374.92,1,290212.15,7145951.32,0.4189
CUS00000095,2026-08-31,16,42,8045852.47,19752612.64,502865.78,6796513.74,288741.93,1046574.68,288741.93,0,5849073.65,8045852.47,0.2852
CUS00000096,2026-08-31,3,19,4992297.25,35850166.89,1664099.08,3939857.9,4547292.3,3799823.72,4547292.3,0,7203298.22,4992297.25,-0.7643
CUS00000097,2026-08-31,3,16,9397564.67,53170288.65,3132521.56,9397564.67,5924746.32,8696745.24,1034061.79,0,18668629.94,9397564.67,-0.5392
CUS00000098,2026-08-31,8,23,2966585.15,9916323.88,370823.14,2501595.67,0.0,806676.59,0.0,0,3319568.2,2966585.15,-0.4963
CUS00000099,2026-08-31,7,32,3699744.87,21441855.53,528534.98,3699744.87,996255.02,882889.62,996255.02,0,0.0,3699744.87,-0.4712
CUS00000100,2026-08-31,8,24,20696464.73,55318419.51,2587058.09,12035853.63,5670013.18,13202988.53,5670013.18,1,2523811.59,20696464.73,0.0349
CUS00000101,2026-08-31,7,20,32141148.16,106271681.31,4591592.59,14975211.84,0.0,11132.85,0.0,1,35619625.7,32141148.16,0.237
CUS00000102,2026-08-31,5,8,16459441.93,20657615.03,3291888.39,5491682.77,0.0,783620.26,0.0,0,6925581.39,16459441.93,32.7965
CUS00000103,2026-08-31,14,37,19676925.48,47897809.28,1405494.68,19676925.48,1145050.68,1676847.83,136775.27,0,341887.12,19676925.48,0.9822
CUS00000104,2026-08-31,10,27,3305140.01,9399263.7,330514.0,2190671.53,0.0,993025.69,0.0,1,4608565.09,3305140.01,0.2712
CUS00000105,2026-08-31,12,34,9468849.14,34031179.29,789070.76,7879069.37,2737001.37,0.0,0.0,0,2319974.93,9468849.14,-0.375
CUS00000106,2026-08-31,18,48,34008756.47,73492407.06,1889375.36,26460343.61,6116153.95,6301386.22,1968840.16,1,2548920.14,34008756.47,0.8343
CUS00000107,2026-08-31,3,4,7057064.13,8647474.92,2352354.71,7057064.13,0.0,0.0,0.0,0,0.0,7057064.13,0.0
CUS00000108,2026-08-31,1,6,2244488.89,7862713.5,2244488.89,2244488.89,2244488.89,439000.36,2244488.89,0,0.0,2244488.89,-0.4618
CUS00000109,2026-08-31,2,5,5476925.26,19016483.91,2738462.63,5476925.26,4703554.35,0.0,0.0,0,26986988.7,5476925.26,2.2548
CUS00000110,2026-08-31,5,12,15893290.22,49291752.81,3178658.04,3948497.27,750904.16,237870.39,750904.16,0,3382783.46,15893290.22,0.0063
CUS00000111,2026-08-31,6,18,2996663.4,9269681.18,499443.9,1213430.16,878361.91,863201.61,699048.12,1,1024871.62,2996663.4,-0.0135
CUS00000112,2026-08-31,12,32,10452401.63,28455073.92,871033.47,10452401.63,2232234.55,3789452.18,0.0,0,2078268.84,10452401.63,-0.0777
CUS00000113,2026-08-31,6,15,12279662.69,31260213.89,2046610.45,10176885.64,465565.05,0.0,465565.05,0,6695294.35,12279662.69,-0.2429
CUS00000114,2026-08-31,11,26,55961254.56,156489905.14,5087386.78,55961254.56,14830621.86,2558039.24,4100226.36,1,0.0,55961254.56,0.005
CUS00000115,2026-08-31,6,21,17147648.5,110480614.79,2857941.42,8848108.76,6523069.35,0.0,0.0,0,17070890.8,17147648.5,-0.5634
CUS00000116,2026-08-31,12,30,51632406.72,125146370.57,4302700.56,37685533.49,0.0,7806296.04,0.0,0,1798164.69,51632406.72,0.3504
CUS00000117,2026-08-31,1,3,76248.08,7054125.66,76248.08,76248.08,0.0,0.0,0.0,0,0.0,76248.08,-0.9734
CUS00000118,2026-08-31,4,10,38051123.91,90207604.74,9512780.98,28760489.33,0.0,2538096.65,0.0,0,0.0,38051123.91,0.4565
CUS00000119,2026-08-31,8,16,4635432.57,8299875.63,579429.07,2195777.24,1217597.24,0.0,0.0,0,1673660.36,4635432.57,4.4386
CUS00000120,2026-08-31,12,32,95704682.28,208301897.91,7975390.19,85184006.63,25200614.78,15688355.53,14679939.13,1,17379805.71,95704682.28,2.0528
CUS00000121,2026-08-31,14,37,7098893.98,18596682.42,507063.86,5579684.16,2221805.01,733165.85,984469.0,0,751093.15,7098893.98,-0.0375
CUS00000122,2026-08-31,6,22,4201868.75,15238657.84,700311.46,2538605.16,2656393.26,0.0,933133.55,1,0.0,4201868.75,0.1239
CUS00000123,2026-08-31,6,26,36077851.21,253098862.56,6012975.2,28582800.69,0.0,53317427.36,0.0,0,0.0,36077851.21,-0.6339
CUS00000124,2026-08-31,6,20,12637322.74,45849869.87,2106220.46,10113973.71,5616571.7,7371947.43,3709115.06,0,6086760.63,12637322.74,-0.1763
CUS00000125,2026-08-31,9,20,42359737.4,93363280.23,4706637.49,36285194.82,0.0,0.0,0.0,2,66128704.44,42359737.4,0.2303
CUS00000126,2026-08-31,7,18,54671049.41,207661763.18,7810149.92,44861991.27,0.0,58894152.92,0.0,0,103069362.48,54671049.41,-0.4356
CUS00000127,2026-08-31,3,21,7818833.63,44381719.84,2606277.88,7750182.99,3234774.97,0.0,3234774.97,0,25237569.95,7818833.63,-0.5584
CUS00000128,2026-08-31,8,15,14818067.1,30092778.67,1852258.39,4078521.17,5912525.97,0.0,2310823.55,1,0.0,14818067.1,0.3708
CUS00000129,2026-08-31,6,36,89792419.54,1031023213.48,14965403.26,89784670.65,19738288.26,3909013.06,19738288.26,2,22024845.93,89792419.54,-0.8347
CUS00000130,2026-08-31,9,26,5983568.03,18338065.9,664840.89,4096054.32,518527.29,2990641.14,0.0,1,11891979.88,5983568.03,0.0177
CUS00000131,2026-08-31,8,27,13392898.95,47140254.07,1674112.37,13329976.8,6259472.83,4700489.48,6196550.68,0,0.0,13392898.95,-0.4397
CUS00000132,2026-08-31,3,23,1402827.45,9349266.39,467609.15,635223.61,0.0,191539.68,0.0,0,411922.38,1402827.45,-0.5109
CUS00000133,2026-08-31,4,20,5135037.5,20868142.43,1283759.38,4306948.98,2417898.45,824060.8,339747.34,0,1587390.34,5135037.5,-0.5702
CUS00000134,2026-08-31,4,7,25319092.28,41699540.44,6329773.07,25319092.28,0.0,7471537.58,0.0,0,0.0,25319092.28,0.0
CUS00000135,2026-08-31,9,28,118667881.34,405256698.64,13185320.15,111800447.17,9684565.69,0.0,9684565.69,0,112102419.61,118667881.34,-0.0421
CUS00000136,2026-08-31,8,19,5851920.91,10221283.77,731490.11,4103671.16,505496.43,328550.43,505496.43,0,4293882.95,5851920.91,1.1565
CUS00000137,2026-08-31,6,13,3353557.8,5471555.56,558926.3,2647292.95,524861.95,153342.9,0.0,0,0.0,3353557.8,3.1311
CUS00000138,2026-08-31,7,24,55516235.8,201990701.67,7930890.83,45509127.51,9534498.24,30510678.03,9534498.24,0,21558337.99,55516235.8,-0.4977
CUS00000139,2026-08-31,4,15,4635389.85,16813233.33,1158847.46,2605045.48,1662832.18,3519935.05,1662832.18,0,9711819.7,4635389.85,-0.1978
CUS00000140,2026-08-31,7,26,12453089.42,36914068.18,1779012.77,12453089.42,766459.94,3715944.76,0.0,0,31889824.71,12453089.42,0.2142
CUS00000141,2026-08-31,7,22,101004289.59,296537887.54,14429184.23,77905121.74,51844102.62,16539767.33,51844102.62,1,57151373.34,101004289.59,-0.0753
CUS00000142,2026-08-31,12,18,43942779.4,66643350.18,3661898.28,33670914.03,6809107.6,5370872.0,0.0,1,16657621.69,43942779.4,4.3979
CUS00000143,2026-08-31,3,14,18857264.52,80960429.86,6285754.84,13364651.85,10936514.26,11776691.38,10936514.26,0,1347455.5,18857264.52,-0.3542
CUS00000144,2026-08-31,4,14,13473597.0,41707887.04,3368399.25,13473597.0,0.0,0.0,0.0,0,5560496.62,13473597.0,-0.2459
CUS00000145,2026-08-31,6,16,3856980.34,10303552.34,642830.06,2873116.98,1248766.18,0.0,264902.82,1,942248.31,3856980.34,1.1912
CUS00000146,2026-08-31,8,21,15895570.9,45364483.39,1986946.36,6057985.9,12148981.45,0.0,4113576.79,0,6843573.5,15895570.9,0.356
CUS00000147,2026-08-31,2,4,482103.08,890894.86,241051.54,425352.08,106805.0,0.0,0.0,0,2089880.83,482103.08,3.5139
CUS00000148,2026-08-31,3,10,1861591.13,14452888.87,620530.38,1861591.13,0.0,2435610.46,0.0,0,802817.39,1861591.13,-0.5298
CUS00000149,2026-08-31,6,20,21623072.05,69065684.95,3603845.34,16517475.68,4085875.42,3913137.45,0.0,0,0.0,21623072.05,0.1297
CUS00000150,2026-08-31,3,6,1129352.98,2732965.72,376450.99,876429.9,0.0,0.0,0.0,0,0.0,1129352.98,-0.0485
CUS00000151,2026-08-31,9,33,128956168.99,382749556.84,14328463.22,63188977.23,37070236.91,1831105.5,12503671.3,0,16463245.01,128956168.99,0.806
CUS00000152,2026-08-31,8,20,4192590.81,7942166.62,524073.85,3622135.42,177275.6,1115827.22,177275.6,0,2924269.92,4192590.81,1.5862
CUS00000153,2026-08-31,11,37,8075924.5,38213159.58,734174.95,7989510.51,3354646.35,555858.87,1762300.42,0,19445132.07,8075924.5,-0.6066
CUS00000154,2026-08-31,7,17,3206060.28,6874095.64,458008.61,2394239.27,190350.79,448759.03,190350.79,0,225117.57,3206060.28,1.8454
CUS00000155,2026-08-31,8,25,5210330.55,14575434.54,651291.32,5210330.55,935143.79,2540316.86,580817.03,1,1190670.43,5210330.55,-0.2335
CUS00000156,2026-08-31,11,19,245995735.08,485059181.28,22363248.64,106740271.24,40775481.52,20560043.21,0.0,0,30721149.02,245995735.08,1.6743
CUS00000157,2026-08-31,4,13,9670007.44,24607417.67,2417501.86,5906482.89,5625510.22,704833.83,3632928.74,0,10326622.01,9670007.44,0.2678
CUS00000158,2026-08-31,14,40,53110584.97,145476161.61,3793613.21,39179252.05,129201.81,10319726.02,129201.81,0,39159569.0,53110584.97,0.7982
CUS00000159,2026-08-31,2,7,1258397.41,5990556.22,629198.7,1258397.41,0.0,1193769.51,0.0,1,6924629.41,1258397.41,-0.5932
CUS00000160,2026-08-31,6,20,3056958.77,13063012.41,509493.13,1013084.05,1314032.32,674360.13,541886.89,0,214084.42,3056958.77,-0.5045
CUS00000161,2026-08-31,3,22,2208642.9,15914682.38,736214.3,599153.94,0.0,235522.62,0.0,0,1282511.5,2208642.9,-0.7062
CUS00000162,2026-08-31,10,27,36262716.71,127261609.41,3626271.67,18184807.72,11021148.26,7060389.73,1350476.94,0,0.0,36262716.71,-0.2943
CUS00000163,2026-08-31,13,25,19483115.07,39695351.21,1498701.16,16878403.76,4995359.12,0.0,2651760.06,0,13384378.84,19483115.07,0.6858
CUS00000164,2026-08-31,7,25,191893246.72,554947982.12,27413320.96,112255065.71,80473415.63,27868608.48,53467988.27,1,17597317.75,191893246.72,-0.0986
CUS00000165,2026-08-31,0,2,0.0,277240.46,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1.0
CUS00000166,2026-08-31,10,25,74301578.18,164424156.48,7430157.82,59791421.75,48381941.34,3721530.41,40486789.2,0,33271628.16,74301578.18,0.1715
CUS00000167,2026-08-31,13,36,11915794.98,38408317.29,916599.61,11100247.11,1608813.26,1596163.41,0.0,0,5482722.61,11915794.98,-0.0774
CUS00000168,2026-08-31,12,19,4776399.49,8325607.11,398033.29,4114030.81,448694.59,0.0,448694.59,0,1431466.12,4776399.49,1.1722
CUS00000169,2026-08-31,13,30,24683622.87,50961070.46,1898740.22,22442945.84,7084093.14,3988478.1,2103397.49,0,1449786.56,24683622.87,1.0794
CUS00000170,2026-08-31,2,12,629741.68,3667081.73,314870.84,629741.68,0.0,629741.68,0.0,0,0.0,629741.68,-0.6377
CUS00000171,2026-08-31,7,26,44373365.42,173033111.73,6339052.2,44373365.42,5328638.77,6542888.66,0.0,1,11825357.87,44373365.42,-0.345
CUS00000172,2026-08-31,12,33,7478184.7,28558491.32,623182.06,3374779.03,1956068.73,525601.73,1956068.73,0,967416.26,7478184.7,-0.5399
CUS00000173,2026-08-31,4,21,10662694.45,44364779.52,2665673.61,596446.38,8730355.7,3282326.29,8730355.7,0,8127252.46,10662694.45,-0.1913
CUS00000174,2026-08-31,10,35,30570065.86,115667273.84,3057006.59,27746040.73,13643672.32,15246939.21,3803037.77,1,52669193.84,30570065.86,-0.1217
CUS00000175,2026-08-31,15,38,7181382.14,18293137.69,478758.81,6004735.0,242025.24,262846.53,242025.24,0,2387861.51,7181382.14,0.3739
CUS00000176,2026-08-31,10,33,9889847.4,25595136.74,988984.74,8112610.47,473333.16,589134.88,0.0,0,1089372.22,9889847.4,0.0508
CUS00000177,2026-08-31,10,27,193822023.89,421899385.4,19382202.39,132217943.26,80360257.79,60023370.44,48491461.45,0,63593910.88,193822023.89,0.9274
CUS00000178,2026-08-31,5,16,4540670.6,13423521.52,908134.12,2740101.67,904134.58,3702584.08,904134.58,0,8957256.19,4540670.6,0.3664
CUS00000179,2026-08-31,6,19,2710904.53,7750589.43,451817.42,2271844.35,550236.01,283884.97,429961.45,1,0.0,2710904.53,0.9533
CUS00000180,2026-08-31,5,28,3907031.14,27958590.44,781406.23,3363755.34,3223386.99,2716172.49,991875.46,0,3049495.22,3907031.14,-0.5813
CUS00000181,2026-08-31,3,9,1383306.73,3891399.76,461102.24,1011229.42,0.0,0.0,0.0,0,315893.47,1383306.73,0.3484
CUS00000182,2026-08-31,2,3,868632.82,1051084.68,434316.41,0.0,0.0,0.0,0.0,0,0.0,868632.82,0.0
