customer_id,card_id,month,card_spending,transaction_count,online_spending,international_spending,utilization_rate,payment_amount,late_payment_count
CUS00000022,CARD000000018,2026-07-01,27256288.39,6,11695690.12,6115786.28,0.8195,23821308.75,0
CUS00000022,CARD000000019,2026-02-01,6028476.16,29,1953100.83,4314.51,0.3372,6167768.86,0
CUS00000022,CARD000000019,2026-03-01,6434304.38,19,2526947.65,1177350.91,0.2735,6262847.28,0
CUS00000022,CARD000000019,2026-04-01,7466314.73,31,2499109.59,2116337.67,0.3441,6184507.71,0
CUS00000022,CARD000000019,2026-05-01,7098103.2,27,4599935.64,2091011.12,0.306,6224407.83,0
CUS00000022,CARD000000019,2026-06-01,6184744.94,18,2398035.2,1690778.19,0.2887,5231568.9,0
CUS00000022,CARD000000019,2026-07-01,4465975.31,39,1155766.52,79574.45,0.3452,4424761.01,0
CUS00000023,CARD000000020,2026-02-01,30913518.71,14,16489821.52,2938049.47,0.2632,22300166.36,0
CUS00000023,CARD000000020,2026-03-01,45895715.81,17,10210656.86,8231322.35,0.2762,36132911.63,0
CUS00000023,CARD000000020,2026-04-01,39828965.53,3,9414243.2,9384314.89,0.2841,40879272.34,0
CUS00000023,CARD000000020,2026-05-01,48629540.42,37,24759404.64,1648923.8,0.2565,50401667.14,0
CUS00000023,CARD000000020,2026-06-01,39706254.2,10,15884540.45,5401511.44,0.2746,31283360.22,0
CUS00000023,CARD000000020,2026-07-01,31597986.27,31,15452186.4,7986406.18,0.2428,25451319.43,0
CUS00000024,CARD000000021,2026-02-01,61839633.83,35,36808089.58,6126504.15,0.8614,44487455.96,0
CUS00000024,CARD000000021,2026-03-01,88711273.83,22,43617053.92,10966841.89,0.7415,72665037.12,0
CUS00000024,CARD000000021,2026-04-01,81908207.29,22,18130511.23,971850.41,0.6304,73845519.31,0
CUS00000024,CARD000000021,2026-05-01,66719139.47,9,33635544.05,19903132.14,0.6267,59453843.47,0
CUS00000024,CARD000000021,2026-06-01,78807284.48,37,47450171.48,16830981.07,0.7519,62182060.26,0
CUS00000024,CARD000000021,2026-07-01,76509109.81,16,37358267.39,9671892.94,0.7011,56155720.68,0
CUS00000028,CARD000000023,2026-02-01,8750145.18,36,4171682.48,1693747.98,0.0689,8538537.89,0
CUS00000028,CARD000000023,2026-03-01,8777727.81,30,5471305.23,1722966.37,0.0622,7857723.3,0
CUS00000028,CARD000000023,2026-04-01,6983688.59,12,1471905.03,1077743.73,0.0601,6769048.39,0
CUS00000028,CARD000000023,2026-05-01,9160885.03,18,6361887.36,961533.0,0.0543,7084149.36,0
CUS00000028,CARD000000023,2026-06-01,7216315.59,25,1715666.45,1022162.42,0.0666,6788729.21,0
CUS00000028,CARD000000023,2026-07-01,8677019.31,30,3900569.7,255247.81,0.0574,8154092.21,0
CUS00000028,CARD000000024,2026-02-01,2727461.6,34,1018280.25,644687.48,0.0134,2071108.31,0
CUS00000028,CARD000000024,2026-03-01,2054327.77,15,615451.62,369424.5,0.0158,1756914.85,1
CUS00000028,CARD000000024,2026-04-01,1441364.71,21,955796.52,84532.17,0.0149,1450643.0,0
CUS00000028,CARD000000024,2026-05-01,2295263.12,11,681982.16,172887.46,0.0147,2029421.79,0
CUS00000028,CARD000000024,2026-06-01,1653764.99,37,943502.66,459343.16,0.0129,1653298.95,0
CUS00000028,CARD000000024,2026-07-01,1779462.28,25,1187032.09,33487.52,0.0119,1630163.79,0
CUS00000029,CARD000000025,2026-02-01,34513380.19,36,15987259.12,6449831.88,0.347,27271848.84,0
CUS00000029,CARD000000025,2026-03-01,28344404.5,10,17673375.83,3684210.46,0.3513,20720080.94,0
CUS00000029,CARD000000025,2026-04-01,43882416.65,4,9379802.19,7570096.88,0.3166,34189098.63,0
CUS00000029,CARD000000025,2026-05-01,36149549.75,38,10081893.31,7160058.09,0.4007,30622057.84,0
CUS00000029,CARD000000025,2026-06-01,32706732.62,24,17135571.29,2707731.6,0.3728,26230567.2,0
CUS00000029,CARD000000025,2026-07-01,26077253.31,38,8947893.03,5318803.67,0.4109,25724790.31,0
CUS00000031,CARD000000026,2026-02-01,49224057.61,31,27860223.8,5308185.39,0.3834,46195840.18,0
CUS00000031,CARD000000026,2026-03-01,43034752.54,8,28326255.84,325577.51,0.3192,42600425.08,0
CUS00000031,CARD000000026,2026-04-01,32377006.76,14,16312458.53,8017082.38,0.3608,23659826.47,0
CUS00000031,CARD000000026,2026-05-01,49211708.13,27,31644956.77,12597398.86,0.3823,49473591.07,0
CUS00000031,CARD000000026,2026-06-01,41226088.37,21,25232787.68,6425089.74,0.3325,34356689.67,0
CUS00000031,CARD000000026,2026-07-01,36462896.54,20,24811962.88,7386803.76,0.4368,34339312.08,0
CUS00000031,CARD000000027,2026-02-01,33235387.27,18,19463481.02,4918635.34,0.1727,24732149.79,0
CUS00000031,CARD000000027,2026-03-01,36157868.2,12,16799102.37,8779121.48,0.2165,34458810.65,0
CUS00000031,CARD000000027,2026-04-01,43067952.31,22,12350546.5,5054285.18,0.2017,36428409.74,0
CUS00000031,CARD000000027,2026-05-01,30836958.11,17,21457712.81,5692245.56,0.2183,31873077.2,0
CUS00000031,CARD000000027,2026-06-01,43352953.11,33,16488616.61,5233694.33,0.1696,37353948.69,0
CUS00000031,CARD000000027,2026-07-01,26284266.1,14,8364152.18,6802408.26,0.2337,19377368.43,0
CUS00000032,CARD000000028,2026-02-01,9236996.94,8,1971373.01,1912937.53,0.1007,8852891.29,0
CUS00000032,CARD000000028,2026-03-01,7139245.94,22,3143558.6,1487798.67,0.0768,5997938.25,0
CUS00000032,CARD000000028,2026-04-01,11048927.88,21,5089905.15,1047942.97,0.0748,10723301.37,0
CUS00000032,CARD000000028,2026-05-01,12359116.16,17,4254042.4,2331818.52,0.0955,12560915.37,0
CUS00000032,CARD000000028,2026-06-01,8833888.97,26,2997678.42,1449580.29,0.0908,6196354.62,0
CUS00000032,CARD000000028,2026-07-01,7701916.75,18,4756977.61,921410.4,0.0759,5918659.49,0
CUS00000032,CARD000000029,2026-02-01,36859212.26,37,19765676.29,8515199.94,0.2469,36955462.23,0
CUS00000032,CARD000000029,2026-03-01,26669053.52,35,14199811.57,2489224.25,0.2942,19547829.66,0
CUS00000032,CARD000000029,2026-04-01,22041413.36,6,5199346.34,5305171.79,0.3019,17776102.2,0
CUS00000032,CARD000000029,2026-05-01,29878061.89,17,20448087.67,8900470.08,0.2441,26733256.57,0
CUS00000032,CARD000000029,2026-06-01,37561755.06,21,18842631.72,5671421.81,0.3145,34913823.06,0
CUS00000032,CARD000000029,2026-07-01,35051729.24,5,21717141.53,7947972.35,0.2428,29602733.71,0
CUS00000034,CARD000000030,2026-02-01,45526211.69,21,25719396.45,10327922.35,0.7116,37518706.8,0
CUS00000034,CARD000000030,2026-03-01,36142551.42,38,16981092.06,7086200.33,0.5878,26613315.83,0
CUS00000034,CARD000000030,2026-04-01,39974578.92,36,13561500.99,1827199.95,0.5048,37815950.08,0
CUS00000034,CARD000000030,2026-05-01,42396772.22,5,16660249.53,11154948.61,0.5589,33584042.07,0
CUS00000034,CARD000000030,2026-06-01,46040188.49,19,12394714.17,9953753.23,0.5851,43810226.15,0
CUS00000034,CARD000000030,2026-07-01,45688046.46,25,23964449.26,895812.11,0.5235,40386813.93,0
CUS00000038,CARD000000034,2026-02-01,120685202.49,29,73223353.62,13642185.95,0.6914,112735782.5,0
CUS00000038,CARD000000034,2026-03-01,104867435.63,25,56725486.27,17801963.74,0.5879,74486506.96,0
CUS00000038,CARD000000034,2026-04-01,75841240.1,9,16542952.75,13107495.93,0.78,59413829.07,0
CUS00000038,CARD000000034,2026-05-01,118433139.24,36,46389570.55,229812.99,0.6215,85043416.55,0
CUS00000038,CARD000000034,2026-06-01,100995898.45,37,38482232.0,7018968.65,0.6133,93934018.37,0
CUS00000038,CARD000000034,2026-07-01,120238204.33,34,75103379.03,24444995.49,0.7723,107444275.65,0
CUS00000039,CARD000000035,2026-02-01,168675506.57,29,42611903.29,3715909.96,0.6349,142868791.38,0
CUS00000039,CARD000000035,2026-03-01,250363281.24,14,152359506.5,41064475.02,0.6301,205716271.32,0
CUS00000039,CARD000000035,2026-04-01,208180417.33,9,131956647.35,37797196.62,0.7826,178203329.53,0
CUS00000039,CARD000000035,2026-05-01,226354590.63,32,153440512.75,48416081.85,0.6848,207944537.32,0
CUS00000039,CARD000000035,2026-06-01,194930984.93,14,64633493.55,53953729.0,0.6755,157545603.04,0
CUS00000039,CARD000000035,2026-07-01,181781532.02,8,109141077.08,1320590.24,0.6532,186420960.27,0
CUS00000040,CARD000000036,2026-02-01,164656254.12,25,33997127.15,32454411.35,0.458,143497029.98,0
CUS00000040,CARD000000036,2026-03-01,152429035.09,25,35558267.39,28074353.88,0.3792,110562829.13,1
CUS00000040,CARD000000036,2026-04-01,167673006.16,3,95476631.1,42090373.27,0.4761,155095084.72,0
CUS00000040,CARD000000036,2026-05-01,136606162.99,32,92818125.49,18520979.39,0.4775,137409743.25,0
CUS00000040,CARD000000036,2026-06-01,146879162.58,12,61193750.82,41539524.26,0.4024,134793591.22,0
CUS00000040,CARD000000036,2026-07-01,144233656.25,9,40366179.43,29723079.4,0.4687,118750766.45,0
CUS00000041,CARD000000038,2026-02-01,48998558.41,15,30488319.98,5974268.91,0.623,39486166.3,0
CUS00000041,CARD000000038,2026-03-01,54700113.59,35,37312166.44,5140230.35,0.5278,46641150.53,0
CUS00000041,CARD000000038,2026-04-01,46338839.3,28,32127023.25,5948007.36,0.4808,38591430.26,0
CUS00000041,CARD000000038,2026-05-01,70767199.69,35,19091337.26,4062793.75,0.6084,58074524.61,0
CUS00000041,CARD000000038,2026-06-01,44662105.62,5,22485399.44,13232010.77,0.5303,34285614.83,0
CUS00000041,CARD000000038,2026-07-01,62827413.82,13,16189453.68,5216712.53,0.5299,45744127.65,0
CUS00000046,CARD000000043,2026-02-01,30913605.85,24,19241613.08,5890436.57,0.8503,29154473.65,0
CUS00000046,CARD000000043,2026-03-01,29553133.02,19,20501604.73,5109760.31,0.8544,29967434.44,0
CUS00000046,CARD000000043,2026-04-01,44977289.07,6,11792171.22,5623232.24,0.914,37010846.9,0
CUS00000046,CARD000000043,2026-05-01,47634903.06,13,30011615.69,6516437.18,0.702,33816238.14,0
CUS00000046,CARD000000043,2026-06-01,31557612.33,4,21652610.29,4993504.68,0.7924,28325823.14,0
CUS00000046,CARD000000043,2026-07-01,27543527.38,8,15749188.92,3313296.37,0.9171,22530162.27,0
CUS00000051,CARD000000047,2026-02-01,89351691.49,25,27880834.44,4414917.57,0.6509,78245160.38,0
CUS00000051,CARD000000047,2026-03-01,78769205.52,39,51777666.59,2652865.9,0.5726,62565913.29,0
CUS00000051,CARD000000047,2026-04-01,126975104.86,10,37833252.71,8067120.24,0.5867,94106059.49,0
CUS00000051,CARD000000047,2026-05-01,102486003.17,5,37856837.89,17902365.51,0.5716,94032963.78,0
CUS00000051,CARD000000047,2026-06-01,138789209.36,25,96220177.53,26153328.17,0.4692,112990549.42,0
CUS00000051,CARD000000047,2026-07-01,134072775.06,15,46502503.63,14572378.39,0.5588,119415007.73,0
CUS00000053,CARD000000048,2026-02-01,105453727.98,24,60228862.03,28104364.85,0.8298,76017372.66,0
CUS00000053,CARD000000048,2026-03-01,76771411.89,4,36824058.8,3463576.62,0.6335,79055985.77,0
CUS00000053,CARD000000048,2026-04-01,78607828.22,4,36752914.51,3020756.68,0.6572,70879944.52,0
CUS00000053,CARD000000048,2026-05-01,88620916.07,14,57973848.25,10378805.45,0.6248,67498294.36,0
CUS00000053,CARD000000048,2026-06-01,98341499.57,15,67575724.86,11485264.09,0.7553,91263412.52,0
CUS00000053,CARD000000048,2026-07-01,94679133.72,30,59338851.4,22171484.77,0.675,77570399.25,0
CUS00000055,CARD000000051,2026-02-01,8254972.18,28,2780300.14,432457.1,0.0678,6723384.43,0
CUS00000055,CARD000000051,2026-03-01,7285566.59,25,1902785.62,569991.0,0.0601,7503173.88,0
CUS00000055,CARD000000051,2026-04-01,11672548.77,15,6273092.1,2692888.26,0.0523,8384725.05,0
CUS00000055,CARD000000051,2026-05-01,11977605.78,19,2921172.47,2243173.51,0.0653,8674646.43,0
CUS00000055,CARD000000051,2026-06-01,7946863.01,3,4370985.53,1712390.17,0.0558,8116162.9,0
CUS00000055,CARD000000051,2026-07-01,11492590.68,21,4038791.14,3368861.41,0.0665,9845125.98,0
CUS00000058,CARD000000052,2026-02-01,5902842.63,19,1557817.08,756851.34,0.1967,4632120.31,0
CUS00000058,CARD000000052,2026-03-01,6354436.67,15,2694530.12,553068.35,0.1959,4683705.11,1
CUS00000058,CARD000000052,2026-04-01,5549255.76,7,1754874.32,896767.93,0.1699,4357960.65,0
CUS00000058,CARD000000052,2026-05-01,6240304.08,33,1323254.81,980793.25,0.1874,5098586.26,0
CUS00000058,CARD000000052,2026-06-01,5885422.49,5,2252771.29,338494.92,0.1685,5030207.12,0
CUS00000058,CARD000000052,2026-07-01,5213125.56,3,2239516.06,125940.21,0.1655,4403933.8,0
CUS00000065,CARD000000056,2026-02-01,78654122.81,15,30390728.08,1077519.2,0.7286,79147809.89,0
CUS00000065,CARD000000056,2026-03-01,101204372.08,16,46239878.89,29977058.43,0.6349,82346634.26,0
CUS00000065,CARD000000056,2026-04-01,114444606.5,38,33332638.22,12215260.46,0.7167,98401184.22,0
CUS00000065,CARD000000056,2026-05-01,87550614.5,23,44715828.68,14615972.72,0.584,72436658.24,0
CUS00000065,CARD000000056,2026-06-01,68455113.43,34,20054243.23,13022521.53,0.6582,65686545.49,0
CUS00000065,CARD000000056,2026-07-01,86792080.5,39,36338909.45,22359154.95,0.5945,80667556.1,0
CUS00000067,CARD000000058,2026-02-01,22471377.99,10,15501113.5,5043547.31,0.1125,21758755.67,0
CUS00000067,CARD000000058,2026-03-01,19091082.33,16,8035445.94,4462709.97,0.1408,15043516.8,0
CUS00000067,CARD000000058,2026-04-01,19943921.87,30,13375968.92,506669.25,0.1152,20104923.73,0
CUS00000067,CARD000000058,2026-05-01,28146717.79,9,9293282.1,4513744.23,0.1143,24713916.13,0
CUS00000067,CARD000000058,2026-06-01,24081685.36,20,9197337.03,6812279.15,0.1468,19360492.96,0
CUS00000067,CARD000000058,2026-07-01,28215815.01,36,11446950.81,7381578.41,0.1187,28245048.59,0
CUS00000068,CARD000000059,2026-02-01,21440556.59,30,5633542.56,3692912.86,0.6222,19789880.81,0
CUS00000068,CARD000000059,2026-03-01,17552457.88,29,8783250.56,3804621.02,0.7613,12518479.66,0
CUS00000068,CARD000000059,2026-04-01,17405408.7,12,10248389.11,4192707.08,0.6224,14946081.21,0
CUS00000068,CARD000000059,2026-05-01,22395434.51,39,7141612.19,4634767.57,0.7258,15855336.91,0
CUS00000068,CARD000000059,2026-06-01,23564824.99,21,9084738.65,4057489.95,0.6523,24288765.5,0
CUS00000068,CARD000000059,2026-07-01,23690843.72,23,15652487.07,6627723.08,0.7681,23731438.91,0
CUS00000074,CARD000000061,2026-02-01,92974728.9,9,38622880.28,19363037.92,0.5596,72379505.42,0
CUS00000074,CARD000000061,2026-03-01,108959554.7,27,45769504.2,11050439.13,0.6193,77208648.94,0
CUS00000074,CARD000000061,2026-04-01,109768113.9,13,61767371.11,3059611.76,0.5053,90087576.96,0
CUS00000074,CARD000000061,2026-05-01,85375351.46,12,43982083.41,4988655.2,0.6234,84659322.15,0
CUS00000074,CARD000000061,2026-06-01,86144459.89,34,34686984.81,4207371.98,0.6295,83905529.38,0
CUS00000074,CARD000000061,2026-07-01,104876684.7,34,48119832.22,10131417.8,0.5553,92570935.4,0
CUS00000076,CARD000000063,2026-02-01,81791645.77,14,33190354.79,22550871.16,0.5332,81091442.26,0
CUS00000076,CARD000000063,2026-03-01,100352879.86,14,22159944.92,827464.71,0.6623,95173191.7,0
CUS00000076,CARD000000063,2026-04-01,101931930.53,9,49022937.23,26459636.37,0.6791,75667483.68,0
CUS00000076,CARD000000063,2026-05-01,116200313.89,26,44001100.22,12323922.77,0.5254,104052858.21,0
CUS00000076,CARD000000063,2026-06-01,87487124.41,39,26566800.5,1112330.78,0.6009,82862189.03,0
CUS00000076,CARD000000063,2026-07-01,136169288.55,29,67422719.72,18315677.91,0.522,104089173.58,0
CUS00000078,CARD000000066,2026-02-01,10176608.03,25,6198260.67,1682351.21,0.1168,7386386.54,0
CUS00000078,CARD000000066,2026-03-01,9667610.44,38,3055204.52,403227.5,0.1318,7297902.6,0
CUS00000078,CARD000000066,2026-04-01,12241807.68,27,4316782.55,1000939.56,0.1387,11221521.43,1
CUS00000078,CARD000000066,2026-05-01,11898888.44,15,4353555.73,1801153.26,0.1304,10648749.89,0
CUS00000078,CARD000000066,2026-06-01,6483360.14,17,1349160.32,64801.8,0.1176,5319183.16,0
CUS00000078,CARD000000066,2026-07-01,10838897.09,9,6946616.51,240682.05,0.117,9928903.27,0
CUS00000083,CARD000000067,2026-02-01,10024055.4,37,4362414.13,431330.48,0.0281,8248337.37,1
CUS00000083,CARD000000067,2026-03-01,6166668.91,37,3470748.49,863771.61,0.0242,5112597.77,0
CUS00000083,CARD000000067,2026-04-01,10148443.14,6,2350687.43,2668834.36,0.0251,8098893.41,0
CUS00000083,CARD000000067,2026-05-01,8176207.79,25,4107603.77,1424676.52,0.0288,8504429.32,0
CUS00000083,CARD000000067,2026-06-01,8387773.46,29,5095365.19,839374.78,0.0297,7702226.95,1
CUS00000083,CARD000000067,2026-07-01,9319742.0,33,3910513.33,883204.05,0.0267,9405687.81,0
CUS00000083,CARD000000068,2026-02-01,16317152.05,38,9595203.69,2976783.29,0.0559,15843248.04,0
CUS00000083,CARD000000068,2026-03-01,15969478.43,18,7557396.58,3427861.15,0.0508,12857175.13,0
CUS00000083,CARD000000068,2026-04-01,13163205.3,21,5868618.21,2480673.81,0.0656,9340954.94,1
CUS00000083,CARD000000068,2026-05-01,15100676.32,13,8070169.46,3896380.1,0.0624,14545277.87,0
CUS00000083,CARD000000068,2026-06-01,12699607.08,16,7801560.68,2151026.57,0.0543,9335177.45,1
CUS00000083,CARD000000068,2026-07-01,16490309.96,8,8918486.86,1900039.94,0.0569,14838205.35,0
CUS00000084,CARD000000069,2026-02-01,9628147.93,15,2516821.39,820624.94,0.1467,8733817.69,0
CUS00000084,CARD000000069,2026-03-01,6530939.14,30,2885515.16,283302.81,0.1477,5590193.04,0
CUS00000084,CARD000000069,2026-04-01,9658597.9,28,3230610.54,1211299.68,0.1831,9861197.54,0
CUS00000084,CARD000000069,2026-05-01,6518259.1,14,2711027.51,518465.62,0.1727,6181743.99,0
CUS00000084,CARD000000069,2026-06-01,10646409.22,39,7055728.77,1837701.82,0.1632,9019897.79,0
CUS00000084,CARD000000069,2026-07-01,8408050.43,34,4666759.94,522612.3,0.1574,8772313.43,0
CUS00000086,CARD000000070,2026-02-01,20400247.67,11,6019177.29,621737.51,0.1667,17277773.38,0
CUS00000086,CARD000000070,2026-03-01,23697313.41,29,13377499.31,2636200.85,0.1614,22296581.32,0
CUS00000086,CARD000000070,2026-04-01,28324856.16,5,19223467.6,7940333.26,0.183,28084316.24,0
CUS00000086,CARD000000070,2026-05-01,33561832.27,27,9751425.31,8917336.36,0.1287,32011362.64,0
CUS00000086,CARD000000070,2026-06-01,29508094.13,32,13500923.54,5075298.76,0.1736,25941524.93,0
CUS00000086,CARD000000070,2026-07-01,17885695.8,22,8869581.31,147055.94,0.1344,13540199.99,0
CUS00000090,CARD000000074,2026-02-01,107111490.64,28,43763825.62,5993401.69,0.7318,102837445.23,0
CUS00000090,CARD000000074,2026-03-01,68864735.24,33,31157686.1,5288392.77,0.5837,61236796.58,0
CUS00000090,CARD000000074,2026-04-01,109234084.98,5,50139904.92,28663247.22,0.5945,101533309.31,0
CUS00000090,CARD000000074,2026-05-01,77141028.36,23,25890759.19,18565252.71,0.6986,56656694.99,0
CUS00000090,CARD000000074,2026-06-01,109986842.56,39,30024173.13,29497712.79,0.7266,101257274.59,0
CUS00000090,CARD000000074,2026-07-01,68048779.7,10,25915271.41,17798335.12,0.5711,67663894.72,0
CUS00000092,CARD000000075,2026-02-01,1474280.34,6,469783.02,146632.13,0.0534,1204556.7,0
CUS00000092,CARD000000075,2026-03-01,1961991.75,33,875257.06,335273.88,0.0653,1444832.86,0
CUS00000092,CARD000000075,2026-04-01,2689217.24,12,609615.41,479189.06,0.054,2477281.02,0
CUS00000092,CARD000000075,2026-05-01,1494070.56,24,867025.51,84694.28,0.0618,1538324.9,0
CUS00000092,CARD000000075,2026-06-01,1757480.56,38,416687.83,214948.56,0.0488,1738292.3,0
CUS00000092,CARD000000075,2026-07-01,2415913.34,24,1383140.39,170156.89,0.0591,2399062.9,0
CUS00000094,CARD000000076,2026-02-01,3005149.06,4,1021034.61,319390.5,0.1417,2955255.59,0
CUS00000094,CARD000000076,2026-03-01,2710618.46,6,695518.48,230823.17,0.1481,2651983.48,1
CUS00000094,CARD000000076,2026-04-01,3115365.32,28,1871875.65,99921.19,0.1453,2855162.95,0
CUS00000094,CARD000000076,2026-05-01,3762036.12,34,1638174.76,335624.36,0.1567,3101345.82,0
CUS00000094,CARD000000076,2026-06-01,3457646.7,26,997636.92,437870.56,0.1395,3023685.04,0
CUS00000094,CARD000000076,2026-07-01,4762359.32,6,2570682.71,1393876.38,0.1801,4654607.55,0
CUS00000097,CARD000000079,2026-02-01,15821714.8,19,10806941.15,270618.11,0.1485,16455954.54,0
CUS00000097,CARD000000079,2026-03-01,11509131.51,12,3874262.51,1968291.64,0.1798,10213298.32,1
CUS00000097,CARD000000079,2026-04-01,13953717.43,12,7989081.41,1614464.79,0.2106,10111452.22,0
CUS00000097,CARD000000079,2026-05-01,12016383.21,22,7261817.22,3087667.06,0.1893,12442028.71,0
CUS00000097,CARD000000079,2026-06-01,13751049.43,37,4889497.16,2630679.01,0.2048,12944058.31,0
CUS00000097,CARD000000079,2026-07-01,18548365.22,19,10886743.04,4726399.09,0.17,13917449.97,0
CUS00000099,CARD000000080,2026-02-01,29106636.2,30,8857461.09,3858338.52,0.3296,22978027.71,0
CUS00000099,CARD000000080,2026-03-01,20414977.57,5,7112458.94,5508940.88,0.271,17334877.19,0
CUS00000099,CARD000000080,2026-04-01,17266601.71,32,8334799.89,2947781.67,0.2512,17802038.85,0
CUS00000099,CARD000000080,2026-05-01,27254696.84,33,13315760.29,6158751.78,0.3038,27770373.74,0
CUS00000099,CARD000000080,2026-06-01,23776643.02,9,7017461.27,217446.94,0.2814,16767580.26,0
CUS00000099,CARD000000080,2026-07-01,18554483.12,34,6984936.54,328370.99,0.3104,13316257.02,0
CUS00000105,CARD000000084,2026-02-01,13042607.45,35,7072560.06,3350938.58,0.3536,11737448.61,0
