score_id,customer_id,snapshot_date,product_id,model_id,model_version,propensity_probability,product_propensity_score,customer_value_score,intent_signal_score,engagement_score,timing_score,relationship_score,smart_growth_score,priority_level,prediction_timestamp
SC000000011,CUS00000003,2026-08-31,P007,sge_propensity_logreg,v3.0,0.6501,65.01,29.95,64.76,15.48,58.0,36.25,46.94,Do not prioritize,2026-08-31 18:00:00
SC000000012,CUS00000003,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2198,21.98,29.95,41.01,15.48,58.0,36.25,31.43,Do not prioritize,2026-08-31 18:00:00
SC000000013,CUS00000004,2026-08-31,P001,sge_propensity_logreg,v3.0,0.6373,63.73,91.19,74.84,26.14,86.33,61.88,67.88,Low,2026-08-31 18:00:00
SC000000014,CUS00000004,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4608,46.08,91.19,53.59,26.14,86.33,61.88,59.22,Do not prioritize,2026-08-31 18:00:00
SC000000015,CUS00000004,2026-08-31,P007,sge_propensity_logreg,v3.0,0.5173,51.73,91.19,61.09,26.14,86.33,61.88,62.13,Low,2026-08-31 18:00:00
SC000000016,CUS00000004,2026-08-31,P009,sge_propensity_logreg,v3.0,0.7586,75.86,91.19,73.21,26.14,86.33,61.88,70.59,Medium,2026-08-31 18:00:00
SC000000017,CUS00000005,2026-08-31,P001,sge_propensity_logreg,v3.0,0.6316,63.16,66.78,37.26,62.2,38.67,37.5,53.54,Do not prioritize,2026-08-31 18:00:00
SC000000018,CUS00000005,2026-08-31,P004,sge_propensity_logreg,v3.0,0.5399,53.99,66.78,22.01,62.2,46.67,37.5,49.0,Do not prioritize,2026-08-31 18:00:00
SC000000019,CUS00000005,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4358,43.58,66.78,11.01,62.2,46.67,37.5,44.2,Do not prioritize,2026-08-31 18:00:00
SC000000020,CUS00000005,2026-08-31,P009,sge_propensity_logreg,v3.0,0.3742,37.42,66.78,9.76,62.2,46.67,37.5,42.41,Do not prioritize,2026-08-31 18:00:00
SC000000021,CUS00000006,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5198,51.98,90.87,35.81,31.95,74.67,61.88,56.78,Do not prioritize,2026-08-31 18:00:00
SC000000022,CUS00000006,2026-08-31,P004,sge_propensity_logreg,v3.0,0.6221,62.21,90.87,49.31,31.95,74.67,61.88,62.04,Low,2026-08-31 18:00:00
SC000000023,CUS00000006,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3422,34.22,90.87,30.81,31.95,74.67,61.88,51.34,Do not prioritize,2026-08-31 18:00:00
SC000000024,CUS00000006,2026-08-31,P009,sge_propensity_logreg,v3.0,0.7054,70.54,90.87,49.18,31.95,74.67,61.88,64.09,Low,2026-08-31 18:00:00
SC000000025,CUS00000007,2026-08-31,P001,sge_propensity_logreg,v3.0,0.8902,89.02,73.18,74.33,76.71,86.33,68.75,78.77,Medium,2026-08-31 18:00:00
SC000000026,CUS00000007,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4518,45.18,73.18,28.08,76.71,86.33,68.75,58.56,Do not prioritize,2026-08-31 18:00:00
SC000000027,CUS00000007,2026-08-31,P007,sge_propensity_logreg,v3.0,0.7379,73.79,73.18,50.33,76.71,86.33,68.75,70.16,Medium,2026-08-31 18:00:00
SC000000028,CUS00000007,2026-08-31,P009,sge_propensity_logreg,v3.0,0.6518,65.18,73.18,43.64,76.71,86.33,68.75,66.67,Low,2026-08-31 18:00:00
SC000000029,CUS00000008,2026-08-31,P001,sge_propensity_logreg,v3.0,0.6892,68.92,75.04,52.04,64.33,85.67,65.62,67.42,Low,2026-08-31 18:00:00
SC000000030,CUS00000008,2026-08-31,P004,sge_propensity_logreg,v3.0,0.7236,72.36,75.04,63.29,64.33,89.67,65.62,70.93,Medium,2026-08-31 18:00:00
SC000000031,CUS00000008,2026-08-31,P007,sge_propensity_logreg,v3.0,0.7929,79.29,75.04,63.29,64.33,89.67,65.62,72.67,Medium,2026-08-31 18:00:00
SC000000032,CUS00000008,2026-08-31,P009,sge_propensity_logreg,v3.0,0.8753,87.53,75.04,69.23,64.33,89.67,65.62,75.92,Medium,2026-08-31 18:00:00
SC000000033,CUS00000009,2026-08-31,P001,sge_propensity_logreg,v3.0,0.6013,60.13,42.55,77.5,67.95,90.0,62.5,64.49,Low,2026-08-31 18:00:00
SC000000034,CUS00000009,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3271,32.71,42.55,50.0,67.95,98.0,62.5,52.93,Do not prioritize,2026-08-31 18:00:00
SC000000035,CUS00000009,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4722,47.22,42.55,63.0,67.95,98.0,62.5,59.16,Do not prioritize,2026-08-31 18:00:00
SC000000036,CUS00000009,2026-08-31,P009,sge_propensity_logreg,v3.0,0.4548,45.48,42.55,62.31,67.95,98.0,62.5,58.58,Do not prioritize,2026-08-31 18:00:00
SC000000037,CUS00000010,2026-08-31,P001,sge_propensity_logreg,v3.0,0.14,14.0,12.28,32.36,8.89,35.0,37.5,21.01,Do not prioritize,2026-08-31 18:00:00
SC000000038,CUS00000010,2026-08-31,P004,sge_propensity_logreg,v3.0,0.1454,14.54,12.28,24.11,8.89,35.0,37.5,19.5,Do not prioritize,2026-08-31 18:00:00
SC000000039,CUS00000010,2026-08-31,P007,sge_propensity_logreg,v3.0,0.1772,17.72,12.28,24.86,8.89,35.0,37.5,20.44,Do not prioritize,2026-08-31 18:00:00
SC000000040,CUS00000010,2026-08-31,P009,sge_propensity_logreg,v3.0,0.059,5.9,12.28,11.11,8.89,35.0,37.5,14.74,Do not prioritize,2026-08-31 18:00:00
SC000000041,CUS00000011,2026-08-31,P001,sge_propensity_logreg,v3.0,0.9219,92.19,90.93,99.79,72.8,98.0,76.88,89.6,High,2026-08-31 18:00:00
SC000000042,CUS00000011,2026-08-31,P004,sge_propensity_logreg,v3.0,0.5161,51.61,90.93,53.54,72.8,98.0,76.88,70.2,Medium,2026-08-31 18:00:00
SC000000043,CUS00000011,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4364,43.64,90.93,54.79,72.8,98.0,76.88,68.46,Low,2026-08-31 18:00:00
SC000000044,CUS00000011,2026-08-31,P009,sge_propensity_logreg,v3.0,0.7891,78.91,90.93,73.16,72.8,98.0,76.88,80.95,High,2026-08-31 18:00:00
SC000000045,CUS00000012,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5318,53.18,88.2,68.57,23.79,83.33,62.5,62.8,Low,2026-08-31 18:00:00
SC000000046,CUS00000012,2026-08-31,P004,sge_propensity_logreg,v3.0,0.5588,55.88,88.2,61.82,23.79,83.33,62.5,62.13,Low,2026-08-31 18:00:00
SC000000047,CUS00000012,2026-08-31,P007,sge_propensity_logreg,v3.0,0.364,36.4,88.2,48.57,23.79,83.33,62.5,54.61,Do not prioritize,2026-08-31 18:00:00
SC000000048,CUS00000012,2026-08-31,P009,sge_propensity_logreg,v3.0,0.7369,73.69,88.2,67.51,23.79,83.33,62.5,67.72,Low,2026-08-31 18:00:00
SC000000049,CUS00000013,2026-08-31,P001,sge_propensity_logreg,v3.0,0.19,19.0,23.5,20.67,26.38,74.67,62.5,31.26,Do not prioritize,2026-08-31 18:00:00
SC000000050,CUS00000013,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2693,26.93,23.5,37.42,26.38,74.67,62.5,36.59,Do not prioritize,2026-08-31 18:00:00
SC000000051,CUS00000013,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2637,26.37,23.5,37.42,26.38,74.67,62.5,36.45,Do not prioritize,2026-08-31 18:00:00
SC000000052,CUS00000013,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2399,23.99,23.5,36.73,26.38,74.67,62.5,35.72,Do not prioritize,2026-08-31 18:00:00
SC000000053,CUS00000014,2026-08-31,P001,sge_propensity_logreg,v3.0,0.316,31.6,28.04,18.28,45.29,46.33,34.38,32.03,Do not prioritize,2026-08-31 18:00:00
SC000000054,CUS00000014,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2549,25.49,28.04,20.53,45.29,46.33,34.38,30.95,Do not prioritize,2026-08-31 18:00:00
SC000000055,CUS00000014,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3209,32.09,28.04,20.53,45.29,46.33,34.38,32.6,Do not prioritize,2026-08-31 18:00:00
SC000000056,CUS00000014,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2575,25.75,28.04,19.46,45.29,46.33,34.38,30.8,Do not prioritize,2026-08-31 18:00:00
SC000000057,CUS00000015,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4518,45.18,64.37,48.94,36.42,74.67,62.5,53.14,Do not prioritize,2026-08-31 18:00:00
SC000000058,CUS00000015,2026-08-31,P004,sge_propensity_logreg,v3.0,0.442,44.2,64.37,42.19,36.42,74.67,62.5,51.54,Do not prioritize,2026-08-31 18:00:00
SC000000059,CUS00000015,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2616,26.16,64.37,28.94,36.42,74.67,62.5,44.38,Do not prioritize,2026-08-31 18:00:00
SC000000060,CUS00000015,2026-08-31,P009,sge_propensity_logreg,v3.0,0.6274,62.74,64.37,47.88,36.42,70.67,62.5,56.92,Do not prioritize,2026-08-31 18:00:00
SC000000061,CUS00000016,2026-08-31,P001,sge_propensity_logreg,v3.0,0.6629,66.29,58.32,43.33,50.7,62.0,61.88,56.9,Do not prioritize,2026-08-31 18:00:00
SC000000062,CUS00000016,2026-08-31,P004,sge_propensity_logreg,v3.0,0.6274,62.74,58.32,38.83,50.7,62.0,61.88,55.11,Do not prioritize,2026-08-31 18:00:00
SC000000063,CUS00000016,2026-08-31,P007,sge_propensity_logreg,v3.0,0.5001,50.01,58.32,29.58,50.7,62.0,61.88,50.08,Do not prioritize,2026-08-31 18:00:00
SC000000064,CUS00000016,2026-08-31,P009,sge_propensity_logreg,v3.0,0.5103,51.03,58.32,28.33,50.7,62.0,61.88,50.08,Do not prioritize,2026-08-31 18:00:00
SC000000065,CUS00000017,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4752,47.52,43.61,55.86,55.98,90.0,61.25,55.3,Do not prioritize,2026-08-31 18:00:00
SC000000066,CUS00000017,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4248,42.48,43.61,55.86,55.98,90.0,61.25,54.04,Do not prioritize,2026-08-31 18:00:00
SC000000067,CUS00000017,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2471,24.71,43.61,50.86,55.98,90.0,61.25,48.59,Do not prioritize,2026-08-31 18:00:00
SC000000068,CUS00000017,2026-08-31,P009,sge_propensity_logreg,v3.0,0.5941,59.41,43.61,69.24,55.98,90.0,61.25,60.94,Low,2026-08-31 18:00:00
SC000000069,CUS00000018,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5382,53.82,72.3,67.77,21.46,74.67,50.0,57.16,Do not prioritize,2026-08-31 18:00:00
SC000000070,CUS00000018,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3366,33.66,72.3,40.27,21.46,74.67,50.0,46.62,Do not prioritize,2026-08-31 18:00:00
SC000000071,CUS00000018,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4801,48.01,72.3,53.27,21.46,74.67,50.0,52.8,Do not prioritize,2026-08-31 18:00:00
SC000000072,CUS00000018,2026-08-31,P009,sge_propensity_logreg,v3.0,0.4576,45.76,72.3,52.58,21.46,74.67,50.0,52.1,Do not prioritize,2026-08-31 18:00:00
SC000000073,CUS00000019,2026-08-31,P001,sge_propensity_logreg,v3.0,0.1511,15.11,17.92,56.52,30.73,49.67,36.88,31.93,Do not prioritize,2026-08-31 18:00:00
SC000000074,CUS00000019,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3319,33.19,17.92,54.02,30.73,49.67,36.88,35.95,Do not prioritize,2026-08-31 18:00:00
SC000000075,CUS00000019,2026-08-31,P007,sge_propensity_logreg,v3.0,0.1706,17.06,17.92,41.52,30.73,49.67,36.88,29.42,Do not prioritize,2026-08-31 18:00:00
SC000000076,CUS00000019,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1243,12.43,17.92,40.27,30.73,49.67,36.88,28.01,Do not prioritize,2026-08-31 18:00:00
SC000000077,CUS00000020,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5321,53.21,89.38,24.82,55.82,82.33,65.62,59.31,Do not prioritize,2026-08-31 18:00:00
SC000000078,CUS00000020,2026-08-31,P004,sge_propensity_logreg,v3.0,0.6693,66.93,89.38,43.07,55.82,86.33,65.62,66.79,Low,2026-08-31 18:00:00
SC000000079,CUS00000020,2026-08-31,P007,sge_propensity_logreg,v3.0,0.7199,71.99,89.38,43.07,55.82,86.33,65.62,68.06,Low,2026-08-31 18:00:00
SC000000080,CUS00000020,2026-08-31,P009,sge_propensity_logreg,v3.0,0.7119,71.19,89.38,42.51,55.82,86.33,65.62,67.74,Low,2026-08-31 18:00:00
SC000000081,CUS00000021,2026-08-31,P001,sge_propensity_logreg,v3.0,0.281,28.1,39.89,47.19,16.48,74.67,58.75,40.26,Do not prioritize,2026-08-31 18:00:00
SC000000082,CUS00000021,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4039,40.39,39.89,46.69,16.48,74.67,58.75,43.23,Do not prioritize,2026-08-31 18:00:00
SC000000083,CUS00000021,2026-08-31,P007,sge_propensity_logreg,v3.0,0.187,18.7,39.89,33.44,16.48,74.67,58.75,35.16,Do not prioritize,2026-08-31 18:00:00
SC000000084,CUS00000021,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2809,28.09,39.89,39.87,16.48,74.67,58.75,38.79,Do not prioritize,2026-08-31 18:00:00
SC000000085,CUS00000022,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4135,41.35,15.35,47.9,32.22,49.67,20.0,34.79,Do not prioritize,2026-08-31 18:00:00
SC000000086,CUS00000022,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2189,21.89,15.35,42.15,32.22,49.67,20.0,28.77,Do not prioritize,2026-08-31 18:00:00
SC000000087,CUS00000022,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4928,49.28,15.35,54.65,32.22,49.67,20.0,38.12,Do not prioritize,2026-08-31 18:00:00
SC000000088,CUS00000022,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2427,24.27,15.35,41.46,32.22,49.67,20.0,29.23,Do not prioritize,2026-08-31 18:00:00
SC000000089,CUS00000023,2026-08-31,P001,sge_propensity_logreg,v3.0,0.8003,80.03,58.45,51.68,44.16,82.33,78.12,64.7,Low,2026-08-31 18:00:00
SC000000090,CUS00000023,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3773,37.73,58.45,26.68,44.16,86.33,78.12,49.53,Do not prioritize,2026-08-31 18:00:00
SC000000091,CUS00000023,2026-08-31,P007,sge_propensity_logreg,v3.0,0.5377,53.77,58.45,39.68,44.16,86.33,78.12,56.14,Do not prioritize,2026-08-31 18:00:00
SC000000092,CUS00000023,2026-08-31,P009,sge_propensity_logreg,v3.0,0.5193,51.93,58.45,39.0,44.16,86.33,78.12,55.54,Do not prioritize,2026-08-31 18:00:00
SC000000093,CUS00000024,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4076,40.76,58.32,34.66,37.88,86.33,65.62,49.66,Do not prioritize,2026-08-31 18:00:00
SC000000094,CUS00000024,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3713,37.13,58.32,38.41,37.88,86.33,65.62,49.51,Do not prioritize,2026-08-31 18:00:00
SC000000095,CUS00000024,2026-08-31,P007,sge_propensity_logreg,v3.0,0.5505,55.05,58.32,51.41,37.88,86.33,65.62,56.59,Do not prioritize,2026-08-31 18:00:00
SC000000096,CUS00000024,2026-08-31,P009,sge_propensity_logreg,v3.0,0.5238,52.38,58.32,50.72,37.88,86.33,65.62,55.78,Do not prioritize,2026-08-31 18:00:00
SC000000097,CUS00000025,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4826,48.26,63.09,37.03,46.55,46.33,37.5,47.45,Do not prioritize,2026-08-31 18:00:00
SC000000098,CUS00000025,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4751,47.51,63.09,28.03,46.55,46.33,37.5,45.47,Do not prioritize,2026-08-31 18:00:00
SC000000099,CUS00000025,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3888,38.88,63.09,17.03,46.55,46.33,37.5,41.11,Do not prioritize,2026-08-31 18:00:00
SC000000100,CUS00000025,2026-08-31,P009,sge_propensity_logreg,v3.0,0.3195,31.95,63.09,15.78,46.55,42.33,37.5,38.73,Do not prioritize,2026-08-31 18:00:00
SC000000101,CUS00000026,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5055,50.55,70.73,55.38,26.46,70.67,75.0,56.4,Do not prioritize,2026-08-31 18:00:00
SC000000102,CUS00000026,2026-08-31,P004,sge_propensity_logreg,v3.0,0.7009,70.09,70.73,57.88,26.46,74.67,75.0,62.18,Low,2026-08-31 18:00:00
SC000000103,CUS00000026,2026-08-31,P007,sge_propensity_logreg,v3.0,0.3975,39.75,70.73,41.63,26.46,74.67,75.0,51.35,Do not prioritize,2026-08-31 18:00:00
SC000000104,CUS00000026,2026-08-31,P009,sge_propensity_logreg,v3.0,0.5001,50.01,70.73,45.07,26.46,74.67,75.0,54.6,Do not prioritize,2026-08-31 18:00:00
SC000000105,CUS00000027,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3669,36.69,22.72,75.97,16.08,79.33,56.25,44.88,Do not prioritize,2026-08-31 18:00:00
SC000000106,CUS00000027,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2518,25.18,22.72,59.22,16.08,83.33,56.25,39.05,Do not prioritize,2026-08-31 18:00:00
SC000000107,CUS00000027,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2579,25.79,22.72,59.22,16.08,83.33,56.25,39.21,Do not prioritize,2026-08-31 18:00:00
SC000000108,CUS00000027,2026-08-31,P009,sge_propensity_logreg,v3.0,0.2202,22.02,22.72,58.34,16.08,83.33,56.25,38.09,Do not prioritize,2026-08-31 18:00:00
SC000000109,CUS00000028,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3995,39.95,57.74,33.31,17.02,74.67,65.0,44.72,Do not prioritize,2026-08-31 18:00:00
SC000000110,CUS00000028,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2798,27.98,57.74,27.06,17.02,74.67,65.0,40.48,Do not prioritize,2026-08-31 18:00:00
SC000000111,CUS00000028,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4809,48.09,57.74,42.31,17.02,74.67,65.0,48.55,Do not prioritize,2026-08-31 18:00:00
SC000000112,CUS00000028,2026-08-31,P009,sge_propensity_logreg,v3.0,0.451,45.1,57.74,41.81,17.02,74.67,65.0,47.7,Do not prioritize,2026-08-31 18:00:00
SC000000113,CUS00000029,2026-08-31,P001,sge_propensity_logreg,v3.0,0.486,48.6,42.95,50.88,57.35,58.0,52.5,50.57,Do not prioritize,2026-08-31 18:00:00
SC000000114,CUS00000029,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4207,42.07,42.95,58.88,57.35,58.0,52.5,50.54,Do not prioritize,2026-08-31 18:00:00
SC000000115,CUS00000029,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2946,29.46,42.95,43.38,57.35,58.0,52.5,44.28,Do not prioritize,2026-08-31 18:00:00
SC000000116,CUS00000029,2026-08-31,P009,sge_propensity_logreg,v3.0,0.23,23.0,42.95,42.13,57.35,58.0,52.5,42.42,Do not prioritize,2026-08-31 18:00:00
SC000000117,CUS00000030,2026-08-31,P001,sge_propensity_logreg,v3.0,0.414,41.4,51.3,59.67,34.42,74.67,56.25,50.8,Do not prioritize,2026-08-31 18:00:00
SC000000118,CUS00000030,2026-08-31,P004,sge_propensity_logreg,v3.0,0.545,54.5,51.3,57.67,34.42,74.67,56.25,53.67,Do not prioritize,2026-08-31 18:00:00
SC000000119,CUS00000030,2026-08-31,P007,sge_propensity_logreg,v3.0,0.44,44.0,51.3,51.42,34.42,74.67,56.25,49.8,Do not prioritize,2026-08-31 18:00:00
SC000000120,CUS00000030,2026-08-31,P009,sge_propensity_logreg,v3.0,0.4112,41.12,51.3,50.74,34.42,74.67,56.25,48.94,Do not prioritize,2026-08-31 18:00:00
SC000000121,CUS00000031,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4092,40.92,57.26,12.03,64.19,49.67,36.25,42.31,Do not prioritize,2026-08-31 18:00:00
SC000000122,CUS00000031,2026-08-31,P004,sge_propensity_logreg,v3.0,0.5483,54.83,57.26,31.03,64.19,49.67,36.25,49.59,Do not prioritize,2026-08-31 18:00:00
SC000000123,CUS00000031,2026-08-31,P007,sge_propensity_logreg,v3.0,0.4092,40.92,57.26,17.03,64.19,49.67,36.25,43.31,Do not prioritize,2026-08-31 18:00:00
SC000000124,CUS00000031,2026-08-31,P009,sge_propensity_logreg,v3.0,0.8655,86.55,57.26,43.03,64.19,49.67,36.25,59.92,Do not prioritize,2026-08-31 18:00:00
SC000000125,CUS00000032,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5065,50.65,54.86,51.32,42.63,74.67,61.25,53.89,Do not prioritize,2026-08-31 18:00:00
SC000000126,CUS00000032,2026-08-31,P004,sge_propensity_logreg,v3.0,0.6626,66.26,54.86,64.32,42.63,74.67,61.25,60.39,Low,2026-08-31 18:00:00
SC000000127,CUS00000032,2026-08-31,P007,sge_propensity_logreg,v3.0,0.421,42.1,54.86,51.82,42.63,74.67,61.25,51.85,Do not prioritize,2026-08-31 18:00:00
SC000000128,CUS00000032,2026-08-31,P009,sge_propensity_logreg,v3.0,0.3971,39.71,54.86,51.13,42.63,74.67,61.25,51.11,Do not prioritize,2026-08-31 18:00:00
SC000000129,CUS00000033,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3753,37.53,36.87,46.8,43.26,74.67,46.88,44.76,Do not prioritize,2026-08-31 18:00:00
SC000000130,CUS00000033,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3618,36.18,36.87,38.55,43.26,74.67,46.88,42.77,Do not prioritize,2026-08-31 18:00:00
SC000000131,CUS00000033,2026-08-31,P007,sge_propensity_logreg,v3.0,0.366,36.6,36.87,38.55,43.26,74.67,46.88,42.88,Do not prioritize,2026-08-31 18:00:00
SC000000132,CUS00000033,2026-08-31,P009,sge_propensity_logreg,v3.0,0.3428,34.28,36.87,37.87,43.26,74.67,46.88,42.16,Do not prioritize,2026-08-31 18:00:00
SC000000133,CUS00000034,2026-08-31,P001,sge_propensity_logreg,v3.0,0.246,24.6,21.88,25.92,12.47,58.0,30.0,26.38,Do not prioritize,2026-08-31 18:00:00
SC000000134,CUS00000034,2026-08-31,P004,sge_propensity_logreg,v3.0,0.3524,35.24,21.88,37.42,12.47,58.0,30.0,31.34,Do not prioritize,2026-08-31 18:00:00
SC000000135,CUS00000034,2026-08-31,P007,sge_propensity_logreg,v3.0,0.1954,19.54,21.88,24.92,12.47,58.0,30.0,24.92,Do not prioritize,2026-08-31 18:00:00
SC000000136,CUS00000034,2026-08-31,P009,sge_propensity_logreg,v3.0,0.145,14.5,21.88,23.79,12.47,58.0,30.0,23.43,Do not prioritize,2026-08-31 18:00:00
SC000000137,CUS00000035,2026-08-31,P001,sge_propensity_logreg,v3.0,0.1877,18.77,24.75,51.14,37.23,42.0,30.62,32.72,Do not prioritize,2026-08-31 18:00:00
SC000000138,CUS00000035,2026-08-31,P004,sge_propensity_logreg,v3.0,0.2684,26.84,24.75,43.89,37.23,50.0,30.62,34.08,Do not prioritize,2026-08-31 18:00:00
SC000000139,CUS00000035,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2248,22.48,24.75,37.64,37.23,50.0,30.62,31.74,Do not prioritize,2026-08-31 18:00:00
SC000000140,CUS00000035,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1676,16.76,24.75,36.52,37.23,50.0,30.62,30.09,Do not prioritize,2026-08-31 18:00:00
SC000000141,CUS00000036,2026-08-31,P001,sge_propensity_logreg,v3.0,0.3547,35.47,37.93,31.33,29.92,38.0,31.25,34.13,Do not prioritize,2026-08-31 18:00:00
SC000000142,CUS00000036,2026-08-31,P004,sge_propensity_logreg,v3.0,0.4697,46.97,37.93,22.58,29.92,38.0,31.25,35.26,Do not prioritize,2026-08-31 18:00:00
SC000000143,CUS00000036,2026-08-31,P007,sge_propensity_logreg,v3.0,0.261,26.1,37.93,11.33,29.92,38.0,31.25,27.79,Do not prioritize,2026-08-31 18:00:00
SC000000144,CUS00000036,2026-08-31,P009,sge_propensity_logreg,v3.0,0.403,40.3,37.93,21.58,29.92,38.0,31.25,33.39,Do not prioritize,2026-08-31 18:00:00
SC000000145,CUS00000037,2026-08-31,P001,sge_propensity_logreg,v3.0,0.4071,40.71,36.36,59.63,6.04,70.67,58.75,43.22,Do not prioritize,2026-08-31 18:00:00
SC000000146,CUS00000037,2026-08-31,P004,sge_propensity_logreg,v3.0,0.1646,16.46,36.36,25.88,6.04,74.67,58.75,30.81,Do not prioritize,2026-08-31 18:00:00
SC000000147,CUS00000037,2026-08-31,P007,sge_propensity_logreg,v3.0,0.2216,22.16,36.36,36.63,6.04,74.67,58.75,34.39,Do not prioritize,2026-08-31 18:00:00
SC000000148,CUS00000037,2026-08-31,P009,sge_propensity_logreg,v3.0,0.1917,19.17,36.36,35.75,6.04,74.67,58.75,33.46,Do not prioritize,2026-08-31 18:00:00
SC000000149,CUS00000038,2026-08-31,P001,sge_propensity_logreg,v3.0,0.5582,55.82,84.55,36.66,57.47,86.33,65.0,61.95,Low,2026-08-31 18:00:00
SC000000150,CUS00000038,2026-08-31,P004,sge_propensity_logreg,v3.0,0.5225,52.25,84.55,40.41,57.47,86.33,65.0,61.81,Low,2026-08-31 18:00:00
