model_id,model_version,product_id,dataset_split,metric_name,metric_value
sge_propensity_logreg,v3.0,P007,test,tp,573.0
sge_propensity_logreg,v3.0,P007,cv,roc_auc,0.697947
sge_propensity_logreg,v3.0,P007,cv,pr_auc,0.416599
sge_propensity_logreg,v3.0,P007,cv,log_loss,0.630031
sge_propensity_logreg,v3.0,P007,cv,n,15424.0
sge_propensity_logreg,v3.0,P009,train,roc_auc,0.760778
sge_propensity_logreg,v3.0,P009,train,pr_auc,0.548505
sge_propensity_logreg,v3.0,P009,train,log_loss,0.580409
sge_propensity_logreg,v3.0,P009,train,brier,0.196653
sge_propensity_logreg,v3.0,P009,train,accuracy,0.702285
sge_propensity_logreg,v3.0,P009,train,precision,0.450216
sge_propensity_logreg,v3.0,P009,train,recall,0.667569
sge_propensity_logreg,v3.0,P009,train,f1,0.53776
sge_propensity_logreg,v3.0,P009,train,ks,0.386036
sge_propensity_logreg,v3.0,P009,train,positive_rate,0.259415
sge_propensity_logreg,v3.0,P009,train,n,15666.0
sge_propensity_logreg,v3.0,P009,train,tn,8289.0
sge_propensity_logreg,v3.0,P009,train,fp,3313.0
sge_propensity_logreg,v3.0,P009,train,fn,1351.0
sge_propensity_logreg,v3.0,P009,train,tp,2713.0
sge_propensity_logreg,v3.0,P009,test,roc_auc,0.759398
sge_propensity_logreg,v3.0,P009,test,pr_auc,0.549983
sge_propensity_logreg,v3.0,P009,test,log_loss,0.581933
sge_propensity_logreg,v3.0,P009,test,brier,0.197399
sge_propensity_logreg,v3.0,P009,test,accuracy,0.702796
sge_propensity_logreg,v3.0,P009,test,precision,0.451262
sge_propensity_logreg,v3.0,P009,test,recall,0.673063
sge_propensity_logreg,v3.0,P009,test,f1,0.540284
sge_propensity_logreg,v3.0,P009,test,ks,0.393971
sge_propensity_logreg,v3.0,P009,test,positive_rate,0.259479
sge_propensity_logreg,v3.0,P009,test,n,5222.0
sge_propensity_logreg,v3.0,P009,test,tn,2758.0
sge_propensity_logreg,v3.0,P009,test,fp,1109.0
sge_propensity_logreg,v3.0,P009,test,fn,443.0
sge_propensity_logreg,v3.0,P009,test,tp,912.0
sge_propensity_logreg,v3.0,P009,cv,roc_auc,0.760113
sge_propensity_logreg,v3.0,P009,cv,pr_auc,0.547481
sge_propensity_logreg,v3.0,P009,cv,log_loss,0.581034
sge_propensity_logreg,v3.0,P009,cv,n,20888.0
