customer_id,cif_id,customer_type,age_group,gender_code,occupation_group,industry_group,income_band,province_code,region_code,customer_segment,relationship_start_date,relationship_years,rm_id,branch_id,kyc_status,preferred_channel,customer_active_flag,marketing_consent_flag,consent_channels,do_not_contact_flag,record_effective_from,record_effective_to,current_flag
CUS00000032,CIF000000032,INDIVIDUAL,36-45,M,BUSINESS_OWNER,FINANCE,20-40M,40,NORTH,MASS_AFFLUENT,2024-07-08,2.15,RM0060,BR007,VERIFIED,SMS,False,True,"APP,EMAIL,ZALO",False,2024-07-08,9999-12-31,True
CUS00000033,CIF000000033,INDIVIDUAL,18-25,F,OFFICE,OTHER,10-20M,22,NORTH,MASS_AFFLUENT,2025-06-17,1.2,RM0164,BR019,VERIFIED,IN_APP,True,True,"APP,EMAIL,SMS,ZALO",False,2025-06-17,9999-12-31,True
CUS00000034,CIF000000034,INDIVIDUAL,46-55,F,OFFICE,IT,10-20M,01,NORTH,MASS_AFFLUENT,2023-03-30,3.42,RM0142,BR016,VERIFIED,EMAIL,True,True,ZALO,True,2023-03-30,9999-12-31,True
CUS00000035,CIF000000035,INDIVIDUAL,18-25,M,OFFICE,MANUFACTURING,10-20M,01,NORTH,MASS,2021-02-11,5.55,RM0098,BR011,VERIFIED,SMS,True,True,"APP,EMAIL,SMS,ZALO",True,2021-02-11,9999-12-31,True
CUS00000036,CIF000000036,INDIVIDUAL,26-35,F,MANAGER,RETAIL,20-40M,01,NORTH,MASS_AFFLUENT,2024-10-07,1.9,RM0105,BR012,VERIFIED,RM_CALL,True,True,"EMAIL,SMS",False,2024-10-07,9999-12-31,True
CUS00000037,CIF000000037,INDIVIDUAL,36-45,M,OFFICE,OTHER,10-20M,79,SOUTH,MASS,2020-06-17,6.2,RM0136,BR016,VERIFIED,EMAIL,True,True,"APP,ZALO",False,2020-06-17,9999-12-31,True
CUS00000038,CIF000000038,INDIVIDUAL,18-25,M,FREELANCE,IT,40-80M,79,SOUTH,PRIVATE,2021-01-05,5.65,RM0062,BR007,VERIFIED,SMS,True,False,,False,2021-01-05,9999-12-31,True
CUS00000039,CIF000000039,INDIVIDUAL,56-65,M,PUBLIC_SECTOR,CONSTRUCTION,40-80M,31,NORTH,PRIVATE,2021-07-10,5.14,RM0080,BR009,VERIFIED,EMAIL,True,True,"EMAIL,SMS",False,2021-07-10,9999-12-31,True
CUS00000040,CIF000000040,INDIVIDUAL,36-45,M,FREELANCE,LOGISTICS,80M+,75,SOUTH,AFFLUENT,2020-12-08,5.73,RM0121,BR014,VERIFIED,ZALO,True,False,,False,2020-12-08,9999-12-31,True
CUS00000041,CIF000000041,INDIVIDUAL,26-35,F,MANAGER,EDUCATION,20-40M,79,SOUTH,MASS,2013-04-08,13.4,RM0124,BR014,VERIFIED,IN_APP,True,True,"APP,EMAIL,SMS,ZALO",True,2013-04-08,9999-12-31,True
CUS00000042,CIF000000042,INDIVIDUAL,56-65,F,MANAGER,CONSTRUCTION,<10M,79,SOUTH,MASS,2019-04-16,7.38,RM0067,BR008,VERIFIED,IN_APP,True,False,,False,2019-04-16,9999-12-31,True
CUS00000043,CIF000000043,INDIVIDUAL,46-55,F,OTHER,MANUFACTURING,20-40M,79,SOUTH,MASS_AFFLUENT,2019-02-26,7.51,RM0011,BR002,VERIFIED,IN_APP,True,True,"EMAIL,SMS,ZALO",False,2019-02-26,9999-12-31,True
CUS00000044,CIF000000044,INDIVIDUAL,46-55,M,FREELANCE,OTHER,<10M,79,SOUTH,MASS,2022-01-09,4.64,RM0017,BR002,VERIFIED,RM_CALL,True,True,"EMAIL,SMS",False,2022-01-09,9999-12-31,True
CUS00000045,CIF000000045,INDIVIDUAL,26-35,F,OFFICE,OTHER,80M+,79,SOUTH,AFFLUENT,2014-05-07,12.32,RM0002,BR001,VERIFIED,IN_APP,True,True,"APP,SMS,ZALO",False,2014-05-07,9999-12-31,True
CUS00000046,CIF000000046,INDIVIDUAL,18-25,F,PUBLIC_SECTOR,FINANCE,10-20M,22,NORTH,MASS,2025-04-08,1.4,RM0014,BR002,VERIFIED,IN_APP,True,False,,False,2025-04-08,9999-12-31,True
CUS00000047,CIF000000047,INDIVIDUAL,56-65,M,BUSINESS_OWNER,LOGISTICS,20-40M,75,SOUTH,MASS,2025-07-02,1.16,RM0065,BR008,VERIFIED,IN_APP,True,True,APP,False,2025-07-02,9999-12-31,True
CUS00000048,CIF000000048,INDIVIDUAL,36-45,M,MANAGER,CONSTRUCTION,<10M,74,SOUTH,MASS,2022-04-10,4.39,RM0072,BR008,VERIFIED,IN_APP,True,True,"APP,SMS,ZALO",False,2022-04-10,9999-12-31,True
CUS00000049,CIF000000049,INDIVIDUAL,26-35,F,BUSINESS_OWNER,IT,10-20M,48,CENTRAL,MASS,2017-03-03,9.49,RM0075,BR009,VERIFIED,IN_APP,True,True,EMAIL,False,2017-03-03,9999-12-31,True
CUS00000050,CIF000000050,INDIVIDUAL,18-25,M,PUBLIC_SECTOR,CONSTRUCTION,40-80M,01,NORTH,AFFLUENT,2012-10-26,13.85,RM0145,BR017,VERIFIED,EMAIL,True,True,"APP,EMAIL,SMS,ZALO",False,2012-10-26,9999-12-31,True
CUS00000051,CIF000000051,INDIVIDUAL,36-45,M,PUBLIC_SECTOR,FINANCE,40-80M,79,SOUTH,PRIVATE,2023-03-04,3.49,RM0044,BR005,VERIFIED,SMS,True,True,"APP,EMAIL,SMS,ZALO",False,2023-03-04,9999-12-31,True
CUS00000052,CIF000000052,SME,18-25,M,RETIRED,HEALTHCARE,40-80M,22,NORTH,SME,2019-11-16,6.79,RM0073,BR009,VERIFIED,IN_APP,True,True,"APP,ZALO",False,2019-11-16,9999-12-31,True
CUS00000053,CIF000000053,INDIVIDUAL,56-65,M,MANAGER,OTHER,40-80M,01,NORTH,AFFLUENT,2023-08-14,3.05,RM0180,BR020,VERIFIED,EMAIL,True,False,,False,2023-08-14,9999-12-31,True
CUS00000054,CIF000000054,INDIVIDUAL,36-45,M,PUBLIC_SECTOR,MANUFACTURING,<10M,79,SOUTH,MASS,2025-12-04,0.74,RM0008,BR001,PENDING,IN_APP,True,True,EMAIL,True,2025-12-04,9999-12-31,True
CUS00000055,CIF000000055,INDIVIDUAL,36-45,F,RETIRED,RETAIL,20-40M,31,NORTH,MASS,2014-02-21,12.52,RM0022,BR003,VERIFIED,IN_APP,True,True,"APP,EMAIL,SMS",False,2014-02-21,9999-12-31,True
CUS00000056,CIF000000056,INDIVIDUAL,46-55,M,PUBLIC_SECTOR,RETAIL,20-40M,01,NORTH,MASS_AFFLUENT,2021-01-15,5.62,RM0107,BR012,VERIFIED,RM_CALL,True,True,"APP,SMS",False,2021-01-15,9999-12-31,True
CUS00000057,CIF000000057,INDIVIDUAL,18-25,F,BUSINESS_OWNER,CONSTRUCTION,<10M,79,SOUTH,MASS,2015-05-01,11.33,RM0149,BR017,VERIFIED,EMAIL,True,False,,True,2015-05-01,9999-12-31,True
CUS00000058,CIF000000058,INDIVIDUAL,56-65,M,OFFICE,MANUFACTURING,10-20M,01,NORTH,MASS,2024-05-30,2.25,RM0040,BR005,VERIFIED,SMS,True,True,"APP,EMAIL,SMS",False,2024-05-30,9999-12-31,True
CUS00000059,CIF000000059,INDIVIDUAL,46-55,M,FREELANCE,EDUCATION,<10M,31,NORTH,MASS,2018-02-04,8.57,RM0002,BR001,VERIFIED,IN_APP,True,True,SMS,False,2018-02-04,9999-12-31,True
CUS00000060,CIF000000060,INDIVIDUAL,65+,F,OFFICE,HEALTHCARE,<10M,48,CENTRAL,MASS,2019-10-26,6.85,RM0130,BR015,VERIFIED,EMAIL,True,False,,True,2019-10-26,9999-12-31,True
CUS00000061,CIF000000061,INDIVIDUAL,26-35,F,BUSINESS_OWNER,FINANCE,20-40M,79,SOUTH,MASS_AFFLUENT,2019-01-05,7.65,RM0046,BR006,VERIFIED,SMS,True,True,ZALO,False,2019-01-05,9999-12-31,True
CUS00000062,CIF000000062,INDIVIDUAL,46-55,M,PUBLIC_SECTOR,OTHER,10-20M,79,SOUTH,MASS_AFFLUENT,2014-08-09,12.06,RM0113,BR013,VERIFIED,ZALO,True,True,EMAIL,False,2014-08-09,9999-12-31,True
CUS00000063,CIF000000063,INDIVIDUAL,26-35,F,BUSINESS_OWNER,CONSTRUCTION,80M+,48,CENTRAL,PRIVATE,2017-08-14,9.05,RM0003,BR001,VERIFIED,ZALO,True,True,APP,False,2017-08-14,9999-12-31,True
CUS00000064,CIF000000064,INDIVIDUAL,56-65,F,OFFICE,FINANCE,<10M,79,SOUTH,MASS,2018-07-04,8.16,RM0047,BR006,VERIFIED,RM_CALL,True,False,,False,2018-07-04,9999-12-31,True
CUS00000065,CIF000000065,INDIVIDUAL,26-35,M,OTHER,IT,20-40M,79,SOUTH,AFFLUENT,2018-03-06,8.49,RM0053,BR006,VERIFIED,EMAIL,True,True,SMS,False,2018-03-06,9999-12-31,True
CUS00000066,CIF000000066,INDIVIDUAL,36-45,M,OFFICE,OTHER,20-40M,79,SOUTH,MASS_AFFLUENT,2019-01-24,7.6,RM0026,BR003,EXPIRED,IN_APP,True,True,"APP,EMAIL,SMS,ZALO",False,2019-01-24,9999-12-31,True
CUS00000067,CIF000000067,INDIVIDUAL,56-65,F,OFFICE,LOGISTICS,40-80M,74,SOUTH,AFFLUENT,2020-07-31,6.08,RM0102,BR012,VERIFIED,RM_CALL,True,True,"APP,SMS,ZALO",False,2020-07-31,9999-12-31,True
CUS00000068,CIF000000068,INDIVIDUAL,36-45,F,BUSINESS_OWNER,FINANCE,10-20M,01,NORTH,MASS,2020-01-04,6.66,RM0023,BR003,VERIFIED,IN_APP,True,False,,True,2020-01-04,9999-12-31,True
CUS00000069,CIF000000069,INDIVIDUAL,26-35,M,OFFICE,HEALTHCARE,20-40M,79,SOUTH,MASS,2014-12-02,11.75,RM0074,BR009,VERIFIED,SMS,True,True,"EMAIL,ZALO",False,2014-12-02,9999-12-31,True
CUS00000070,CIF000000070,INDIVIDUAL,56-65,F,OFFICE,IT,<10M,79,SOUTH,MASS,2012-12-01,13.75,RM0033,BR004,VERIFIED,RM_CALL,True,True,APP,False,2012-12-01,9999-12-31,True
CUS00000071,CIF000000071,INDIVIDUAL,18-25,F,RETIRED,FINANCE,40-80M,01,NORTH,AFFLUENT,2020-01-30,6.58,RM0052,BR006,VERIFIED,SMS,True,True,"APP,ZALO",False,2020-01-30,9999-12-31,True
CUS00000072,CIF000000072,INDIVIDUAL,46-55,M,MANAGER,HEALTHCARE,20-40M,79,SOUTH,MASS_AFFLUENT,2013-08-18,13.03,RM0048,BR006,VERIFIED,SMS,True,True,"EMAIL,SMS,ZALO",False,2013-08-18,9999-12-31,True
CUS00000073,CIF000000073,INDIVIDUAL,36-45,F,BUSINESS_OWNER,LOGISTICS,40-80M,79,SOUTH,AFFLUENT,2021-07-17,5.12,RM0168,BR019,PENDING,IN_APP,True,True,SMS,False,2021-07-17,9999-12-31,True
CUS00000074,CIF000000074,INDIVIDUAL,65+,F,MANAGER,MANUFACTURING,20-40M,56,CENTRAL,MASS_AFFLUENT,2013-07-28,13.09,RM0067,BR008,VERIFIED,EMAIL,True,True,"EMAIL,SMS,ZALO",False,2013-07-28,9999-12-31,True
CUS00000075,CIF000000075,INDIVIDUAL,46-55,F,PUBLIC_SECTOR,FINANCE,10-20M,75,SOUTH,MASS_AFFLUENT,2021-04-15,5.38,RM0122,BR014,VERIFIED,SMS,True,True,"APP,EMAIL,SMS,ZALO",False,2021-04-15,9999-12-31,True
CUS00000076,CIF000000076,SME,36-45,F,PUBLIC_SECTOR,EDUCATION,40-80M,01,NORTH,SME,2024-04-07,2.4,RM0177,BR020,VERIFIED,SMS,True,False,,False,2024-04-07,9999-12-31,True
CUS00000077,CIF000000077,INDIVIDUAL,26-35,M,OTHER,EDUCATION,10-20M,92,SOUTH,MASS,2021-12-14,4.71,RM0115,BR013,VERIFIED,RM_CALL,True,False,,True,2021-12-14,9999-12-31,True
CUS00000078,CIF000000078,INDIVIDUAL,36-45,M,OFFICE,LOGISTICS,10-20M,56,CENTRAL,MASS_AFFLUENT,2013-11-03,12.82,RM0089,BR010,VERIFIED,RM_CALL,True,False,,False,2013-11-03,9999-12-31,True
CUS00000079,CIF000000079,INDIVIDUAL,46-55,F,OFFICE,MANUFACTURING,10-20M,01,NORTH,MASS,2024-07-31,2.08,RM0079,BR009,VERIFIED,SMS,True,False,,False,2024-07-31,9999-12-31,True
CUS00000080,CIF000000080,SME,26-35,M,PUBLIC_SECTOR,FINANCE,40-80M,22,NORTH,SME,2015-06-18,11.2,RM0120,BR014,VERIFIED,IN_APP,True,True,ZALO,False,2015-06-18,9999-12-31,True
CUS00000081,CIF000000081,INDIVIDUAL,65+,M,RETIRED,FINANCE,10-20M,74,SOUTH,MASS,2013-03-27,13.43,RM0038,BR005,VERIFIED,RM_CALL,True,True,APP,False,2013-03-27,9999-12-31,True
CUS00000082,CIF000000082,INDIVIDUAL,18-25,M,OTHER,MANUFACTURING,<10M,75,SOUTH,MASS,2022-01-18,4.62,RM0099,BR011,VERIFIED,RM_CALL,True,True,SMS,False,2022-01-18,9999-12-31,True
CUS00000083,CIF000000083,INDIVIDUAL,26-35,F,OTHER,FINANCE,40-80M,40,NORTH,AFFLUENT,2024-09-21,1.94,RM0029,BR004,VERIFIED,IN_APP,True,True,"EMAIL,SMS,ZALO",False,2024-09-21,9999-12-31,True
CUS00000084,CIF000000084,INDIVIDUAL,26-35,M,BUSINESS_OWNER,RETAIL,20-40M,01,NORTH,MASS_AFFLUENT,2020-10-28,5.84,RM0150,BR017,PENDING,EMAIL,True,True,"APP,EMAIL",False,2020-10-28,9999-12-31,True
CUS00000085,CIF000000085,INDIVIDUAL,46-55,M,PUBLIC_SECTOR,MANUFACTURING,20-40M,79,SOUTH,MASS,2022-09-09,3.98,RM0030,BR004,PENDING,IN_APP,True,True,"APP,EMAIL,SMS,ZALO",False,2022-09-09,9999-12-31,True
CUS00000086,CIF000000086,INDIVIDUAL,18-25,M,RETIRED,LOGISTICS,20-40M,31,NORTH,AFFLUENT,2021-01-20,5.61,RM0047,BR006,VERIFIED,RM_CALL,True,True,SMS,False,2021-01-20,9999-12-31,True
CUS00000087,CIF000000087,INDIVIDUAL,46-55,M,RETIRED,IT,10-20M,31,NORTH,MASS,2024-04-06,2.4,RM0115,BR013,VERIFIED,IN_APP,True,True,ZALO,False,2024-04-06,9999-12-31,True
CUS00000088,CIF000000088,INDIVIDUAL,18-25,F,OFFICE,CONSTRUCTION,40-80M,01,NORTH,MASS_AFFLUENT,2017-03-13,9.47,RM0035,BR004,VERIFIED,RM_CALL,True,True,"APP,EMAIL,ZALO",False,2017-03-13,9999-12-31,True
CUS00000089,CIF000000089,INDIVIDUAL,36-45,M,MANAGER,OTHER,20-40M,01,NORTH,AFFLUENT,2015-04-26,11.35,RM0082,BR010,VERIFIED,SMS,True,True,EMAIL,False,2015-04-26,9999-12-31,True
CUS00000090,CIF000000090,INDIVIDUAL,36-45,M,MANAGER,OTHER,20-40M,79,SOUTH,AFFLUENT,2013-05-03,13.33,RM0101,BR012,VERIFIED,IN_APP,True,True,"APP,EMAIL,SMS",False,2013-05-03,9999-12-31,True
CUS00000091,CIF000000091,SME,36-45,M,FREELANCE,IT,40-80M,31,NORTH,SME,2024-08-14,2.05,RM0026,BR003,VERIFIED,SMS,True,True,"APP,EMAIL,SMS,ZALO",False,2024-08-14,9999-12-31,True
CUS00000092,CIF000000092,INDIVIDUAL,56-65,F,PUBLIC_SECTOR,HEALTHCARE,<10M,48,CENTRAL,MASS,2015-10-11,10.89,RM0034,BR004,PENDING,IN_APP,True,True,ZALO,False,2015-10-11,9999-12-31,True
CUS00000093,CIF000000093,INDIVIDUAL,36-45,F,RETIRED,RETAIL,20-40M,01,NORTH,MASS_AFFLUENT,2021-08-27,5.01,RM0055,BR007,VERIFIED,ZALO,True,False,,False,2021-08-27,9999-12-31,True
CUS00000094,CIF000000094,INDIVIDUAL,36-45,F,OTHER,RETAIL,<10M,74,SOUTH,MASS,2023-10-16,2.87,RM0121,BR014,VERIFIED,EMAIL,True,True,"APP,EMAIL,SMS,ZALO",False,2023-10-16,9999-12-31,True
CUS00000095,CIF000000095,INDIVIDUAL,46-55,F,PUBLIC_SECTOR,IT,<10M,79,SOUTH,MASS,2014-01-06,12.65,RM0169,BR019,VERIFIED,SMS,True,True,APP,False,2014-01-06,9999-12-31,True
CUS00000096,CIF000000096,INDIVIDUAL,36-45,F,PUBLIC_SECTOR,MANUFACTURING,20-40M,79,SOUTH,AFFLUENT,2019-07-06,7.15,RM0066,BR008,VERIFIED,EMAIL,True,True,"APP,EMAIL,SMS,ZALO",False,2019-07-06,9999-12-31,True
CUS00000097,CIF000000097,INDIVIDUAL,36-45,M,RETIRED,RETAIL,10-20M,92,SOUTH,MASS_AFFLUENT,2023-07-13,3.13,RM0110,BR013,VERIFIED,IN_APP,True,True,"APP,ZALO",False,2023-07-13,9999-12-31,True
CUS00000098,CIF000000098,INDIVIDUAL,26-35,M,FREELANCE,IT,10-20M,74,SOUTH,MASS,2024-09-03,1.99,RM0165,BR019,VERIFIED,EMAIL,True,True,"APP,EMAIL,SMS,ZALO",False,2024-09-03,9999-12-31,True
CUS00000099,CIF000000099,INDIVIDUAL,18-25,M,OTHER,OTHER,10-20M,75,SOUTH,MASS,2024-07-13,2.13,RM0178,BR020,VERIFIED,IN_APP,True,True,"EMAIL,SMS",True,2024-07-13,9999-12-31,True
CUS00000100,CIF000000100,INDIVIDUAL,36-45,M,OFFICE,RETAIL,20-40M,75,SOUTH,MASS_AFFLUENT,2019-01-18,7.62,RM0115,BR013,VERIFIED,SMS,True,True,APP,False,2019-01-18,9999-12-31,True
CUS00000101,CIF000000101,INDIVIDUAL,36-45,F,FREELANCE,LOGISTICS,20-40M,01,NORTH,AFFLUENT,2025-11-02,0.83,RM0042,BR005,VERIFIED,RM_CALL,True,True,"APP,EMAIL,ZALO",True,2025-11-02,9999-12-31,True
CUS00000102,CIF000000102,INDIVIDUAL,46-55,F,OFFICE,MANUFACTURING,20-40M,48,CENTRAL,MASS_AFFLUENT,2016-01-07,10.65,RM0131,BR015,VERIFIED,EMAIL,True,True,"SMS,ZALO",False,2016-01-07,9999-12-31,True
CUS00000103,CIF000000103,INDIVIDUAL,26-35,M,FREELANCE,HEALTHCARE,80M+,31,NORTH,AFFLUENT,2024-06-12,2.22,RM0153,BR017,VERIFIED,ZALO,True,True,APP,False,2024-06-12,9999-12-31,True
CUS00000104,CIF000000104,INDIVIDUAL,18-25,M,BUSINESS_OWNER,CONSTRUCTION,<10M,79,SOUTH,MASS,2013-08-05,13.07,RM0070,BR008,VERIFIED,ZALO,True,False,,True,2013-08-05,9999-12-31,True
CUS00000105,CIF000000105,INDIVIDUAL,26-35,M,MANAGER,MANUFACTURING,10-20M,79,SOUTH,MASS,2017-12-24,8.68,RM0092,BR011,VERIFIED,SMS,True,True,"EMAIL,SMS",False,2017-12-24,9999-12-31,True
CUS00000106,CIF000000106,INDIVIDUAL,36-45,M,PUBLIC_SECTOR,LOGISTICS,20-40M,31,NORTH,MASS_AFFLUENT,2020-07-30,6.09,RM0033,BR004,VERIFIED,RM_CALL,True,False,,False,2020-07-30,9999-12-31,True
CUS00000107,CIF000000107,INDIVIDUAL,18-25,M,OTHER,HEALTHCARE,20-40M,79,SOUTH,MASS_AFFLUENT,2015-03-28,11.43,RM0148,BR017,VERIFIED,SMS,True,True,"APP,EMAIL",False,2015-03-28,9999-12-31,True
