case_id,customer_id,created_timestamp,closed_timestamp,channel,case_type,issue_category,product_code,complaint_flag,severity,case_status,resolution_time_hours,csat_score,complaint_count_30d,complaint_count_90d,serious_complaint_7d,days_since_last_complaint,avg_csat,open_case_count
CASE0000000026,CUS00000029,2026-08-31 13:29:43,2026-09-01 00:25:26.117470,CHATBOT,COMPLAINT,OTHER,TD_STANDARD,False,CRITICAL,CLOSED,10.93,1,0,0,False,,1.0,0
CASE0000000027,CUS00000029,2026-07-09 10:59:25,,CHATBOT,DISPUTE,OTHER,CC_PLATINUM,False,LOW,IN_PROGRESS,,,0,0,False,,1.0,1
CASE0000000028,CUS00000030,2026-07-11 11:06:41,2026-07-11 21:42:44.398955,CHATBOT,REQUEST,OTHER,INVEST_FUND,False,LOW,RESOLVED,10.6,3,0,0,False,,3.0,0
CASE0000000029,CUS00000031,2026-06-05 01:10:17,,BRANCH,INQUIRY,ACCOUNT,,False,LOW,OPEN,,,0,0,False,,,1
CASE0000000030,CUS00000032,2026-06-23 23:19:55,2026-06-24 20:37:11.144280,APP,REQUEST,ACCOUNT,INVEST_BOND,False,MEDIUM,RESOLVED,21.29,1,0,0,False,,1.0,0
CASE0000000031,CUS00000033,2026-04-14 20:04:42,2026-04-15 01:25:49.930279,HOTLINE,COMPLAINT,OTHER,LOAN_AUTO,True,MEDIUM,RESOLVED,5.35,3,0,0,False,138,3.0,0
CASE0000000032,CUS00000035,2026-03-06 05:21:21,2026-03-08 04:29:30.436154,BRANCH,INQUIRY,FEE,CC_GOLD,False,MEDIUM,CLOSED,47.14,5,0,0,False,,5.0,0
CASE0000000033,CUS00000036,2026-05-06 20:27:34,2026-05-07 14:42:53.005489,HOTLINE,COMPLAINT,OTHER,INVEST_BOND,False,HIGH,RESOLVED,18.26,5,0,0,False,,5.0,0
CASE0000000034,CUS00000037,2026-08-03 10:14:20,,EMAIL,DISPUTE,LOAN,TD_STANDARD,False,CRITICAL,OPEN,,,0,0,False,170,3.0,1
CASE0000000035,CUS00000037,2026-03-14 12:10:41,2026-03-14 22:24:07.393392,BRANCH,REQUEST,FEE,CC_GOLD,True,LOW,CLOSED,10.22,3,0,0,False,170,3.0,1
CASE0000000036,CUS00000039,2026-08-07 14:05:18,2026-08-08 03:08:55.367050,APP,COMPLAINT,CARD,INVEST_FUND,False,LOW,RESOLVED,13.06,1,0,0,False,,1.0,0
CASE0000000037,CUS00000040,2026-08-24 13:21:44,2026-08-25 04:27:12.708349,HOTLINE,COMPLAINT,CARD,INVEST_FUND,False,HIGH,RESOLVED,15.09,1,0,0,False,,1.0,0
CASE0000000038,CUS00000040,2026-05-29 09:07:40,,APP,INQUIRY,FEE,TD_STANDARD,False,MEDIUM,IN_PROGRESS,,,0,0,False,,1.0,1
CASE0000000039,CUS00000041,2026-08-19 03:39:58,2026-08-19 08:30:20.365080,HOTLINE,REQUEST,ACCOUNT,CC_PLATINUM,False,LOW,CLOSED,4.84,1,0,1,False,69,3.0,0
CASE0000000040,CUS00000041,2026-06-23 10:48:13,2026-06-23 17:59:47.827837,EMAIL,INQUIRY,CARD,,True,MEDIUM,CLOSED,7.19,4,0,1,False,69,3.0,0
CASE0000000041,CUS00000041,2026-04-19 09:35:18,2026-04-19 12:12:30.504364,APP,COMPLAINT,APP,TD_STANDARD,False,MEDIUM,RESOLVED,2.62,4,0,1,False,69,3.0,0
CASE0000000042,CUS00000042,2026-06-04 19:51:34,2026-06-05 07:51:14.497182,APP,REQUEST,OTHER,LOAN_AUTO,False,LOW,RESOLVED,11.99,4,0,0,False,,4.0,0
CASE0000000043,CUS00000043,2026-07-15 12:21:05,2026-07-16 14:36:12.636066,APP,INQUIRY,ACCOUNT,INVEST_BOND,True,CRITICAL,RESOLVED,26.25,1,0,1,False,47,1.0,0
CASE0000000044,CUS00000045,2026-03-25 17:36:02,2026-03-26 08:55:26.096212,APP,COMPLAINT,FEE,LOAN_HOME,True,LOW,RESOLVED,15.32,5,0,0,False,159,5.0,0
CASE0000000045,CUS00000045,2026-03-17 12:31:15,2026-03-18 13:05:45.034832,EMAIL,DISPUTE,LOAN,INVEST_BOND,False,MEDIUM,RESOLVED,24.58,5,0,0,False,159,5.0,0
CASE0000000046,CUS00000047,2026-03-18 00:44:03,2026-03-19 08:48:30.998468,EMAIL,REQUEST,OTHER,LOAN_PERSONAL,True,MEDIUM,RESOLVED,32.07,1,0,0,False,166,1.0,0
CASE0000000047,CUS00000049,2026-08-24 20:12:42,2026-08-25 02:56:54.850268,APP,INQUIRY,ACCOUNT,CC_STANDARD,True,HIGH,RESOLVED,6.74,4,1,1,True,6,3.0,0
CASE0000000048,CUS00000049,2026-06-10 06:45:54,2026-06-11 02:44:34.080886,APP,DISPUTE,CARD,TD_STANDARD,False,LOW,CLOSED,19.98,2,1,1,True,6,3.0,0
CASE0000000049,CUS00000050,2026-07-24 19:31:44,2026-07-25 17:47:36.612544,HOTLINE,INQUIRY,FEE,INVEST_FUND,True,HIGH,CLOSED,22.26,2,0,1,False,37,3.67,0
CASE0000000050,CUS00000050,2026-07-02 08:12:02,2026-07-03 11:07:01.522799,APP,COMPLAINT,LOAN,INVEST_BOND,False,HIGH,RESOLVED,26.92,5,0,1,False,37,3.67,0
CASE0000000051,CUS00000050,2026-03-19 03:21:40,2026-03-19 19:27:09.265073,BRANCH,COMPLAINT,OTHER,INVEST_FUND,True,MEDIUM,CLOSED,16.09,4,0,1,False,37,3.67,0
CASE0000000052,CUS00000051,2026-07-07 20:07:54,2026-07-08 08:34:47.435018,APP,COMPLAINT,CARD,INVEST_BOND,True,HIGH,RESOLVED,12.45,2,0,1,False,54,2.0,0
CASE0000000053,CUS00000052,2026-07-11 15:46:16,2026-07-12 07:28:15.549118,BRANCH,REQUEST,CARD,CC_GOLD,False,HIGH,CLOSED,15.7,4,0,0,False,164,4.0,0
CASE0000000054,CUS00000052,2026-04-08 17:37:10,2026-04-09 20:09:04.916115,BRANCH,COMPLAINT,CARD,TD_FLEXI,False,HIGH,CLOSED,26.53,4,0,0,False,164,4.0,0
CASE0000000055,CUS00000052,2026-03-19 21:25:30,,HOTLINE,REQUEST,ACCOUNT,INVEST_FUND,True,MEDIUM,IN_PROGRESS,,,0,0,False,164,4.0,1
CASE0000000056,CUS00000053,2026-08-01 18:46:31,2026-08-01 22:39:22.747458,BRANCH,INQUIRY,ACCOUNT,TD_STANDARD,False,CRITICAL,CLOSED,3.88,3,0,0,False,,3.67,0
CASE0000000057,CUS00000053,2026-07-14 09:59:50,2026-07-14 23:41:27.883402,BRANCH,DISPUTE,CARD,TD_STANDARD,False,LOW,RESOLVED,13.69,5,0,0,False,,3.67,0
CASE0000000058,CUS00000053,2026-05-03 20:01:23,2026-05-04 07:12:55.891477,BRANCH,REQUEST,OTHER,LOAN_AUTO,False,MEDIUM,CLOSED,11.19,3,0,0,False,,3.67,0
CASE0000000059,CUS00000054,2026-07-23 20:12:29,2026-07-24 10:12:00.652837,BRANCH,REQUEST,FEE,,False,HIGH,RESOLVED,13.99,4,0,0,False,,3.0,0
CASE0000000060,CUS00000054,2026-07-22 21:07:53,2026-07-23 19:12:57.156493,APP,COMPLAINT,CARD,INVEST_BOND,False,LOW,CLOSED,22.08,2,0,0,False,,3.0,0
CASE0000000061,CUS00000055,2026-08-24 16:53:51,2026-08-25 10:48:42.778065,APP,INQUIRY,CARD,LOAN_AUTO,False,LOW,RESOLVED,17.91,4,1,3,False,9,2.75,0
CASE0000000062,CUS00000055,2026-08-21 19:27:30,2026-08-22 04:42:16.200275,APP,INQUIRY,APP,LOAN_HOME,True,CRITICAL,RESOLVED,9.25,2,1,3,False,9,2.75,0
CASE0000000063,CUS00000055,2026-06-19 03:04:33,2026-06-19 21:24:21.796790,HOTLINE,REQUEST,LOAN,CC_GOLD,True,MEDIUM,CLOSED,18.33,2,1,3,False,9,2.75,0
CASE0000000064,CUS00000055,2026-06-13 17:02:57,2026-06-13 19:25:45.902275,APP,INQUIRY,ACCOUNT,TD_FLEXI,True,LOW,RESOLVED,2.38,3,1,3,False,9,2.75,0
CASE0000000065,CUS00000056,2026-08-31 07:17:14,2026-08-31 23:51:18.735507,HOTLINE,COMPLAINT,OTHER,CC_STANDARD,False,MEDIUM,RESOLVED,16.57,4,0,0,False,,4.0,0
CASE0000000066,CUS00000056,2026-08-09 07:36:27,,HOTLINE,DISPUTE,LOAN,LOAN_PERSONAL,False,MEDIUM,IN_PROGRESS,,,0,0,False,,4.0,1
CASE0000000067,CUS00000057,2026-07-06 11:05:46,2026-07-06 21:44:58.639314,EMAIL,DISPUTE,OTHER,INVEST_FUND,False,HIGH,CLOSED,10.65,3,0,0,False,,3.0,0
CASE0000000068,CUS00000057,2026-06-28 10:40:52,2026-06-29 08:10:58.139630,CHATBOT,INQUIRY,CARD,CC_PLATINUM,False,LOW,RESOLVED,21.5,3,0,0,False,,3.0,0
CASE0000000069,CUS00000058,2026-04-04 00:29:27,2026-04-04 12:47:45.541527,BRANCH,COMPLAINT,FEE,INVEST_FUND,False,LOW,RESOLVED,12.31,4,0,0,False,,4.5,0
CASE0000000070,CUS00000058,2026-03-11 19:48:35,2026-03-12 23:19:52.963663,HOTLINE,COMPLAINT,APP,INVEST_BOND,False,HIGH,CLOSED,27.52,5,0,0,False,,4.5,0
CASE0000000071,CUS00000059,2026-07-27 05:52:59,2026-07-28 04:48:25.929342,CHATBOT,INQUIRY,ACCOUNT,CC_GOLD,False,MEDIUM,CLOSED,22.92,3,0,0,False,108,2.33,0
CASE0000000072,CUS00000059,2026-05-15 04:09:28,2026-05-16 02:06:31.526221,BRANCH,REQUEST,APP,CC_PLATINUM,True,HIGH,CLOSED,21.95,3,0,0,False,108,2.33,0
CASE0000000073,CUS00000059,2026-04-12 03:01:29,2026-04-13 08:13:59.689113,APP,DISPUTE,FEE,LOAN_AUTO,True,MEDIUM,RESOLVED,29.21,1,0,0,False,108,2.33,0
CASE0000000074,CUS00000060,2026-05-17 00:09:30,2026-05-17 01:45:22.995309,CHATBOT,COMPLAINT,APP,INVEST_FUND,False,LOW,CLOSED,1.6,2,0,0,False,,2.0,0
CASE0000000075,CUS00000064,2026-08-09 04:57:42,,BRANCH,DISPUTE,ACCOUNT,TD_STANDARD,True,HIGH,IN_PROGRESS,,,1,1,False,22,2.0,1
CASE0000000076,CUS00000064,2026-04-20 20:10:18,2026-04-22 17:29:29.055254,CHATBOT,COMPLAINT,OTHER,TD_STANDARD,False,HIGH,RESOLVED,45.32,2,1,1,False,22,2.0,1
CASE0000000077,CUS00000065,2026-06-23 09:14:19,2026-06-24 00:53:30.810610,EMAIL,DISPUTE,FEE,INVEST_BOND,True,MEDIUM,RESOLVED,15.65,1,0,1,False,69,1.0,0
CASE0000000078,CUS00000066,2026-05-03 16:03:04,,BRANCH,DISPUTE,LOAN,CC_PLATINUM,True,HIGH,IN_PROGRESS,,,0,0,False,120,5.0,1
CASE0000000079,CUS00000066,2026-04-11 07:58:19,2026-04-11 12:31:56.492099,HOTLINE,REQUEST,FEE,TD_STANDARD,False,HIGH,CLOSED,4.56,5,0,0,False,120,5.0,1
CASE0000000080,CUS00000067,2026-06-11 23:26:52,2026-06-12 02:40:14.921568,CHATBOT,REQUEST,ACCOUNT,,False,LOW,CLOSED,3.22,5,0,0,False,179,4.33,0
CASE0000000081,CUS00000067,2026-04-05 18:11:33,2026-04-06 02:50:40.871288,APP,REQUEST,APP,CC_STANDARD,False,MEDIUM,RESOLVED,8.65,5,0,0,False,179,4.33,0
CASE0000000082,CUS00000067,2026-03-04 19:01:17,2026-03-05 09:42:01.266431,HOTLINE,INQUIRY,OTHER,CC_GOLD,True,LOW,RESOLVED,14.68,3,0,0,False,179,4.33,0
CASE0000000083,CUS00000069,2026-04-28 02:53:45,2026-04-28 11:37:54.166557,EMAIL,INQUIRY,FEE,CC_PLATINUM,True,HIGH,CLOSED,8.74,4,0,0,False,125,4.0,0
CASE0000000084,CUS00000070,2026-07-28 10:22:19,2026-07-28 13:39:21.128153,HOTLINE,DISPUTE,FEE,LOAN_HOME,False,LOW,CLOSED,3.28,5,0,0,False,,5.0,0
CASE0000000085,CUS00000072,2026-08-15 17:57:14,,BRANCH,REQUEST,APP,CC_PLATINUM,False,HIGH,IN_PROGRESS,,,0,0,False,160,5.0,1
CASE0000000086,CUS00000072,2026-05-20 12:31:59,2026-05-21 19:24:12.247216,HOTLINE,DISPUTE,LOAN,LOAN_PERSONAL,False,HIGH,RESOLVED,30.87,5,0,0,False,160,5.0,1
CASE0000000087,CUS00000072,2026-03-24 01:58:04,,EMAIL,COMPLAINT,ACCOUNT,CC_PLATINUM,True,LOW,IN_PROGRESS,,,0,0,False,160,5.0,2
CASE0000000088,CUS00000074,2026-07-17 19:41:22,2026-07-18 16:15:15.432552,HOTLINE,DISPUTE,CARD,INVEST_BOND,True,LOW,RESOLVED,20.56,1,0,1,False,44,2.75,0
CASE0000000089,CUS00000074,2026-06-23 06:08:10,2026-06-23 09:32:34.220341,CHATBOT,REQUEST,FEE,TD_FLEXI,False,LOW,CLOSED,3.41,5,0,1,False,44,2.75,0
CASE0000000090,CUS00000074,2026-04-10 17:58:11,2026-04-11 13:29:57.301736,EMAIL,REQUEST,LOAN,,False,LOW,RESOLVED,19.53,2,0,1,False,44,2.75,0
CASE0000000091,CUS00000074,2026-03-27 19:52:02,2026-03-29 05:49:23.884672,APP,INQUIRY,APP,LOAN_PERSONAL,False,LOW,CLOSED,33.96,3,0,1,False,44,2.75,0
CASE0000000092,CUS00000075,2026-04-15 08:52:37,2026-04-16 02:19:27.176959,EMAIL,REQUEST,CARD,,False,LOW,RESOLVED,17.45,5,0,0,False,,5.0,0
CASE0000000093,CUS00000076,2026-06-29 04:39:43,2026-06-29 10:18:30.410981,BRANCH,DISPUTE,CARD,TD_STANDARD,False,LOW,RESOLVED,5.65,2,0,0,False,,3.5,0
CASE0000000094,CUS00000076,2026-06-21 09:55:45,2026-06-21 19:40:10.318995,APP,DISPUTE,OTHER,LOAN_PERSONAL,False,LOW,RESOLVED,9.74,5,0,0,False,,3.5,0
CASE0000000095,CUS00000078,2026-07-03 20:57:41,2026-07-04 03:00:07.408056,HOTLINE,DISPUTE,FEE,CC_PLATINUM,True,MEDIUM,CLOSED,6.04,4,0,1,False,58,4.0,0
CASE0000000096,CUS00000078,2026-04-02 05:22:52,2026-04-02 11:51:56.379373,APP,REQUEST,OTHER,CC_PLATINUM,False,HIGH,RESOLVED,6.48,4,0,1,False,58,4.0,0
CASE0000000097,CUS00000079,2026-05-27 11:11:31,,CHATBOT,REQUEST,FEE,LOAN_HOME,False,LOW,IN_PROGRESS,,,0,0,False,,,1
CASE0000000098,CUS00000080,2026-08-26 14:34:38,,APP,INQUIRY,FEE,,True,LOW,OPEN,,,1,1,False,5,,1
CASE0000000099,CUS00000081,2026-06-25 10:48:56,2026-06-25 13:26:47.225778,BRANCH,COMPLAINT,LOAN,TD_FLEXI,False,LOW,CLOSED,2.63,1,0,0,False,132,2.0,0
CASE0000000100,CUS00000081,2026-04-21 12:57:50,2026-04-22 21:36:26.459442,APP,DISPUTE,CARD,LOAN_HOME,True,HIGH,RESOLVED,32.64,3,0,0,False,132,2.0,0
CASE0000000101,CUS00000082,2026-07-30 14:15:55,2026-07-31 00:54:34.667304,CHATBOT,COMPLAINT,OTHER,LOAN_AUTO,True,HIGH,RESOLVED,10.64,2,0,1,False,32,3.0,0
CASE0000000102,CUS00000082,2026-07-02 06:38:32,2026-07-03 12:24:32.812637,EMAIL,REQUEST,OTHER,TD_STANDARD,False,LOW,RESOLVED,29.77,4,0,1,False,32,3.0,0
CASE0000000103,CUS00000083,2026-03-28 16:47:33,2026-03-28 22:36:28.863549,APP,COMPLAINT,CARD,,False,MEDIUM,CLOSED,5.82,3,0,0,False,,3.5,0
CASE0000000104,CUS00000083,2026-03-21 08:52:37,2026-03-21 23:30:37.441596,CHATBOT,COMPLAINT,ACCOUNT,LOAN_AUTO,False,CRITICAL,RESOLVED,14.63,4,0,0,False,,3.5,0
CASE0000000105,CUS00000085,2026-07-28 12:52:02,2026-07-29 02:00:44.438319,APP,REQUEST,LOAN,LOAN_AUTO,True,LOW,CLOSED,13.15,1,0,1,False,34,2.33,0
CASE0000000106,CUS00000085,2026-06-13 07:09:28,2026-06-13 16:48:19.468359,HOTLINE,DISPUTE,LOAN,LOAN_HOME,False,CRITICAL,RESOLVED,9.65,5,0,1,False,34,2.33,0
CASE0000000107,CUS00000085,2026-05-12 05:33:27,2026-05-13 08:50:40.206111,CHATBOT,COMPLAINT,APP,CC_GOLD,False,LOW,RESOLVED,27.29,1,0,1,False,34,2.33,0
CASE0000000108,CUS00000086,2026-08-24 23:43:02,2026-08-25 19:31:26.274013,EMAIL,INQUIRY,LOAN,CC_GOLD,True,HIGH,RESOLVED,19.81,3,1,1,True,6,3.8,0
CASE0000000109,CUS00000086,2026-08-05 00:06:22,2026-08-05 14:25:22.964686,EMAIL,REQUEST,APP,CC_PLATINUM,False,LOW,CLOSED,14.32,5,1,1,True,6,3.8,0
CASE0000000110,CUS00000086,2026-07-15 01:32:15,2026-07-15 08:07:07.927183,CHATBOT,REQUEST,CARD,CC_STANDARD,False,CRITICAL,RESOLVED,6.58,3,1,1,True,6,3.8,0
CASE0000000111,CUS00000086,2026-05-20 06:17:53,2026-05-20 12:28:19.632338,HOTLINE,REQUEST,APP,TD_STANDARD,False,LOW,RESOLVED,6.17,4,1,1,True,6,3.8,0
CASE0000000112,CUS00000086,2026-05-05 15:03:49,2026-05-06 00:17:57.822691,BRANCH,COMPLAINT,FEE,CC_STANDARD,True,MEDIUM,RESOLVED,9.24,4,1,1,True,6,3.8,0
CASE0000000113,CUS00000087,2026-07-07 13:56:30,2026-07-08 10:55:47.944822,EMAIL,REQUEST,LOAN,INVEST_FUND,False,LOW,RESOLVED,20.99,2,0,0,False,,3.5,0
CASE0000000114,CUS00000087,2026-04-26 21:43:20,2026-04-27 14:47:16.088467,CHATBOT,INQUIRY,APP,CC_GOLD,False,MEDIUM,RESOLVED,17.07,5,0,0,False,,3.5,0
CASE0000000115,CUS00000088,2026-08-18 04:48:16,2026-08-18 15:28:06.636005,BRANCH,DISPUTE,FEE,LOAN_PERSONAL,False,MEDIUM,CLOSED,10.66,1,0,0,False,112,2.67,0
CASE0000000116,CUS00000088,2026-05-14 07:47:02,2026-05-14 19:28:20.283247,EMAIL,COMPLAINT,CARD,TD_STANDARD,False,HIGH,CLOSED,11.69,5,0,0,False,112,2.67,0
CASE0000000117,CUS00000088,2026-05-10 23:34:04,2026-05-11 16:13:16.568548,HOTLINE,COMPLAINT,ACCOUNT,LOAN_HOME,True,MEDIUM,CLOSED,16.65,2,0,0,False,112,2.67,0
CASE0000000118,CUS00000091,2026-07-11 18:27:57,2026-07-12 15:34:11.907399,CHATBOT,COMPLAINT,APP,LOAN_HOME,False,MEDIUM,RESOLVED,21.1,5,0,0,False,,5.0,0
CASE0000000119,CUS00000091,2026-06-15 21:29:59,,BRANCH,INQUIRY,APP,LOAN_PERSONAL,False,LOW,OPEN,,,0,0,False,,5.0,1
CASE0000000120,CUS00000094,2026-07-30 01:04:17,2026-07-30 15:54:53.413590,HOTLINE,INQUIRY,APP,INVEST_FUND,False,MEDIUM,RESOLVED,14.84,5,0,0,False,,5.0,0
CASE0000000121,CUS00000094,2026-05-02 14:42:34,2026-05-03 12:39:31.942318,BRANCH,INQUIRY,LOAN,TD_FLEXI,False,LOW,RESOLVED,21.95,5,0,0,False,,5.0,0
CASE0000000122,CUS00000095,2026-06-29 15:43:16,2026-06-29 23:20:23.459271,HOTLINE,REQUEST,CARD,TD_STANDARD,False,LOW,CLOSED,7.62,1,0,0,False,,1.75,0
CASE0000000123,CUS00000095,2026-04-29 09:59:22,2026-04-29 19:31:10.912470,EMAIL,INQUIRY,APP,,False,LOW,RESOLVED,9.53,1,0,0,False,,1.75,0
CASE0000000124,CUS00000095,2026-04-03 00:36:24,2026-04-03 19:24:37.313959,CHATBOT,REQUEST,ACCOUNT,TD_FLEXI,False,LOW,CLOSED,18.8,3,0,0,False,,1.75,0
CASE0000000125,CUS00000095,2026-03-30 21:44:11,2026-03-31 15:36:52.633129,APP,INQUIRY,ACCOUNT,LOAN_HOME,False,MEDIUM,RESOLVED,17.88,2,0,0,False,,1.75,0
CASE0000000126,CUS00000098,2026-06-27 12:16:49,2026-06-28 04:13:36.215134,HOTLINE,COMPLAINT,LOAN,INVEST_FUND,True,MEDIUM,RESOLVED,15.95,3,0,1,False,65,3.0,0
CASE0000000127,CUS00000099,2026-07-20 20:10:29,2026-07-21 08:27:53.793939,HOTLINE,INQUIRY,FEE,LOAN_HOME,False,MEDIUM,RESOLVED,12.29,1,0,0,False,,1.0,0
CASE0000000128,CUS00000101,2026-07-19 05:07:58,2026-07-19 12:30:53.104830,BRANCH,DISPUTE,CARD,TD_STANDARD,False,MEDIUM,RESOLVED,7.38,2,0,0,False,,2.0,0
CASE0000000129,CUS00000102,2026-07-05 22:55:28,2026-07-06 01:30:51.593620,HOTLINE,INQUIRY,FEE,CC_GOLD,False,MEDIUM,RESOLVED,2.59,2,0,0,False,,2.5,0
CASE0000000130,CUS00000102,2026-06-25 21:09:59,2026-06-26 09:04:09.304721,APP,REQUEST,APP,INVEST_BOND,False,LOW,RESOLVED,11.9,3,0,0,False,,2.5,0
CASE0000000131,CUS00000104,2026-08-09 19:15:34,2026-08-10 19:44:08.704990,HOTLINE,INQUIRY,CARD,CC_STANDARD,False,LOW,RESOLVED,24.48,4,0,0,False,,3.0,0
CASE0000000132,CUS00000104,2026-03-28 21:08:03,2026-03-29 12:07:18.594298,APP,REQUEST,CARD,CC_STANDARD,False,MEDIUM,CLOSED,14.99,2,0,0,False,,3.0,0
CASE0000000133,CUS00000106,2026-04-18 09:47:53,2026-04-19 06:43:14.225525,BRANCH,DISPUTE,FEE,,True,LOW,RESOLVED,20.92,1,0,0,False,135,1.0,0
CASE0000000134,CUS00000107,2026-07-18 15:22:08,2026-07-21 13:54:28.622192,HOTLINE,DISPUTE,CARD,,False,LOW,RESOLVED,70.54,3,0,1,False,77,2.25,0
CASE0000000135,CUS00000107,2026-06-15 02:00:27,2026-06-15 20:25:47.835638,BRANCH,COMPLAINT,APP,TD_FLEXI,True,LOW,RESOLVED,18.42,2,0,1,False,77,2.25,0
