deposit_id,customer_id,open_date,maturity_date,deposit_type,term_months,currency,principal_amount,current_balance,interest_rate,auto_renew_flag,early_withdraw_flag,deposit_status,total_deposit_balance,deposit_count,maturity_30d_amount,maturity_60d_amount,days_to_nearest_maturity
DEP000000014,CUS00000026,2024-12-14,2026-12-04,TERM,24,VND,55563606.81,56447710.37,5.325,False,False,ACTIVE,101003147.3,2,0.0,42817177.57,59
DEP000000015,CUS00000026,2026-02-01,2026-10-29,TERM,9,VND,42817177.57,44555436.93,4.625,True,False,ACTIVE,101003147.3,2,0.0,42817177.57,59
DEP000000016,CUS00000029,2025-10-01,2027-09-21,TERM,24,VND,88406440.87,91518217.55,5.472,True,False,ACTIVE,340543864.45,2,0.0,0.0,386
DEP000000017,CUS00000029,2026-05-10,2026-08-08,TERM,3,VND,240603449.55,249025646.9,4.093,True,False,ROLLED_OVER,340543864.45,2,0.0,0.0,386
DEP000000018,CUS00000031,2025-10-17,2026-10-12,TERM,12,VND,562047160.72,580750349.59,4.238,True,False,ACTIVE,1131396270.89,2,0.0,562047160.72,42
DEP000000019,CUS00000031,2026-07-13,2026-08-12,FLEXI,1,VND,533499132.26,550645921.31,5.502,True,False,ROLLED_OVER,1131396270.89,2,0.0,562047160.72,42
DEP000000020,CUS00000033,2026-02-04,2026-08-03,TERM,6,VND,15255931.23,0.0,5.668,True,False,MATURED,0.0,1,0.0,0.0,
DEP000000021,CUS00000036,2026-07-01,2027-03-28,FLEXI,9,VND,163755630.71,167128080.15,5.231,True,False,ACTIVE,167128080.15,1,0.0,0.0,209
DEP000000022,CUS00000038,2026-02-09,2027-08-03,TERM,18,VND,989524552.92,1010840387.89,5.048,False,True,ACTIVE,1010840387.89,1,0.0,0.0,337
DEP000000023,CUS00000040,2026-05-17,2026-08-15,TERM,3,VND,240888895.69,0.0,5.072,False,False,MATURED,0.0,1,0.0,0.0,
DEP000000024,CUS00000041,2025-12-07,2027-11-27,FLEXI,24,VND,40309501.49,41367848.85,5.734,False,False,ACTIVE,41367848.85,1,0.0,0.0,453
DEP000000025,CUS00000042,2025-09-29,2026-09-24,TERM,12,VND,39612919.97,40833238.37,5.579,False,False,MATURING_SOON,40833238.37,1,39612919.97,39612919.97,24
DEP000000026,CUS00000044,2024-08-26,2026-08-16,TERM,24,VND,22556377.56,0.0,5.888,True,False,MATURED,0.0,1,0.0,0.0,
DEP000000027,CUS00000045,2025-12-01,2026-08-28,TERM,9,VND,299745068.16,309961323.64,5.399,True,False,ROLLED_OVER,309961323.64,1,0.0,0.0,
DEP000000028,CUS00000049,2026-07-19,2027-01-15,TERM,6,VND,8679349.6,9101134.54,3.866,False,False,ACTIVE,9101134.54,1,0.0,0.0,137
DEP000000029,CUS00000050,2026-01-01,2026-09-28,TERM,9,VND,82214292.12,84028834.46,5.975,True,False,MATURING_SOON,84028834.46,1,82214292.12,82214292.12,28
DEP000000030,CUS00000053,2026-08-12,2028-02-03,TERM,18,VND,651338764.38,666772702.89,3.977,False,False,ACTIVE,666772702.89,1,0.0,0.0,521
DEP000000031,CUS00000055,2026-04-26,2027-04-21,TERM,12,VND,19571142.57,20046827.86,6.05,True,False,ACTIVE,20046827.86,1,0.0,0.0,233
DEP000000032,CUS00000057,2026-02-22,2026-11-19,TERM,9,VND,88666086.49,89708498.52,4.452,False,False,ACTIVE,89708498.52,1,0.0,0.0,80
DEP000000033,CUS00000062,2025-08-05,2027-01-27,TERM,18,VND,129330428.46,130495203.47,4.026,False,False,ACTIVE,130495203.47,1,0.0,0.0,149
DEP000000034,CUS00000063,2026-05-16,2026-08-14,TERM,3,VND,235167899.81,238591770.28,5.704,False,False,ROLLED_OVER,238591770.28,1,0.0,0.0,
DEP000000035,CUS00000064,2026-07-01,2027-12-23,TERM,18,VND,9640826.35,9985458.98,5.836,True,False,ACTIVE,9985458.98,1,0.0,0.0,479
DEP000000036,CUS00000066,2026-07-08,2026-10-06,TERM,3,VND,64730079.82,65980170.88,5.168,False,False,ACTIVE,65980170.88,1,0.0,64730079.82,36
DEP000000037,CUS00000068,2026-07-06,2026-10-04,TERM,3,VND,20481525.61,20713516.17,5.478,False,False,ACTIVE,20713516.17,1,0.0,20481525.61,34
DEP000000038,CUS00000071,2026-08-16,2027-08-11,FLEXI,12,VND,1299182606.18,1362212365.83,5.442,True,False,ACTIVE,1362212365.83,1,0.0,0.0,345
DEP000000039,CUS00000073,2026-06-30,2027-03-27,TERM,9,VND,100648205.51,104696687.09,3.685,False,False,ACTIVE,104696687.09,1,0.0,0.0,208
DEP000000040,CUS00000074,2026-06-24,2026-09-22,TERM,3,VND,179311882.88,184391824.38,5.796,True,False,MATURING_SOON,330830607.63,2,325442829.42,325442829.42,19
DEP000000041,CUS00000074,2026-08-20,2026-09-19,FLEXI,1,VND,146130946.54,146438783.25,5.673,True,False,MATURING_SOON,330830607.63,2,325442829.42,325442829.42,19
DEP000000042,CUS00000075,2025-11-25,2027-05-19,FLEXI,18,VND,169464098.36,171436758.85,5.133,False,False,ACTIVE,171436758.85,1,0.0,0.0,261
DEP000000043,CUS00000085,2025-09-25,2027-03-19,TERM,18,VND,25771795.31,26013384.3,4.609,False,False,ACTIVE,26013384.3,1,0.0,0.0,200
DEP000000044,CUS00000087,2026-06-21,2026-09-19,FLEXI,3,VND,63031554.86,65533051.84,3.685,False,False,MATURING_SOON,143438376.43,2,140698257.51,140698257.51,5
DEP000000045,CUS00000087,2026-03-09,2026-09-05,TERM,6,VND,77666702.65,77905324.59,3.804,False,False,MATURING_SOON,143438376.43,2,140698257.51,140698257.51,5
DEP000000046,CUS00000089,2026-07-17,2026-08-16,TERM,1,VND,161476797.89,164689483.26,4.414,True,False,ROLLED_OVER,164689483.26,1,0.0,0.0,
DEP000000047,CUS00000090,2025-08-30,2027-02-21,FLEXI,18,VND,212149790.98,220483543.73,5.478,True,False,ACTIVE,220483543.73,1,0.0,0.0,174
DEP000000048,CUS00000093,2025-09-23,2026-09-18,TERM,12,VND,240501827.76,243062624.22,5.93,True,False,MATURING_SOON,243062624.22,1,240501827.76,240501827.76,18
DEP000000049,CUS00000096,2026-03-23,2026-09-19,TERM,6,VND,154234756.34,160310746.38,3.698,True,False,MATURING_SOON,160310746.38,1,154234756.34,154234756.34,19
DEP000000050,CUS00000097,2026-06-08,2026-09-06,TERM,3,VND,286332814.32,286490186.75,3.856,True,False,MATURING_SOON,403524250.42,2,286332814.32,286332814.32,6
DEP000000051,CUS00000097,2025-11-18,2027-05-12,TERM,18,VND,114426666.72,117034063.67,5.587,True,False,ACTIVE,403524250.42,2,286332814.32,286332814.32,6
DEP000000052,CUS00000098,2025-03-02,2026-08-24,TERM,18,VND,34441507.99,35787096.96,4.464,True,False,ROLLED_OVER,79375747.19,2,0.0,0.0,186
DEP000000053,CUS00000098,2025-09-11,2027-03-05,FLEXI,18,VND,42567153.06,43588650.23,4.449,True,False,ACTIVE,79375747.19,2,0.0,0.0,186
DEP000000054,CUS00000100,2025-03-23,2026-09-14,TERM,18,VND,268650294.54,277901829.46,3.665,True,False,MATURING_SOON,689271520.42,2,677343952.66,677343952.66,14
DEP000000055,CUS00000100,2026-06-28,2026-09-26,TERM,3,VND,408693658.12,411369690.96,6.065,True,False,MATURING_SOON,689271520.42,2,677343952.66,677343952.66,14
DEP000000056,CUS00000102,2026-08-03,2026-09-02,FLEXI,1,VND,135379120.75,138904416.32,3.695,False,False,MATURING_SOON,138904416.32,1,135379120.75,135379120.75,2
DEP000000057,CUS00000105,2025-12-28,2026-12-23,TERM,12,VND,94594719.98,94880278.74,6.015,True,True,ACTIVE,94880278.74,1,0.0,0.0,114
DEP000000058,CUS00000106,2026-04-23,2028-04-12,TERM,24,VND,33766805.14,33912692.17,4.09,True,False,ACTIVE,33912692.17,1,0.0,0.0,590
DEP000000059,CUS00000110,2025-03-16,2026-09-07,TERM,18,VND,202859192.71,210036501.7,3.816,False,False,MATURING_SOON,210036501.7,1,202859192.71,202859192.71,7
DEP000000060,CUS00000111,2026-07-12,2026-08-11,TERM,1,VND,37416134.24,37863053.81,5.927,True,False,ROLLED_OVER,37863053.81,1,0.0,0.0,
DEP000000061,CUS00000113,2025-03-12,2026-09-03,TERM,18,VND,119957881.24,125355616.07,3.743,True,False,MATURING_SOON,125355616.07,2,119957881.24,119957881.24,3
DEP000000062,CUS00000113,2026-07-12,2026-08-11,FLEXI,1,VND,244947603.94,0.0,4.057,False,False,MATURED,125355616.07,2,119957881.24,119957881.24,3
DEP000000063,CUS00000114,2026-05-30,2026-11-26,TERM,6,VND,324829981.43,338844909.79,4.244,True,False,ACTIVE,338844909.79,1,0.0,0.0,87
DEP000000064,CUS00000115,2025-09-30,2026-09-25,FLEXI,12,VND,564872162.21,592664356.17,3.822,False,False,MATURING_SOON,592664356.17,1,564872162.21,564872162.21,25
DEP000000065,CUS00000117,2026-05-27,2026-08-25,FLEXI,3,VND,144436374.74,0.0,3.676,True,False,MATURED,256923546.07,2,0.0,0.0,148
DEP000000066,CUS00000117,2026-07-30,2027-01-26,TERM,6,VND,251729887.65,256923546.07,4.071,False,False,ACTIVE,256923546.07,2,0.0,0.0,148
DEP000000067,CUS00000119,2026-02-20,2026-08-19,TERM,6,VND,42532105.94,0.0,6.179,True,False,MATURED,0.0,1,0.0,0.0,
DEP000000068,CUS00000121,2026-04-24,2026-07-23,TERM,3,VND,27849785.52,0.0,3.531,False,False,MATURED,0.0,1,0.0,0.0,
DEP000000069,CUS00000122,2026-08-03,2026-11-01,TERM,3,VND,88520443.54,89748524.83,5.855,True,False,ACTIVE,89748524.83,1,0.0,0.0,62
DEP000000070,CUS00000123,2026-06-27,2026-09-25,TERM,3,VND,229003451.55,237968119.91,5.532,True,False,MATURING_SOON,237968119.91,1,229003451.55,229003451.55,25
DEP000000071,CUS00000126,2025-11-05,2026-08-02,FLEXI,9,VND,253780376.4,258455168.18,5.1,True,False,ROLLED_OVER,258455168.18,1,0.0,0.0,
DEP000000072,CUS00000129,2026-06-25,2027-06-20,FLEXI,12,VND,2442041396.13,2530488316.3,6.186,True,False,ACTIVE,2530488316.3,1,0.0,0.0,293
DEP000000073,CUS00000131,2025-12-12,2026-09-08,TERM,9,VND,162400623.03,162751787.65,4.231,True,False,MATURING_SOON,230878545.5,2,227990766.64,227990766.64,8
DEP000000074,CUS00000131,2026-03-18,2026-09-14,FLEXI,6,VND,65590143.61,68126757.85,5.032,True,False,MATURING_SOON,230878545.5,2,227990766.64,227990766.64,8
DEP000000075,CUS00000133,2026-07-21,2027-07-16,TERM,12,VND,50196180.1,50686540.05,5.969,False,True,ACTIVE,50686540.05,1,0.0,0.0,319
DEP000000076,CUS00000135,2025-04-03,2027-03-24,TERM,24,VND,1599498284.49,1654145567.51,5.269,False,False,ACTIVE,1654145567.51,1,0.0,0.0,205
DEP000000077,CUS00000138,2026-03-10,2026-09-06,TERM,6,VND,236905610.83,242910068.13,5.957,True,True,MATURING_SOON,1188322725.38,2,1166539210.78,1166539210.78,4
DEP000000078,CUS00000138,2026-03-08,2026-09-04,TERM,6,VND,929633599.95,945412657.25,5.675,False,False,MATURING_SOON,1188322725.38,2,1166539210.78,1166539210.78,4
DEP000000079,CUS00000139,2026-07-03,2026-10-01,TERM,3,VND,21233687.31,21320128.27,5.589,True,False,ACTIVE,21320128.27,1,0.0,21233687.31,31
DEP000000080,CUS00000140,2025-07-01,2027-06-21,TERM,24,VND,108857568.82,114300135.28,3.698,True,False,ACTIVE,114300135.28,1,0.0,0.0,294
DEP000000081,CUS00000141,2025-12-15,2026-09-11,TERM,9,VND,811134877.01,843788497.84,5.28,True,False,MATURING_SOON,843788497.84,1,811134877.01,811134877.01,11
DEP000000082,CUS00000144,2024-11-09,2026-10-30,TERM,24,VND,94596861.94,95892506.26,4.176,True,False,ACTIVE,95892506.26,1,0.0,94596861.94,60
DEP000000083,CUS00000146,2026-07-04,2026-08-03,TERM,1,VND,225337496.54,0.0,4.903,False,False,MATURED,0.0,1,0.0,0.0,
DEP000000084,CUS00000149,2025-03-12,2026-09-03,TERM,18,VND,106881675.69,110138413.78,3.676,True,True,MATURING_SOON,110138413.78,1,106881675.69,106881675.69,3
DEP000000085,CUS00000151,2026-04-07,2026-10-04,TERM,6,VND,964514611.74,981203980.93,4.471,False,False,ACTIVE,981203980.93,1,0.0,964514611.74,34
DEP000000086,CUS00000160,2026-08-11,2026-09-10,TERM,1,VND,20630754.47,21480921.5,3.798,True,False,MATURING_SOON,21480921.5,1,20630754.47,20630754.47,10
DEP000000087,CUS00000162,2026-03-09,2026-09-05,TERM,6,VND,377734164.34,385371148.93,5.818,True,False,MATURING_SOON,687892815.32,2,678045468.8,678045468.8,5
DEP000000088,CUS00000162,2026-08-17,2026-09-16,TERM,1,VND,300311304.46,302521666.39,4.149,True,True,MATURING_SOON,687892815.32,2,678045468.8,678045468.8,5
DEP000000089,CUS00000163,2025-12-26,2026-09-22,TERM,9,VND,141226625.84,142288860.59,4.433,False,False,MATURING_SOON,241194408.42,2,238428458.98,238428458.98,6
DEP000000090,CUS00000163,2024-09-16,2026-09-06,TERM,24,VND,97201833.14,98905547.84,5.352,True,False,MATURING_SOON,241194408.42,2,238428458.98,238428458.98,6
DEP000000091,CUS00000164,2026-07-29,2026-08-28,TERM,1,VND,1298854119.29,1299518638.03,5.538,True,False,ROLLED_OVER,1299518638.03,1,0.0,0.0,
DEP000000092,CUS00000165,2026-07-14,2027-01-10,TERM,6,VND,24334745.23,24813629.85,3.54,True,False,ACTIVE,24813629.85,1,0.0,0.0,132
DEP000000093,CUS00000166,2026-08-12,2026-09-11,TERM,1,VND,292281954.15,301665779.19,4.145,True,False,MATURING_SOON,537160231.33,2,525854147.68,525854147.68,11
DEP000000094,CUS00000166,2025-12-25,2026-09-21,TERM,9,VND,233572193.53,235494452.14,5.039,True,False,MATURING_SOON,537160231.33,2,525854147.68,525854147.68,11
DEP000000095,CUS00000171,2025-10-18,2026-10-13,TERM,12,VND,445897772.79,467214044.53,5.585,False,False,ACTIVE,467214044.53,1,0.0,445897772.79,43
DEP000000096,CUS00000175,2026-06-01,2026-08-30,TERM,3,VND,37488116.73,37538536.01,3.929,True,False,ROLLED_OVER,37538536.01,1,0.0,0.0,
DEP000000097,CUS00000177,2026-03-30,2026-09-26,TERM,6,VND,1245692205.84,1252019713.62,4.187,False,False,MATURING_SOON,1252019713.62,1,1245692205.84,1245692205.84,26
DEP000000098,CUS00000185,2026-07-31,2026-08-30,TERM,1,VND,128421257.69,0.0,5.633,False,False,MATURED,112315096.99,2,108981811.7,108981811.7,9
DEP000000099,CUS00000185,2026-03-13,2026-09-09,TERM,6,VND,108981811.7,112315096.99,5.307,True,True,MATURING_SOON,112315096.99,2,108981811.7,108981811.7,9
DEP000000100,CUS00000186,2025-12-04,2026-08-31,TERM,9,VND,7685908.26,7847051.84,4.822,False,False,MATURING_SOON,7847051.84,1,7685908.26,7685908.26,0
DEP000000101,CUS00000187,2024-10-06,2026-09-26,TERM,24,VND,218276899.9,222150568.04,5.636,False,False,MATURING_SOON,520671519.51,2,502909320.27,502909320.27,26
DEP000000102,CUS00000187,2025-04-07,2026-09-29,FLEXI,18,VND,284632420.37,298520951.48,4.124,True,False,MATURING_SOON,520671519.51,2,502909320.27,502909320.27,26
DEP000000103,CUS00000195,2025-11-19,2027-11-09,FLEXI,24,VND,230154636.53,238739544.59,5.675,True,False,ACTIVE,238739544.59,1,0.0,0.0,435
DEP000000104,CUS00000199,2026-06-28,2027-03-25,TERM,9,VND,574433807.07,582056979.6,5.945,False,True,ACTIVE,582056979.6,1,0.0,0.0,206
DEP000000105,CUS00000200,2026-07-03,2026-10-01,FLEXI,3,VND,134111910.06,135305811.32,3.748,True,False,ACTIVE,135305811.32,1,0.0,134111910.06,31
DEP000000106,CUS00000207,2026-03-21,2027-09-12,TERM,18,VND,78708321.56,80387661.94,6.177,True,False,ACTIVE,255805321.33,2,0.0,0.0,377
DEP000000107,CUS00000207,2026-02-15,2026-08-14,TERM,6,VND,170644384.33,175417659.39,3.83,True,False,ROLLED_OVER,255805321.33,2,0.0,0.0,377
DEP000000108,CUS00000208,2024-09-17,2026-09-07,TERM,24,VND,669200990.77,700844589.48,3.673,False,False,MATURING_SOON,700844589.48,2,669200990.77,669200990.77,7
DEP000000109,CUS00000208,2026-07-12,2026-08-11,TERM,1,VND,351049843.37,0.0,3.57,False,False,MATURED,700844589.48,2,669200990.77,669200990.77,7
DEP000000110,CUS00000209,2026-04-18,2028-04-07,TERM,24,VND,40796497.0,42780931.75,3.53,False,False,ACTIVE,109819956.18,2,0.0,65015169.95,54
DEP000000111,CUS00000209,2025-10-29,2026-10-24,TERM,12,VND,65015169.95,67039024.43,5.812,False,False,ACTIVE,109819956.18,2,0.0,65015169.95,54
DEP000000112,CUS00000217,2026-08-04,2026-09-03,TERM,1,VND,160401802.71,160787705.4,4.861,True,False,MATURING_SOON,160787705.4,1,160401802.71,160401802.71,3
DEP000000113,CUS00000220,2025-11-11,2026-08-08,FLEXI,9,VND,72096689.84,74459437.37,5.991,False,True,ROLLED_OVER,74459437.37,1,0.0,0.0,
DEP000000114,CUS00000223,2025-06-30,2026-12-22,TERM,18,VND,222219402.04,232424433.72,5.378,False,False,ACTIVE,232424433.72,1,0.0,0.0,113
DEP000000115,CUS00000225,2026-02-18,2026-11-15,TERM,9,VND,80673720.54,82213196.25,3.906,False,False,ACTIVE,82213196.25,1,0.0,0.0,76
DEP000000116,CUS00000226,2026-06-18,2026-12-15,TERM,6,VND,157403008.99,163860042.84,5.262,False,False,ACTIVE,307422596.31,2,0.0,0.0,106
DEP000000117,CUS00000226,2025-04-13,2027-04-03,FLEXI,24,VND,143527431.93,143562553.47,3.938,True,False,ACTIVE,307422596.31,2,0.0,0.0,106
DEP000000118,CUS00000227,2026-07-26,2026-08-25,TERM,1,VND,52920058.49,0.0,4.698,False,False,MATURED,0.0,1,0.0,0.0,
DEP000000119,CUS00000230,2026-03-11,2026-09-07,TERM,6,VND,22667093.38,23247356.31,3.843,True,False,MATURING_SOON,23247356.31,1,22667093.38,22667093.38,7
DEP000000120,CUS00000234,2026-08-17,2026-09-16,TERM,1,VND,30691772.56,31346164.14,5.726,True,False,MATURING_SOON,31346164.14,1,30691772.56,30691772.56,16
DEP000000121,CUS00000235,2026-06-24,2026-07-24,FLEXI,1,VND,1962714692.83,0.0,6.101,False,False,WITHDRAWN,0.0,1,0.0,0.0,
DEP000000122,CUS00000236,2026-05-04,2027-01-29,TERM,9,VND,732082976.66,735765791.62,4.531,True,False,ACTIVE,735765791.62,1,0.0,0.0,151
DEP000000123,CUS00000239,2026-06-30,2026-07-30,TERM,1,VND,64229752.64,0.0,4.612,False,True,MATURED,0.0,1,0.0,0.0,
DEP000000124,CUS00000240,2026-05-04,2026-08-02,TERM,3,VND,69938943.48,69960246.22,4.904,False,False,ROLLED_OVER,69960246.22,1,0.0,0.0,
DEP000000125,CUS00000242,2025-04-04,2026-09-26,TERM,18,VND,359181722.62,367661147.7,5.948,False,False,MATURING_SOON,468136547.61,2,458818463.08,458818463.08,16
DEP000000126,CUS00000242,2024-09-26,2026-09-16,TERM,24,VND,99636740.46,100475399.91,5.053,True,False,MATURING_SOON,468136547.61,2,458818463.08,458818463.08,16
DEP000000127,CUS00000243,2026-04-08,2027-01-03,TERM,9,VND,41994538.57,42555040.87,5.286,True,False,ACTIVE,42555040.87,1,0.0,0.0,125
DEP000000128,CUS00000244,2026-07-23,2026-08-22,FLEXI,1,VND,4588892634.38,0.0,5.15,False,False,WITHDRAWN,0.0,1,0.0,0.0,
DEP000000129,CUS00000245,2026-05-08,2028-04-27,TERM,24,VND,27116545.35,27734084.52,5.244,False,False,ACTIVE,43849874.03,2,0.0,0.0,64
DEP000000130,CUS00000245,2026-05-07,2026-11-03,FLEXI,6,VND,15996203.8,16115789.51,6.076,True,False,ACTIVE,43849874.03,2,0.0,0.0,64
DEP000000131,CUS00000246,2026-05-12,2026-11-08,TERM,6,VND,99428978.45,99504254.77,4.253,True,True,ACTIVE,99504254.77,1,0.0,0.0,69
DEP000000132,CUS00000249,2026-02-18,2026-08-17,FLEXI,6,VND,651175585.37,665336100.06,4.844,False,False,ROLLED_OVER,665336100.06,1,0.0,0.0,
DEP000000133,CUS00000250,2025-12-24,2026-09-20,TERM,9,VND,56270824.51,56708359.5,3.635,False,True,MATURING_SOON,56708359.5,1,56270824.51,56270824.51,20
DEP000000134,CUS00000259,2026-07-04,2026-10-02,FLEXI,3,VND,1401048061.64,1468273883.59,3.597,True,True,ACTIVE,1468273883.59,1,0.0,1401048061.64,32
DEP000000135,CUS00000265,2026-02-23,2026-11-20,TERM,9,VND,47057906.32,47114926.59,5.587,False,False,ACTIVE,47114926.59,1,0.0,0.0,81
DEP000000136,CUS00000266,2026-07-14,2026-10-12,TERM,3,VND,477982295.74,491383595.77,5.38,True,False,ACTIVE,491383595.77,1,0.0,477982295.74,42
DEP000000137,CUS00000267,2025-02-14,2026-08-08,TERM,18,VND,325987720.83,330811159.28,4.685,False,False,ROLLED_OVER,810314156.64,2,467953045.6,467953045.6,7
DEP000000138,CUS00000267,2025-12-11,2026-09-07,FLEXI,9,VND,467953045.6,479502997.35,4.871,True,False,MATURING_SOON,810314156.64,2,467953045.6,467953045.6,7
DEP000000139,CUS00000268,2026-08-21,2026-09-20,TERM,1,VND,350803671.48,361173865.35,5.594,False,False,MATURING_SOON,361173865.35,1,350803671.48,350803671.48,20
DEP000000140,CUS00000269,2026-07-27,2028-07-16,TERM,24,VND,10891290.13,11214436.54,3.784,False,False,ACTIVE,11214436.54,1,0.0,0.0,685
DEP000000141,CUS00000272,2026-06-19,2028-06-08,TERM,24,VND,53495895.03,55989883.34,5.793,True,False,ACTIVE,55989883.34,1,0.0,0.0,647
DEP000000142,CUS00000273,2026-02-24,2026-08-23,TERM,6,VND,29176358.73,0.0,4.744,True,False,WITHDRAWN,0.0,1,0.0,0.0,
DEP000000143,CUS00000278,2024-10-10,2026-09-30,TERM,24,VND,241180663.87,253166181.87,4.15,False,False,MATURING_SOON,253166181.87,1,241180663.87,241180663.87,30
DEP000000144,CUS00000280,2026-07-03,2026-08-02,TERM,1,VND,195104398.8,0.0,5.567,True,False,MATURED,0.0,1,0.0,0.0,
DEP000000145,CUS00000281,2026-06-24,2026-07-24,TERM,1,VND,101674434.96,103099379.22,4.615,False,False,ROLLED_OVER,103099379.22,1,0.0,0.0,
DEP000000146,CUS00000282,2025-04-05,2026-09-27,TERM,18,VND,28969147.72,30324729.29,3.913,True,False,MATURING_SOON,30324729.29,1,28969147.72,28969147.72,27
DEP000000147,CUS00000285,2026-05-27,2027-05-22,FLEXI,12,VND,90301261.56,91453711.44,5.321,True,False,ACTIVE,91453711.44,1,0.0,0.0,264
DEP000000148,CUS00000286,2025-04-05,2026-09-27,TERM,18,VND,528226805.49,535263511.28,4.577,True,False,MATURING_SOON,535263511.28,1,528226805.49,528226805.49,27
DEP000000149,CUS00000287,2026-04-28,2027-01-23,TERM,9,VND,330959663.85,340101426.08,5.961,True,False,ACTIVE,340101426.08,1,0.0,0.0,145
DEP000000150,CUS00000292,2026-07-12,2026-10-10,TERM,3,VND,533261450.1,559045565.73,6.057,True,False,ACTIVE,856598857.98,2,296623242.91,829884693.01,22
DEP000000151,CUS00000292,2026-06-24,2026-09-22,TERM,3,VND,296623242.91,297553292.25,4.86,True,False,MATURING_SOON,856598857.98,2,296623242.91,829884693.01,22
DEP000000152,CUS00000293,2026-07-01,2026-07-31,FLEXI,1,VND,57760657.7,58974889.02,5.926,True,True,ROLLED_OVER,58974889.02,1,0.0,0.0,
DEP000000153,CUS00000295,2025-07-16,2027-07-06,TERM,24,VND,688363239.0,708897217.84,3.606,True,False,ACTIVE,708897217.84,1,0.0,0.0,309
DEP000000154,CUS00000297,2025-08-30,2027-02-21,TERM,18,VND,608387116.64,633797342.57,5.022,False,False,ACTIVE,633797342.57,1,0.0,0.0,174
DEP000000155,CUS00000299,2026-03-25,2026-12-20,TERM,9,VND,1339444871.99,1358359692.86,5.301,True,False,ACTIVE,1358359692.86,1,0.0,0.0,111
DEP000000156,CUS00000300,2026-03-15,2027-09-06,FLEXI,18,VND,190796937.0,194966310.27,5.994,True,False,ACTIVE,264266360.41,2,0.0,66852618.75,54
DEP000000157,CUS00000300,2026-01-27,2026-10-24,TERM,9,VND,66852618.75,69300050.13,4.22,True,False,ACTIVE,264266360.41,2,0.0,66852618.75,54
DEP000000158,CUS00000301,2026-05-12,2026-08-10,FLEXI,3,VND,45455789.83,0.0,4.087,True,False,MATURED,0.0,1,0.0,0.0,
DEP000000159,CUS00000302,2026-06-30,2026-07-30,TERM,1,VND,256034025.29,0.0,4.977,True,False,MATURED,249415259.07,2,0.0,0.0,537
DEP000000160,CUS00000302,2026-03-01,2028-02-19,TERM,24,VND,248653038.93,249415259.07,3.862,True,False,ACTIVE,249415259.07,2,0.0,0.0,537
DEP000000161,CUS00000303,2026-07-01,2026-07-31,FLEXI,1,VND,115412499.49,118036899.32,4.667,False,False,ROLLED_OVER,118036899.32,1,0.0,0.0,
DEP000000162,CUS00000306,2026-07-14,2026-10-12,TERM,3,VND,91365502.33,95760389.6,3.761,True,False,ACTIVE,95760389.6,1,0.0,91365502.33,42
