interaction_id,customer_id,rm_id,interaction_timestamp,interaction_type,channel,product_code,interaction_reason,lead_status,opportunity_stage,customer_response,next_followup_date,reason_lost,campaign_id,days_since_last_contact,contact_count_30d,contact_count_90d,last_customer_response,previous_product_interest,recent_rejection_flag
CRM0000000030,CUS00000013,RM0053,2026-06-05 18:01:39,INBOUND_CALL,APP,LOAN_AUTO,SERVICE,CLOSED,LOST,NO_RESPONSE,,,CMP11,86,0,2,NO_RESPONSE,,False
CRM0000000029,CUS00000013,RM0053,2026-07-03 23:45:18,OUTBOUND_CALL,EMAIL,INVEST_FUND,ADVISORY,WORKING,CONTACTED,CONVERTED,,,CMP05,28,0,2,NO_RESPONSE,,False
CRM0000000031,CUS00000015,RM0073,2026-07-24 17:42:27,MEETING,BRANCH,LOAN_AUTO,SERVICE,OPEN,QUALIFIED,INTERESTED,,,,38,0,1,INTERESTED,,False
CRM0000000033,CUS00000016,RM0061,2026-02-20 07:21:03,MEETING,PHONE,CC_STANDARD,ADVISORY,CLOSED,QUALIFIED,NOT_INTERESTED,,,CMP07,192,1,1,NOT_INTERESTED,,False
CRM0000000032,CUS00000016,RM0061,2026-08-29 23:55:28,INBOUND_CALL,APP,INVEST_BOND,PRODUCT_OFFER,OPEN,NEW,CALLBACK,2026-09-06,,CMP07,191,1,1,NOT_INTERESTED,INVEST_BOND,False
CRM0000000035,CUS00000017,RM0154,2025-11-03 10:23:11,OUTBOUND_CALL,APP,LOAN_HOME,PRODUCT_OFFER,CLOSED,WON,CALLBACK,2025-11-15,,CMP01,301,1,1,CALLBACK,LOAN_HOME,False
CRM0000000034,CUS00000017,RM0154,2026-08-20 17:19:37,OUTBOUND_CALL,BRANCH,LOAN_HOME,SERVICE,OPEN,NEW,NO_RESPONSE,,,CMP11,290,1,1,CALLBACK,,False
CRM0000000036,CUS00000019,RM0015,2026-03-13 00:40:01,OUTBOUND_CALL,BRANCH,LOAN_AUTO,PRODUCT_OFFER,OPEN,PROPOSAL,NO_RESPONSE,,,CMP09,171,0,0,NO_RESPONSE,LOAN_AUTO,False
CRM0000000037,CUS00000020,RM0140,2025-12-22 21:12:23,APP_MESSAGE,APP,LOAN_PERSONAL,PRODUCT_OFFER,WORKING,QUALIFIED,INTERESTED,,,CMP05,251,0,0,INTERESTED,LOAN_PERSONAL,False
CRM0000000039,CUS00000021,RM0092,2025-12-27 15:17:37,OUTBOUND_CALL,BRANCH,CC_PLATINUM,PRODUCT_OFFER,OPEN,QUALIFIED,CALLBACK,2026-01-07,,CMP05,247,0,0,CALLBACK,CC_PLATINUM,False
CRM0000000038,CUS00000021,RM0092,2026-03-26 16:22:00,OUTBOUND_CALL,APP,INVEST_BOND,PRODUCT_OFFER,CLOSED,NEW,NO_RESPONSE,,,CMP01,89,0,0,CALLBACK,INVEST_BOND,False
CRM0000000040,CUS00000023,RM0081,2025-10-01 17:03:09,INBOUND_CALL,PHONE,CC_STANDARD,ONBOARDING,CLOSED,LOST,NO_RESPONSE,,,CMP02,334,0,0,NO_RESPONSE,,False
CRM0000000042,CUS00000024,RM0021,2025-11-11 05:10:44,OUTBOUND_CALL,EMAIL,LOAN_AUTO,PRODUCT_OFFER,OPEN,CONTACTED,NO_RESPONSE,,,CMP04,293,0,0,NO_RESPONSE,LOAN_AUTO,False
CRM0000000041,CUS00000024,RM0021,2025-12-17 05:09:00,APP_MESSAGE,APP,TD_STANDARD,PRODUCT_OFFER,CLOSED,CONTACTED,NO_RESPONSE,,,CMP09,36,0,0,NO_RESPONSE,TD_STANDARD,False
CRM0000000043,CUS00000025,RM0047,2026-02-02 04:58:39,MEETING,APP,LOAN_AUTO,ADVISORY,WORKING,QUALIFIED,NO_RESPONSE,,,CMP06,210,0,0,NO_RESPONSE,,False
CRM0000000045,CUS00000027,RM0085,2026-03-17 10:54:58,OUTBOUND_CALL,BRANCH,LOAN_HOME,ADVISORY,CLOSED,QUALIFIED,CALLBACK,2026-03-26,,CMP06,167,1,1,CALLBACK,,False
CRM0000000044,CUS00000027,RM0085,2026-08-10 22:06:31,APP_MESSAGE,PHONE,CC_STANDARD,RETENTION,CLOSED,CONTACTED,NOT_INTERESTED,,,CMP09,147,1,1,CALLBACK,,True
CRM0000000047,CUS00000028,RM0146,2025-11-22 11:46:37,INBOUND_CALL,APP,TD_STANDARD,RETENTION,OPEN,CONTACTED,CONVERTED,,,CMP10,282,0,0,CONVERTED,,False
CRM0000000046,CUS00000028,RM0146,2026-04-15 07:11:49,OUTBOUND_CALL,PHONE,TD_FLEXI,RETENTION,WORKING,PROPOSAL,NOT_INTERESTED,,,CMP04,144,0,0,CONVERTED,,False
CRM0000000049,CUS00000029,RM0117,2025-10-05 22:55:19,EMAIL,EMAIL,LOAN_AUTO,RETENTION,CLOSED,LOST,NOT_INTERESTED,,,CMP07,329,0,0,NOT_INTERESTED,,False
CRM0000000048,CUS00000029,RM0117,2026-05-09 08:51:25,OUTBOUND_CALL,APP,TD_STANDARD,PRODUCT_OFFER,CLOSED,PROPOSAL,NO_RESPONSE,,,CMP10,215,0,0,NOT_INTERESTED,TD_STANDARD,False
CRM0000000050,CUS00000030,RM0077,2026-06-30 11:26:22,OUTBOUND_CALL,PHONE,TD_STANDARD,RETENTION,OPEN,NEW,CALLBACK,2026-07-29,,CMP01,62,0,1,CALLBACK,,False
CRM0000000051,CUS00000033,RM0164,2026-05-19 09:45:02,INBOUND_CALL,PHONE,LOAN_PERSONAL,PRODUCT_OFFER,OPEN,PROPOSAL,INTERESTED,,,CMP08,104,0,0,INTERESTED,LOAN_PERSONAL,False
CRM0000000053,CUS00000035,RM0098,2026-06-20 18:30:36,OUTBOUND_CALL,PHONE,CC_STANDARD,ONBOARDING,CLOSED,NEW,CONVERTED,,,CMP03,71,1,2,CONVERTED,,False
CRM0000000052,CUS00000035,RM0098,2026-08-20 17:13:13,INBOUND_CALL,EMAIL,TD_FLEXI,SERVICE,CLOSED,LOST,INTERESTED,,PRICE,CMP01,60,1,2,CONVERTED,,False
CRM0000000055,CUS00000036,RM0105,2025-12-09 19:10:09,OUTBOUND_CALL,APP,CC_STANDARD,SERVICE,WORKING,CONTACTED,NO_RESPONSE,,,CMP01,264,0,0,NO_RESPONSE,,False
CRM0000000054,CUS00000036,RM0105,2026-02-18 13:33:29,OUTBOUND_CALL,EMAIL,CC_STANDARD,PRODUCT_OFFER,OPEN,PROPOSAL,NOT_INTERESTED,,,CMP09,70,0,0,NO_RESPONSE,CC_STANDARD,False
CRM0000000056,CUS00000037,RM0136,2026-03-12 07:13:00,MEETING,APP,CC_GOLD,PRODUCT_OFFER,OPEN,WON,NO_RESPONSE,,,CMP05,172,0,0,NO_RESPONSE,CC_GOLD,False
CRM0000000058,CUS00000038,RM0062,2025-11-08 02:31:48,MEETING,PHONE,CC_PLATINUM,PRODUCT_OFFER,OPEN,CONTACTED,NO_RESPONSE,,,CMP06,296,0,0,NO_RESPONSE,CC_PLATINUM,False
CRM0000000057,CUS00000038,RM0062,2026-02-10 12:07:02,OUTBOUND_CALL,BRANCH,CC_PLATINUM,ONBOARDING,CLOSED,NEW,NOT_INTERESTED,,,CMP11,94,0,0,NO_RESPONSE,,False
CRM0000000061,CUS00000039,RM0080,2025-10-27 18:43:02,INBOUND_CALL,BRANCH,LOAN_AUTO,ADVISORY,OPEN,CONTACTED,CALLBACK,2025-11-05,,CMP11,307,0,0,CALLBACK,,False
CRM0000000060,CUS00000039,RM0080,2026-01-19 23:53:40,INBOUND_CALL,BRANCH,TD_STANDARD,RETENTION,CLOSED,CONTACTED,NOT_INTERESTED,,,CMP08,84,0,0,CALLBACK,,False
CRM0000000059,CUS00000039,RM0080,2026-01-22 13:09:15,INBOUND_CALL,BRANCH,INVEST_BOND,RETENTION,CLOSED,NEW,NOT_INTERESTED,,,CMP11,86,0,0,CALLBACK,,False
CRM0000000065,CUS00000040,RM0121,2026-01-20 15:49:30,OUTBOUND_CALL,PHONE,TD_FLEXI,SERVICE,CLOSED,QUALIFIED,NOT_INTERESTED,,,CMP09,223,1,1,NOT_INTERESTED,,False
CRM0000000064,CUS00000040,RM0121,2026-03-20 14:56:22,EMAIL,BRANCH,CC_STANDARD,PRODUCT_OFFER,WORKING,PROPOSAL,NOT_INTERESTED,,,CMP02,59,1,1,NOT_INTERESTED,CC_STANDARD,False
CRM0000000063,CUS00000040,RM0121,2026-04-06 16:24:49,INBOUND_CALL,BRANCH,LOAN_PERSONAL,ONBOARDING,OPEN,CONTACTED,NOT_INTERESTED,,,CMP08,76,1,1,NOT_INTERESTED,,False
CRM0000000062,CUS00000040,RM0121,2026-08-21 12:34:53,APP_MESSAGE,PHONE,INVEST_BOND,RETENTION,WORKING,QUALIFIED,INTERESTED,,,CMP12,213,1,1,NOT_INTERESTED,,False
CRM0000000067,CUS00000041,RM0124,2026-01-31 01:49:47,OUTBOUND_CALL,PHONE,CC_STANDARD,ADVISORY,WORKING,CONTACTED,NOT_INTERESTED,,,,212,0,0,NOT_INTERESTED,,False
CRM0000000066,CUS00000041,RM0124,2026-05-08 13:11:24,MEETING,PHONE,CC_GOLD,RETENTION,CLOSED,QUALIFIED,NO_RESPONSE,,,CMP11,97,0,0,NOT_INTERESTED,,False
CRM0000000068,CUS00000042,RM0067,2026-03-09 09:43:04,EMAIL,PHONE,TD_FLEXI,PRODUCT_OFFER,OPEN,PROPOSAL,CALLBACK,2026-04-03,,CMP02,175,0,0,CALLBACK,TD_FLEXI,False
CRM0000000070,CUS00000043,RM0011,2026-07-10 04:22:30,APP_MESSAGE,APP,TD_STANDARD,RETENTION,WORKING,WON,NO_RESPONSE,,,CMP10,52,1,2,NO_RESPONSE,,False
CRM0000000069,CUS00000043,RM0011,2026-08-09 01:18:54,OUTBOUND_CALL,APP,CC_GOLD,ADVISORY,CLOSED,CONTACTED,CALLBACK,2026-08-20,,CMP10,30,1,2,NO_RESPONSE,,False
CRM0000000074,CUS00000045,RM0002,2025-09-01 06:43:24,OUTBOUND_CALL,APP,TD_STANDARD,SERVICE,OPEN,WON,NOT_INTERESTED,,,CMP02,364,0,0,NOT_INTERESTED,,False
CRM0000000073,CUS00000045,RM0002,2025-09-17 20:44:09,INBOUND_CALL,EMAIL,LOAN_PERSONAL,PRODUCT_OFFER,WORKING,QUALIFIED,NOT_INTERESTED,,,CMP08,17,0,0,NOT_INTERESTED,LOAN_PERSONAL,False
CRM0000000072,CUS00000045,RM0002,2025-11-26 16:29:11,APP_MESSAGE,EMAIL,CC_PLATINUM,SERVICE,WORKING,NEW,INTERESTED,,,CMP04,86,0,0,NOT_INTERESTED,,False
CRM0000000071,CUS00000045,RM0002,2026-05-03 02:16:58,APP_MESSAGE,EMAIL,LOAN_AUTO,RETENTION,OPEN,NEW,INTERESTED,,,CMP09,244,0,0,NOT_INTERESTED,,False
CRM0000000075,CUS00000046,RM0014,2026-01-24 01:23:14,OUTBOUND_CALL,APP,CC_GOLD,PRODUCT_OFFER,CLOSED,CONTACTED,NOT_INTERESTED,,,CMP02,219,0,0,NOT_INTERESTED,CC_GOLD,False
CRM0000000076,CUS00000048,RM0072,2026-05-09 22:19:19,MEETING,BRANCH,LOAN_AUTO,PRODUCT_OFFER,CLOSED,LOST,NOT_INTERESTED,,TIMING,CMP10,113,0,0,NOT_INTERESTED,LOAN_AUTO,False
CRM0000000078,CUS00000049,RM0075,2026-03-09 10:33:53,EMAIL,EMAIL,CC_STANDARD,SERVICE,CLOSED,LOST,NO_RESPONSE,,TIMING,CMP02,175,0,0,NO_RESPONSE,,False
CRM0000000077,CUS00000049,RM0075,2026-04-22 16:03:56,OUTBOUND_CALL,PHONE,CC_PLATINUM,PRODUCT_OFFER,CLOSED,CONTACTED,NO_RESPONSE,,,CMP11,44,0,0,NO_RESPONSE,CC_PLATINUM,False
CRM0000000079,CUS00000050,RM0145,2026-04-28 06:21:36,OUTBOUND_CALL,APP,CC_PLATINUM,RETENTION,CLOSED,CONTACTED,NO_RESPONSE,,,,125,0,0,NO_RESPONSE,,False
CRM0000000082,CUS00000051,RM0044,2026-01-05 22:56:33,OUTBOUND_CALL,BRANCH,LOAN_AUTO,PRODUCT_OFFER,CLOSED,CONTACTED,NO_RESPONSE,,,CMP01,237,0,1,NO_RESPONSE,LOAN_AUTO,False
CRM0000000081,CUS00000051,RM0044,2026-05-28 22:48:47,INBOUND_CALL,APP,INVEST_FUND,PRODUCT_OFFER,WORKING,LOST,NO_RESPONSE,,,CMP12,143,0,1,NO_RESPONSE,INVEST_FUND,False
CRM0000000080,CUS00000051,RM0044,2026-07-08 06:16:37,OUTBOUND_CALL,EMAIL,CC_STANDARD,SERVICE,OPEN,CONTACTED,NO_RESPONSE,,,CMP07,183,0,1,NO_RESPONSE,,False
CRM0000000084,CUS00000052,RM0073,2025-11-14 06:20:32,MEETING,BRANCH,LOAN_AUTO,PRODUCT_OFFER,CLOSED,CONTACTED,CALLBACK,2025-11-30,,CMP11,290,0,0,CALLBACK,LOAN_AUTO,False
CRM0000000083,CUS00000052,RM0073,2025-11-28 17:24:43,OUTBOUND_CALL,EMAIL,CC_GOLD,RETENTION,OPEN,QUALIFIED,CONVERTED,,,CMP09,14,0,0,CALLBACK,,False
CRM0000000086,CUS00000053,RM0180,2025-12-07 19:54:53,INBOUND_CALL,APP,CC_STANDARD,SERVICE,CLOSED,PROPOSAL,CONVERTED,,,CMP05,266,0,0,CONVERTED,,False
CRM0000000085,CUS00000053,RM0180,2026-04-17 01:58:11,OUTBOUND_CALL,EMAIL,CC_PLATINUM,RETENTION,CLOSED,WON,CONVERTED,,,CMP02,130,0,0,CONVERTED,,False
CRM0000000087,CUS00000054,RM0008,2026-01-05 15:14:14,OUTBOUND_CALL,PHONE,LOAN_AUTO,PRODUCT_OFFER,CLOSED,QUALIFIED,NO_RESPONSE,,,CMP08,238,0,0,NO_RESPONSE,LOAN_AUTO,False
CRM0000000090,CUS00000055,RM0022,2025-11-13 18:32:51,EMAIL,APP,LOAN_HOME,PRODUCT_OFFER,CLOSED,QUALIFIED,CALLBACK,2025-11-30,,CMP03,290,1,2,CALLBACK,LOAN_HOME,False
CRM0000000089,CUS00000055,RM0022,2026-07-26 16:49:41,EMAIL,BRANCH,CC_PLATINUM,RETENTION,CLOSED,CONTACTED,NO_RESPONSE,,,CMP02,254,1,2,CALLBACK,,False
CRM0000000088,CUS00000055,RM0022,2026-08-08 17:40:56,APP_MESSAGE,APP,TD_FLEXI,SERVICE,WORKING,WON,INTERESTED,,,CMP09,267,1,2,CALLBACK,,False
CRM0000000091,CUS00000056,RM0107,2026-02-04 17:49:11,OUTBOUND_CALL,EMAIL,CC_STANDARD,RETENTION,CLOSED,PROPOSAL,INTERESTED,,,CMP11,208,0,0,INTERESTED,,False
CRM0000000093,CUS00000058,RM0040,2026-05-02 14:43:59,OUTBOUND_CALL,EMAIL,TD_FLEXI,ONBOARDING,WORKING,CONTACTED,CALLBACK,2026-05-29,,CMP03,121,1,1,CALLBACK,,False
CRM0000000092,CUS00000058,RM0040,2026-08-17 06:58:56,APP_MESSAGE,BRANCH,LOAN_AUTO,PRODUCT_OFFER,CLOSED,CONTACTED,CONVERTED,,,CMP09,107,1,1,CALLBACK,LOAN_AUTO,False
CRM0000000095,CUS00000059,RM0002,2026-02-09 08:55:11,INBOUND_CALL,EMAIL,TD_FLEXI,PRODUCT_OFFER,WORKING,CONTACTED,NO_RESPONSE,,,CMP06,203,0,1,NO_RESPONSE,TD_FLEXI,False
CRM0000000094,CUS00000059,RM0002,2026-07-19 03:42:54,EMAIL,PHONE,TD_FLEXI,PRODUCT_OFFER,OPEN,NEW,CALLBACK,2026-07-29,,CMP10,160,0,1,NO_RESPONSE,TD_FLEXI,False
CRM0000000096,CUS00000060,RM0130,2026-04-15 12:51:50,EMAIL,APP,TD_FLEXI,ADVISORY,OPEN,LOST,CALLBACK,2026-04-22,NO_NEED,CMP09,138,0,0,CALLBACK,,False
CRM0000000099,CUS00000061,RM0046,2025-11-21 16:22:15,APP_MESSAGE,BRANCH,CC_STANDARD,SERVICE,OPEN,LOST,NO_RESPONSE,,,,283,1,2,NO_RESPONSE,,False
CRM0000000098,CUS00000061,RM0046,2026-07-27 02:32:21,OUTBOUND_CALL,PHONE,LOAN_AUTO,PRODUCT_OFFER,OPEN,QUALIFIED,CALLBACK,2026-08-10,,CMP06,248,1,2,NO_RESPONSE,LOAN_AUTO,False
CRM0000000097,CUS00000061,RM0046,2026-08-16 15:03:12,INBOUND_CALL,EMAIL,LOAN_PERSONAL,RETENTION,CLOSED,LOST,NO_RESPONSE,,,CMP09,268,1,2,NO_RESPONSE,,False
CRM0000000101,CUS00000062,RM0113,2025-10-10 10:24:00,APP_MESSAGE,APP,TD_FLEXI,PRODUCT_OFFER,CLOSED,NEW,INTERESTED,,,CMP12,325,0,0,INTERESTED,TD_FLEXI,False
CRM0000000100,CUS00000062,RM0113,2025-10-27 18:34:55,OUTBOUND_CALL,PHONE,TD_STANDARD,RETENTION,WORKING,CONTACTED,CALLBACK,2025-11-15,,CMP07,18,0,0,INTERESTED,,False
CRM0000000102,CUS00000063,RM0003,2026-08-05 04:07:47,OUTBOUND_CALL,BRANCH,LOAN_HOME,SERVICE,CLOSED,QUALIFIED,NO_RESPONSE,,,CMP06,26,1,1,NO_RESPONSE,,False
CRM0000000103,CUS00000064,RM0047,2026-07-21 02:05:58,MEETING,BRANCH,LOAN_HOME,PRODUCT_OFFER,WORKING,WON,NO_RESPONSE,,,CMP08,41,0,1,NO_RESPONSE,LOAN_HOME,False
CRM0000000111,CUS00000065,RM0053,2025-10-17 05:05:30,OUTBOUND_CALL,BRANCH,LOAN_AUTO,ADVISORY,WORKING,NEW,NO_RESPONSE,,,,318,2,3,NO_RESPONSE,,False
CRM0000000110,CUS00000065,RM0053,2025-11-21 08:31:47,EMAIL,PHONE,LOAN_HOME,ADVISORY,WORKING,QUALIFIED,NO_RESPONSE,,,CMP08,35,2,3,NO_RESPONSE,,False
CRM0000000109,CUS00000065,RM0053,2025-12-07 03:48:42,OUTBOUND_CALL,APP,INVEST_FUND,ONBOARDING,CLOSED,CONTACTED,NO_RESPONSE,,,CMP06,51,2,3,NO_RESPONSE,,False
CRM0000000108,CUS00000065,RM0053,2026-02-01 17:17:01,OUTBOUND_CALL,APP,CC_STANDARD,PRODUCT_OFFER,WORKING,CONTACTED,INTERESTED,,,CMP10,107,2,3,NO_RESPONSE,CC_STANDARD,False
CRM0000000107,CUS00000065,RM0053,2026-02-20 22:49:00,EMAIL,BRANCH,CC_PLATINUM,SERVICE,WORKING,LOST,INTERESTED,,PRICE,CMP01,127,2,3,NO_RESPONSE,,False
CRM0000000106,CUS00000065,RM0053,2026-07-01 13:18:36,OUTBOUND_CALL,APP,LOAN_HOME,SERVICE,CLOSED,QUALIFIED,CALLBACK,2026-07-22,,CMP08,257,2,3,NO_RESPONSE,,False
CRM0000000105,CUS00000065,RM0053,2026-08-14 01:52:16,INBOUND_CALL,PHONE,INVEST_BOND,ONBOARDING,OPEN,WON,NOT_INTERESTED,,,CMP03,301,2,3,NO_RESPONSE,,True
CRM0000000104,CUS00000065,RM0053,2026-08-17 08:26:47,INBOUND_CALL,EMAIL,TD_STANDARD,RETENTION,WORKING,QUALIFIED,CONVERTED,,,CMP12,304,2,3,NO_RESPONSE,,False
CRM0000000113,CUS00000066,RM0026,2025-09-10 05:20:40,INBOUND_CALL,APP,INVEST_BOND,PRODUCT_OFFER,CLOSED,LOST,NO_RESPONSE,,PRICE,CMP05,355,0,1,NO_RESPONSE,INVEST_BOND,False
CRM0000000112,CUS00000066,RM0026,2026-06-25 15:39:28,INBOUND_CALL,PHONE,LOAN_AUTO,SERVICE,WORKING,NEW,NOT_INTERESTED,,,CMP09,288,0,1,NO_RESPONSE,,False
CRM0000000116,CUS00000067,RM0102,2025-09-01 02:48:20,EMAIL,EMAIL,TD_FLEXI,ONBOARDING,CLOSED,QUALIFIED,INTERESTED,,,CMP05,364,0,1,INTERESTED,,False
CRM0000000115,CUS00000067,RM0102,2025-10-18 00:54:10,OUTBOUND_CALL,PHONE,CC_PLATINUM,ADVISORY,OPEN,QUALIFIED,NOT_INTERESTED,,,CMP04,47,0,1,INTERESTED,,False
CRM0000000114,CUS00000067,RM0102,2026-06-10 11:11:06,EMAIL,EMAIL,LOAN_HOME,SERVICE,CLOSED,CONTACTED,INTERESTED,,,,282,0,1,INTERESTED,,False
CRM0000000117,CUS00000068,RM0023,2025-09-19 14:43:46,INBOUND_CALL,EMAIL,LOAN_PERSONAL,PRODUCT_OFFER,WORKING,QUALIFIED,NO_RESPONSE,,,CMP01,346,0,0,NO_RESPONSE,LOAN_PERSONAL,False
CRM0000000120,CUS00000069,RM0074,2025-11-06 17:51:44,OUTBOUND_CALL,BRANCH,CC_GOLD,ADVISORY,OPEN,NEW,NO_RESPONSE,,,CMP04,298,0,1,NO_RESPONSE,,False
CRM0000000119,CUS00000069,RM0074,2025-12-04 11:57:07,OUTBOUND_CALL,BRANCH,INVEST_FUND,PRODUCT_OFFER,CLOSED,CONTACTED,NOT_INTERESTED,,,CMP03,28,0,1,NO_RESPONSE,INVEST_FUND,False
